train/loss,train/approx_kl,train/policy_gradient_loss,time/time_elapsed,train/learning_rate,train/clip_range,train/std,train/clip_fraction,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/value_loss,train/explained_variance,time/total_timesteps,rollout/ep_len_mean,time/fps
1905328000.0,0.005304548,-0.006445639113189827,9,0.0017,0.2,1.0074149370193481,0.03424072265625,-469601.6941629368,-17.07480834573507,10,3921351859.6,5.960464477539062e-07,10000,101.6,1099
1782196096.0,0.0053092903,-0.006355980860644195,18,0.0017,0.2,1.0156728029251099,0.0310791015625,-479103.61232498003,-17.168364280462264,20,3367240234.8,0.0,20000,114.36,1104
1544416768.0,0.0047880025,-0.005198000391646929,27,0.0017,0.2,1.0262826681137085,0.02127685546875,-367216.00495438994,-17.28044617921114,30,3060810557.8,1.1920928955078125e-07,30000,86.69,1104
1342787840.0,0.0048229573,-0.0055974020488065435,36,0.0017,0.2,1.0365514755249023,0.023291015625,-377190.54465197,-17.402820821106435,40,2976526815.9,0.0,40000,93.81,1105
1403471616.0,0.0061328383,-0.007074434187052248,49,0.0017,0.2,1.0556745529174805,0.03436279296875,-387481.71280006005,-17.623308727145194,60,2694993876.3,0.0,50000,101.52,1011
1519186816.0,0.0043956954,-0.004827998086511798,58,0.0017,0.2,1.0657014846801758,0.016015625,-385778.67188901,-17.737528243660925,70,2788745433.8,1.1920928955078125e-07,60000,104.08,1026
1308809216.0,0.0042226436,-0.004144708062449353,67,0.0017,0.2,1.0760115385055542,0.01785888671875,-336792.90694219,-17.852442826330662,80,2576214649.3,0.0,70000,89.16,1036
1150982144.0,0.0059251627,-0.00541475016871118,76,0.0017,0.2,1.0873990058898926,0.03228759765625,-338368.7459386399,-17.97402064949274,90,2466958366.6,-1.1920928955078125e-07,80000,96.04,1044
1061119936.0,0.004605595,-0.004724155555049947,85,0.0017,0.2,1.1008094549179077,0.01722412109375,-331064.84410773,-18.110518400371074,100,2325142540.6,1.1920928955078125e-07,90000,89.41,1050
1009240256.0,0.00519258,-0.005411543344052916,98,0.0017,0.2,1.1220883131027222,0.02669677734375,-357754.67966947996,-18.351968435943128,120,2359088236.6,0.0,100000,102.88,1011
