train/ent_coef_loss,time/episodes,time/total_timesteps,train/actor_loss,train/learning_rate,train/ent_coef,rollout/ep_len_mean,time/fps,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,train/n_updates
1.4212645292282104,136,10000,220773.28125,0.0064,70.81962585449219,75.08,110,90,5837.73046875,-2423246.72067603,2474
1.6722519397735596,379,20000,157384.671875,0.0064,63.50152587890625,36.57,109,182,4505.01611328125,-274377.72382296,4974
-4.4155144691467285,646,30000,127840.3828125,0.0064,51.33422088623047,33.48,108,275,3757.6220703125,-262447.52671551,7474
-8.002106666564941,850,40000,87455.7109375,0.0064,49.33749008178711,54.44,108,367,4233.1259765625,-210666.99171872996,9974
1.7295756340026855,1048,50000,58472.4765625,0.0064,45.10636520385742,49.17,108,458,4006.8701171875,-185396.31901065004,12474
2.4955906867980957,1185,60000,51282.8359375,0.0064,39.345706939697266,66.88,108,550,5245.8955078125,-350727.00992979,14974
-3.5024895668029785,1339,70000,42909.83984375,0.0064,40.53976821899414,53.84,108,642,5612.29296875,-245853.81274868,17474
5.68487024307251,1517,80000,14480.5947265625,0.0064,29.090749740600586,65.18,108,734,6063.689453125,-304097.54669537,19974
-5.919674396514893,1661,90000,11072.232421875,0.0064,28.12759780883789,62.94,108,827,5477.419921875,-350330.2632129101,22474
-0.10567229986190796,1746,100000,4283.05126953125,0.0064,28.14303970336914,115.05,108,919,4925.37744140625,-551426.0977789899,24974
4.472025394439697,1847,110000,2250.375,0.0064,25.056116104125977,104.31,108,1010,3752.72607421875,-604627.6789472001,27474
-0.028277158737182617,1931,120000,-634.895263671875,0.0064,25.711055755615234,114.36,108,1102,3502.080810546875,-668116.36016841,29974
-1.8804454803466797,2044,130000,-2279.785400390625,0.0064,21.795015335083008,93.17,108,1194,3247.853515625,-389113.28492702,32474
0.623641848564148,2175,140000,-1948.28857421875,0.0064,21.67599105834961,82.29,108,1286,2999.97607421875,-490727.34284098,34974
-2.668100357055664,2292,150000,2105.8369140625,0.0064,20.206438064575195,87.3,108,1378,3630.19873046875,-492044.39968890004,37474
-2.839144706726074,2392,160000,1271.3233642578125,0.0064,16.426185607910156,100.8,108,1470,3554.800537109375,-448578.40252421005,39974
1.5005313158035278,2514,170000,1885.1641845703125,0.0064,16.4882869720459,79.81,108,1562,3309.966064453125,-353995.94311507,42474
0.49817752838134766,2636,180000,3981.746826171875,0.0064,16.176942825317383,74.14,108,1656,3198.84375,-330544.23548674,44974
3.478701114654541,2758,190000,4212.791015625,0.0064,15.635663032531738,77.62,108,1749,3302.84814453125,-393105.13514533994,47474
