train/entropy_loss,time/fps,train/value_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/explained_variance,rollout/ep_len_mean,train/loss,train/std,time/time_elapsed,time/total_timesteps,train/n_updates,train/approx_kl,train/policy_gradient_loss,rollout/ep_rew_mean
-12.770418783277274,1436,4240372611.6,0.2,0.0,0.0003,6.556510925292969e-07,80.68,1998990464.0,0.9999812245368958,6,10000,10,0.0009057068,-0.0020861451646851494,-323852.53882356
-12.770382995158434,1439,4276283312.2,0.2,0.0,0.0003,0.0,81.75,2196726784.0,0.9999983906745911,13,20000,20,0.0003693049,-0.0013553379014410894,-330658.28469801997
-12.770574256032706,1437,4004183987.4,0.2,0.0,0.0003,0.0,88.28,2107434368.0,1.0000345706939697,20,30000,30,0.00038804626,-0.0012639285016120994,-333249.62949038
-12.768946960568428,1439,3750699511.6,0.2,0.0,0.0003,0.0,80.34,1751555072.0,0.9996289014816284,27,40000,40,0.00039397582,-0.0013897348530008458,-309960.71102027
-12.766568095237016,1310,3801429082.4,0.2,0.0,0.0003,-2.384185791015625e-07,73.28,1723601152.0,0.9995890855789185,38,50000,60,0.00036042283,-0.0011388630171495606,-282976.68175422
-12.765663885325193,1330,3615978977.0,0.2,0.0,0.0003,1.1920928955078125e-07,71.02,2033748736.0,0.9993588328361511,45,60000,70,0.0002424822,-0.0008828905982227297,-270782.50386533
-12.765241342782975,1347,3793458698.6,0.2,0.0,0.0003,0.0,77.44,2025665920.0,0.9994943141937256,51,70000,80,0.00093713606,-0.0017892081667923777,-289663.60124370997
-12.767019218206405,1359,3555776715.2,0.2,0.0,0.0003,0.0,71.55,2044160512.0,0.9997433423995972,58,80000,90,0.00070399,-0.0016990704489217023,-275730.45804112
-12.766476012021304,1369,3748784298.8,0.2,0.0,0.0003,0.0,68.54,2107921536.0,0.9993784427642822,65,90000,100,0.0007964262,-0.0017819747105022542,-256740.24230532997
-12.763564047962427,1314,3668802853.6,0.2,0.0,0.0003,-2.384185791015625e-07,75.27,1674414592.0,0.999047040939331,76,100000,120,0.00043143408,-0.001088500535752246,-287197.99853628
-12.7615821108222,1326,4000636397.4,0.2,0.0,0.0003,-2.384185791015625e-07,75.7,1880336896.0,0.9989849925041199,82,110000,130,0.00046939682,-0.0013387321057962253,-284426.01621051
-12.760334774851799,1336,3346316301.8,0.2,0.0,0.0003,2.384185791015625e-07,76.44,1467965696.0,0.9987677335739136,89,120000,140,0.000647737,-0.0014183286953993956,-275348.07602403004
-12.758084031194448,1344,3508076231.0,0.2,0.0,0.0003,0.0,78.19,1950551808.0,0.9985123872756958,96,130000,150,0.00026207662,-0.0009150482484983514,-275735.14932498
-12.753801272064447,1307,3563785787.4,0.2,0.0,0.0003,0.0,68.31,1821053056.0,0.9981449842453003,107,140000,170,0.00046273245,-0.001125647134904284,-252007.98307166997
-12.751232209056615,1316,3346108334.9,0.2,0.0,0.0003,0.0,70.2,1534946816.0,0.9976128339767456,113,150000,180,0.0005532203,-0.0011814030127425212,-247588.96918622003
-12.748759077489376,1324,3489238813.8,0.2,0.0,0.0003,0.0,73.14,1889164544.0,0.9975925087928772,120,160000,190,0.0003532586,-0.0010291055068591959,-255823.53929824007
-12.748055397719146,1331,3394055536.0,0.2,0.0,0.0003,-1.1920928955078125e-07,70.79,1810353408.0,0.9974497556686401,127,170000,200,0.00018984762,-0.0007061427233566065,-257031.84631090998
-12.746815679967403,1337,3160809652.2,0.2,0.0,0.0003,1.1920928955078125e-07,76.66,1652168320.0,0.9973103404045105,134,180000,210,0.00049231446,-0.0011290281376204804,-268199.9564872899
-12.7413869664073,1313,3294045754.4,0.2,0.0,0.0003,0.0,62.85,1610947840.0,0.9966269731521606,144,190000,230,0.00042437334,-0.001131105809872679,-237556.28134316005
-12.740116106718778,1320,3270486909.4,0.2,0.0,0.0003,-1.1920928955078125e-07,61.28,1681232896.0,0.9966633915901184,151,200000,240,0.00055553287,-0.0010929629181191558,-217303.36578060006
-12.740238430351019,1327,3162811364.6,0.2,0.0,0.0003,5.960464477539063e-08,59.26,1863233024.0,0.996659517288208,158,210000,250,0.00017439816,-0.0006882500654683099,-216965.41375212
-12.738601160049438,1333,3244333911.0,0.2,0.0,0.0003,1.1920928955078125e-07,63.21,1563760256.0,0.9962937831878662,164,220000,260,0.00016005141,-0.0006559022360306699,-229126.64340916005
-12.73669499605894,1314,3004886707.1,0.2,0.0,0.0003,-1.1920928955078125e-07,68.42,1438992512.0,0.996125340461731,175,230000,280,0.00058756454,-0.0012125425748308772,-233669.86229131
-12.735481473058462,1320,3137988801.9,0.2,0.0,0.0003,0.0,68.53,1337407872.0,0.9961552023887634,181,240000,290,0.00044655043,-0.0011080045384005643,-230288.59275512997
-12.735981722921133,1325,3129612441.8,0.2,0.0,0.0003,1.1920928955078125e-07,59.96,1376945280.0,0.9962350130081177,188,250000,300,0.00020695648,-0.0008451511115708854,-217517.71043554
-12.73566866517067,1329,3073555990.3,0.2,0.0,0.0003,0.0,66.6,1636054016.0,0.996092677116394,195,260000,310,0.00049527845,-0.0010098981760165771,-228208.27385964
-12.733090056478977,1334,3073191983.3,0.2,1.220703125e-05,0.0003,0.0,62.39,1531830016.0,0.9956779479980469,202,270000,320,0.0011557125,-0.0019020723701032693,-215868.6498866
-12.730702765285969,1317,3123312376.5,0.2,0.0,0.0003,1.1920928955078125e-07,60.71,1400189056.0,0.9957343339920044,212,280000,340,0.00021533374,-0.0008763258830185805,-209780.12799685
-12.72926305308938,1320,2964667595.0,0.2,0.0,0.0003,1.1920928955078125e-07,67.09,1429030528.0,0.9951907396316528,219,290000,350,0.00069335283,-0.0014862611051285057,-228237.60585628
-12.725673668831586,1325,2840593664.6,0.2,0.0,0.0003,0.0,62.0,1509136384.0,0.9949206113815308,226,300000,360,0.0008734719,-0.001355418877210468,-213298.04491291
-12.723396477103233,1328,3016286004.7,0.2,0.0,0.0003,0.0,62.5,1610193024.0,0.9947130680084229,233,310000,370,0.00023416699,-0.0007460883243766148,-211372.59077798005
-12.71914371624589,1313,3172736102.8,0.2,0.0,0.0003,1.1920928955078125e-07,55.57,1650642688.0,0.9941937923431396,243,320000,390,0.0006446983,-0.0011638711539490032,-203753.54551212
-12.717579586803913,1317,3070192593.2,0.2,0.00023193359375,0.0003,0.0,58.9,1733817600.0,0.9941791892051697,250,330000,400,0.0016066567,-0.0024612333696495624,-202103.74756454
-12.717995385080576,1320,3012566951.4,0.2,0.0,0.0003,0.0,60.25,1846382848.0,0.9942711591720581,257,340000,410,0.00035305836,-0.0009003707862575538,-215416.22004504
-12.717274007201194,1323,3081198161.2,0.2,0.0,0.0003,0.0,58.44,1747695872.0,0.9940207004547119,264,350000,420,0.00056542794,-0.0010603685978821885,-203471.43072181998
-12.715512680262327,1327,2894283260.1,0.2,0.0,0.0003,0.0,69.47,1315069184.0,0.9938786625862122,271,360000,430,0.00064647733,-0.001357468638343562,-217150.54545811002
-12.713687302917242,1314,2909220964.6,0.2,0.0,0.0003,-1.1920928955078125e-07,62.51,1409584256.0,0.9935079216957092,281,370000,450,0.0004992343,-0.0009998837440434727,-202058.63339368
-12.711527942121029,1317,2684631836.2,0.2,0.0,0.0003,0.0,73.99,1128472960.0,0.9935225248336792,288,380000,460,0.00047685468,-0.0010490238391867024,-228536.6481925
-12.709099932014942,1320,2881506877.7,0.2,0.0,0.0003,0.0,60.09,1425995776.0,0.9929681420326233,295,390000,470,0.0005645212,-0.0010844153409379942,-193960.31310318998
-12.707339941710234,1323,2783864798.0,0.2,0.0,0.0003,0.0,54.39,1260849152.0,0.9931252002716064,302,400000,480,0.00079246843,-0.0012892719239516737,-189590.63321625997
-12.70621466934681,1312,2906005380.9,0.2,0.0,0.0003,1.1920928955078125e-07,58.35,1285291776.0,0.9929295778274536,312,410000,500,0.0002572603,-0.0007952369974645989,-198135.56439364006
-12.703760544210672,1314,2618754439.1,0.2,0.0,0.0003,0.0,65.88,1402726528.0,0.9923900961875916,319,420000,510,0.00089826813,-0.0015179092222751933,-204598.68024595
-12.700364580750465,1317,2650253014.0,0.2,0.0,0.0003,1.7881393432617188e-07,65.0,1356072960.0,0.9921891093254089,326,430000,520,0.000311046,-0.0008562827966670739,-202385.89302894
-12.696391431242228,1320,2799551276.1,0.2,1.220703125e-05,0.0003,1.1920928955078125e-07,56.04,1369570944.0,0.9915134906768799,333,440000,530,0.0007543596,-0.0014154309443256351,-191436.00144614
-12.69166478589177,1323,2861029196.3,0.2,0.0,0.0003,0.0,62.71,1339740288.0,0.9911719560623169,340,450000,540,0.0009888138,-0.0014797415868088137,-198540.34855058
-12.691019101440906,1313,2752368253.7,0.2,0.0,0.0003,0.0,65.35,1358632832.0,0.9912052154541016,350,460000,560,0.00030207762,-0.0007601210423672456,-201362.70820961994
-12.690742669254542,1315,2406015003.3,0.2,0.0,0.0003,0.0,80.83,1110464896.0,0.9912400841712952,357,470000,570,0.0003725672,-0.0009219502815540181,-234463.48743068997
-12.692350748926401,1318,2489383156.2,0.2,0.0,0.0003,0.0,53.24,1446198784.0,0.9915896654129028,364,480000,580,0.00084352156,-0.0013359389575271052,-180158.32021203
-12.691621012240649,1320,2884783464.2,0.2,0.0,0.0003,0.0,56.53,1541351680.0,0.9910746812820435,371,490000,590,0.0002149394,-0.000735973168775672,-185753.82613077
-12.684495600312948,1311,2699428823.1,0.2,0.0,0.0003,0.0,59.47,1394710144.0,0.9899636507034302,381,500000,610,0.00046746762,-0.0010782875243421585,-191871.17413269996
-12.676647585630416,1313,2606526189.1,0.2,0.0,0.0003,-2.384185791015625e-07,54.94,1164173184.0,0.9894184470176697,388,510000,620,0.00090850925,-0.0013847849404555745,-183250.61029184997
-12.673847187310457,1316,2732347354.5,0.2,0.0,0.0003,0.0,68.84,1392949248.0,0.9893361330032349,395,520000,630,0.0004006606,-0.0008365059195057257,-207856.55832933998
-12.672210730612278,1318,2574802215.2,0.2,0.0,0.0003,-2.384185791015625e-07,50.45,1242343424.0,0.9890480041503906,401,530000,640,0.00021710296,-0.0007317754472751404,-169868.01492196
-12.669420907646417,1321,2909662973.8,0.2,1.220703125e-05,0.0003,-2.384185791015625e-07,55.2,1354286592.0,0.988745391368866,408,540000,650,0.0008161523,-0.0012774622460710815,-177996.85297935
-12.665827457606792,1313,2671196323.6,0.2,1.220703125e-05,0.0003,1.1920928955078125e-07,61.35,1304208768.0,0.9882922768592834,418,550000,670,0.0009697282,-0.0016140779265697348,-192751.78041071995
-12.663159441202879,1315,2618234418.0,0.2,0.0,0.0003,2.384185791015625e-07,58.16,1276546432.0,0.9881483912467957,425,560000,680,0.0005746667,-0.001106781742964813,-180343.86618245995
-12.659837447851896,1317,2480832796.1,0.2,0.0,0.0003,0.0,53.23,1047535872.0,0.9875572919845581,432,570000,690,0.00043939234,-0.0009609510361769935,-171257.71746965003
-12.655243431776762,1320,2705546386.0,0.2,0.0,0.0003,0.0,60.33,1317418112.0,0.9871799945831299,439,580000,700,0.00050080195,-0.0010391946823801845,-180572.51717186
-12.646415729820728,1313,2532989625.3,0.2,0.0,0.0003,1.1920928955078125e-07,61.89,1180341376.0,0.9861061573028564,449,590000,720,0.00057970104,-0.0011799804924521595,-189206.30714891
-12.643740735203028,1315,2604594375.3,0.2,0.0,0.0003,0.0,64.05,1273241088.0,0.986099898815155,456,600000,730,0.00023737835,-0.0006766818704818433,-194412.77548828
-12.644488550722599,1317,2287595213.4,0.2,0.0,0.0003,0.0,58.75,1134290432.0,0.9862644672393799,462,610000,740,0.0008113691,-0.0014132812179923349,-182729.21223061002
