time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/step_size,train/iterations,train/delta_std,rollout/return_std,train/learning_rate
2,10000,3395,1000.0,-29825860.0,,,,,
5,20000,3393,1000.0,-29722172.385764,,,,,
8,30000,3391,1000.0,-29721527.732115857,,,,,
11,40000,3392,751.9166666666666,-22342769.306335583,,,,,
14,50000,3392,801.5333333333333,-23858098.840463933,,,,,
17,60000,3356,339.0,-10072643.333333334,2.0892546026551884e-10,0,0.05,11965990.0,0.02
20,70000,3361,575.8571428571429,-17156596.66937143,,,,,
23,80000,3365,670.1111111111111,-19828568.118359443,,,,,
26,90000,3369,695.0769230769231,-20637296.423527382,,,,,
29,100000,3370,503.0,-14900822.1129345,1.6865027430146284e-10,1,0.05,14823574.0,0.02
32,110000,3372,574.0,-17020778.837120287,,,,,
35,120000,3373,602.2,-17911861.8872372,,,,,
38,130000,3375,694.0,-20612448.64002423,,,,,
41,140000,3376,734.8,-21854863.61946327,,,,,
44,150000,3377,672.0,-19983844.409731,1.8836231185925811e-10,2,0.05,13272294.0,0.02
47,160000,3379,673.8333333333334,-19966374.240407165,,,,,
50,170000,3380,588.3333333333334,-17473575.253202,,,,,
53,180000,3382,647.1428571428571,-19256143.727006998,,,,,
56,190000,3382,402.8,-11844816.9074914,1.686447093085519e-10,3,0.05,14824065.0,0.02
59,200000,3382,573.4285714285714,-16982728.538403857,,,,,
62,210000,3383,638.0909090909091,-18972517.360449184,,,,,
64,220000,3384,693.7692307692307,-20651562.381918542,,,,,
67,230000,3385,1000.0,-29763954.839804,1.7586671008373855e-10,4,0.05,14215311.0,0.02
70,240000,3386,503.5,-14948747.633163666,,,,,
73,250000,3378,602.6,-17949794.2616864,,,,,
76,260000,3379,536.0,-15959171.0759272,,,,,
79,270000,3379,669.3333333333334,-19837953.333333332,1.6403844949053337e-10,5,0.05,15240329.0,0.02
82,280000,3380,801.6,-23857204.53615,,,,,
85,290000,3381,586.75,-17421470.240672752,,,,,
88,300000,3382,645.7857142857143,-19223783.06343379,,,,,
91,310000,3382,668.6666666666666,-19743063.333333332,1.6801196545124242e-10,6,0.05,14879893.0,0.02
94,320000,3382,447.44444444444446,-13226975.750228222,,,,,
97,330000,3382,585.5833333333334,-17377634.10290608,,,,,
100,340000,3383,602.8666666666667,-17900341.3531564,,,,,
103,350000,3384,668.3333333333334,-20014756.666666668,1.684848510707937e-10,7,0.05,14838129.0,0.02
106,360000,3384,801.0,-23995666.0,,,,,
109,370000,3384,586.6666666666666,-17510044.613462,,,,,
