time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/step_size,train/iterations,train/delta_std,rollout/return_std,train/learning_rate
112,380000,3384,,,1.6381096479278767e-10,8,0.05,15261493.0,0.02
115,390000,3385,751.0,-22540306.17521025,,,,,
118,400000,3385,715.5714285714286,-21364247.81440586,,,,,
121,410000,3384,6.0,-100150.0,1.6266844815593373e-10,9,0.05,15368684.0,0.02
124,420000,3385,502.5,-14965347.88310775,,,,,
126,430000,3386,503.0,-14996170.0677825,,,,,
129,440000,3386,541.1538461538462,-16150192.893274693,,,,,
132,450000,3386,,,1.6784473810815825e-10,10,0.05,14894718.0,0.02
135,460000,3386,186.27272727272728,-5525900.0,,,,,
138,470000,3387,,,1.877749761236558e-10,11,0.05,13313807.0,0.02
141,480000,3387,1000.0,-29936294.542760998,,,,,
144,490000,3387,715.7142857142857,-21342208.67973414,,,,,
147,500000,3387,617.1538461538462,-18390685.53470654,,,,,
150,510000,3387,668.2,-19940252.130078997,,,,,
153,520000,3387,336.5,-10010078.5851195,1.7548590358629212e-10,12,0.05,14246159.0,0.02
156,530000,3388,402.7,-12002318.151071701,,,,,
159,540000,3388,4.0,-100090.0,1.6390026835733096e-10,13,0.05,15253178.0,0.02
162,550000,3388,502.0,-15015902.5,,,,,
165,560000,3389,420.0,-12490816.591731584,,,,,
168,570000,3389,502.85714285714283,-14969935.8012485,,,,,
171,580000,3384,253.25,-7579445.0,1.6414931913733e-10,14,0.05,15230036.0,0.02
174,590000,3385,276.3636363636364,-8245513.86044409,,,,,
177,600000,3385,,,1.6729899410261595e-10,15,0.05,14943305.0,0.02
180,610000,3386,1000.0,-29850359.922092497,,,,,
183,620000,3386,834.0,-24940165.71366933,,,,,
186,630000,3386,875.5,-26137288.55713075,,,,,
188,640000,3387,834.0,-24858298.456662253,,,,,
191,650000,3387,,,1.8821050273842843e-10,16,0.05,13282999.0,0.02
194,660000,3387,303.7,-9051972.680157099,,,,,
197,670000,3387,419.75,-12542836.98648,,,,,
200,680000,3388,1000.0,-30037660.0,1.6338504160717804e-10,17,0.05,15301278.0,0.02
203,690000,3388,751.0,-22512907.5,,,,,
206,700000,3388,,,1.6760627608025658e-10,18,0.05,14915909.0,0.02
209,710000,3388,289.14285714285717,-8636401.42857143,,,,,
212,720000,3388,336.26666666666665,-10040951.052194467,,,,,
215,730000,3388,205.2,-6061331.463171,1.6772622180027952e-10,19,0.05,14905242.0,0.02
218,740000,3389,367.1818181818182,-10960748.836343272,,,,,
221,750000,3389,403.26666666666665,-12048181.146651734,,,,,
224,760000,3389,205.4,-6095742.0,1.6346314579696042e-10,20,0.05,15293968.0,0.02
227,770000,3390,312.15384615384613,-9291275.060064768,,,,,
230,780000,3390,502.5,-15025801.1333715,1.7501659843599526e-10,21,0.05,14284359.0,0.02
232,790000,3390,336.5833333333333,-10047458.711123833,,,,,
235,800000,3390,402.93333333333334,-12041519.684051935,,,,,
238,810000,3391,1000.0,-29977120.0,1.636153018624853e-10,22,0.05,15279744.0,0.02
241,820000,3391,801.6,-24007502.853460602,,,,,
244,830000,3392,779.1111111111111,-23346585.89730611,,,,,
247,840000,3392,751.5,-22516994.422979582,,,,,
250,850000,3392,115.77777777777777,-3425398.888888889,1.7479588609869978e-10,23,0.05,14302395.0,0.02
253,860000,3393,234.69230769230768,-6986986.861564462,,,,,
256,870000,3393,337.6666666666667,-10072603.333333334,1.7521402384534923e-10,24,0.05,14268264.0,0.02
259,880000,3393,337.1111111111111,-10077071.111111112,,,,,
262,890000,3393,290.14285714285717,-8650845.714285715,1.8684824520942556e-10,25,0.05,13379842.0,0.02
265,900000,3393,289.5,-8639972.45086307,,,,,
268,910000,3393,1000.0,-30001087.6471675,1.750799089039745e-10,26,0.05,14279193.0,0.02
271,920000,3393,573.2857142857143,-17186732.335799284,,,,,
274,930000,3393,585.0,-17525059.540804833,,,,,
277,940000,3393,,,1.6340033492934225e-10,27,0.05,15299846.0,0.02
279,950000,3393,431.2857142857143,-12895469.243512427,,,,,
282,960000,3393,387.3076923076923,-11581638.215312539,,,,,
285,970000,3393,335.6666666666667,-10085996.666666666,1.6369799960003206e-10,28,0.05,15272026.0,0.02
288,980000,3393,377.375,-11308687.957185125,,,,,
291,990000,3393,,,1.6724424622971412e-10,29,0.05,14948197.0,0.02
294,1000000,3393,336.8333333333333,-10079305.0,,,,,
