train/explained_variance,train/std,train/is_line_search_success,train/kl_divergence_loss,train/policy_objective,time/fps,time/time_elapsed,time/total_timesteps,train/n_updates,rollout/ep_len_mean,train/learning_rate,train/value_loss,rollout/ep_rew_mean
2.86102294921875e-06,1.005341649055481,1.0,0.005399104207754135,0.07105307281017303,1626,6,10000,1,52.58,0.0013,6906870408.0,-287950.71321464
0.0,1.0028119087219238,1.0,0.004096654709428549,0.05382885783910751,1613,12,20000,2,34.83,0.0013,5466803767.2,-173262.71003109
0.0,0.988137423992157,1.0,0.0046142712235450745,0.0539361946284771,1605,18,30000,3,37.97,0.0013,4822119148.0,-173003.7146647
0.0,0.98691725730896,1.0,0.004755987320095301,0.05046887695789337,1603,24,40000,4,37.58,0.0013,4550378304.0,-172735.03519165
0.0,0.9801678657531738,1.0,0.0049636512994766235,0.06110592558979988,1538,32,50000,6,34.52,0.0013,4347014214.4,-157074.14516313
0.0,0.9789099097251892,1.0,0.004476045724004507,0.05964207649230957,1548,38,60000,7,40.66,0.0013,4135967806.0,-163657.11425493998
1.1920928955078125e-07,0.9696575999259949,1.0,0.0044784885831177235,0.058546099811792374,1556,44,70000,8,33.64,0.0013,3814026591.2,-138352.48376702002
0.0,0.9719672203063965,1.0,0.004461605567485094,0.05505569279193878,1564,51,80000,9,33.19,0.0013,3579350680.0,-139713.65281337
0.0,0.9719375967979431,1.0,0.004695008974522352,0.0599614679813385,1566,57,90000,10,32.44,0.0013,3632134558.0,-133221.44402018
-1.1920928955078125e-07,0.9566595554351807,1.0,0.0057401712983846664,0.06641103327274323,1535,65,100000,12,35.03,0.0013,3471120195.6,-139774.27008451
0.0,0.9597527980804443,1.0,0.0051392302848398685,0.05678278207778931,1537,71,110000,13,35.06,0.0013,3252501458.8,-130698.84883858002
0.0,0.9511449337005615,1.0,0.005245621781796217,0.06333547830581665,1539,77,120000,14,43.91,0.0013,3187534632.8,-151750.52637622
0.0,0.9484605193138123,1.0,0.0060128397308290005,0.06549526005983353,1540,84,130000,15,46.69,0.0013,3233812724.4,-160883.58498385997
0.0,0.9445694088935852,1.0,0.00517283845692873,0.06434792280197144,1521,92,140000,17,45.36,0.0013,3058191520.0,-156188.87057812
0.0,0.930422306060791,1.0,0.005611421074718237,0.062253646552562714,1526,98,150000,18,46.52,0.0013,3103031609.2,-156396.01803695
0.0,0.9275181889533997,1.0,0.005847098771482706,0.0636889711022377,1529,104,160000,19,48.04,0.0013,2875535217.2,-154986.64448056
0.0,0.918091356754303,1.0,0.005475394893437624,0.06277145445346832,1533,110,170000,20,50.99,0.0013,2759202246.0,-147657.41444683998
0.0,0.9128580689430237,1.0,0.00571146234869957,0.06898416578769684,1536,117,180000,21,58.41,0.0013,2578040610.2,-156755.29451185
0.0,0.8887051939964294,1.0,0.006293008103966713,0.06585907936096191,1521,124,190000,23,67.53,0.0013,2145693479.6,-160691.08041399
0.0,0.8858116269111633,1.0,0.006481693591922522,0.06722210347652435,1523,131,200000,24,66.24,0.0013,2068806637.0,-158688.06363632
0.0,0.8827244639396667,1.0,0.0068167210556566715,0.06942146271467209,1525,137,210000,25,63.8,0.0013,2230325413.6,-151052.39864591
-1.1920928955078125e-07,0.8772487044334412,1.0,0.0063052549958229065,0.0753355547785759,1529,143,220000,26,77.05,0.0013,2069167533.4,-168895.70014810003
0.0,0.8679890632629395,1.0,0.007235059514641762,0.07546647638082504,1519,151,230000,28,65.98,0.0013,1994801564.8,-148068.40709423998
-1.1920928955078125e-07,0.8629457950592041,1.0,0.006275357212871313,0.07183383405208588,1521,157,240000,29,71.53,0.0013,1778652460.6,-136254.62796146
-1.1920928955078125e-07,0.866468608379364,1.0,0.006829734891653061,0.0738690048456192,1523,164,250000,30,78.34,0.0013,1729121878.2,-140787.94118546002
-1.1920928955078125e-07,0.8681724667549133,1.0,0.0068846517242491245,0.07062794268131256,1524,170,260000,31,78.68,0.0013,1667254765.0,-132316.39800694
0.0,0.8669418692588806,1.0,0.007856011390686035,0.07340702414512634,1525,176,270000,32,77.67,0.0013,1612622630.8,-137703.40039333
0.0,0.8675420880317688,1.0,0.007589571177959442,0.07363422214984894,1514,184,280000,34,91.08,0.0013,1314332612.0,-120929.50110617
