time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/iterations,train/step_size,rollout/return_std,train/learning_rate,train/delta_std
5,10000,1715,-33544181.908628,672.0,,,,,
11,20000,1717,-33491698.64958417,670.5,,,,,
17,30000,1720,-39049878.39458577,780.3333333333334,,,,,
23,40000,1720,-41061733.170921,820.2727272727273,,,,,
29,50000,1720,,,0,1.0129814521919744e-11,22211660.0,0.0018,0.05
34,60000,1720,-49993326.0496985,1000.0,,,,,
40,70000,1720,-41749655.5454415,837.1666666666666,,,,,
46,80000,1719,-43789859.072651125,877.875,,,,,
52,90000,1718,,,1,9.08822149481292e-12,24757320.0,0.0018,0.05
58,100000,1719,-33487022.335631,669.3333333333334,,,,,
63,110000,1719,-41750097.689379506,834.6666666666666,,,,,
69,120000,1719,-39006018.152716555,779.8888888888889,,,,,
75,130000,1719,-41762398.2948115,834.9166666666666,,,,,
81,140000,1720,-42943892.61506885,858.5,,,,,
87,150000,1720,-25272718.638999,506.0,2,1.3229175567508467e-11,17007862.0,0.0018,0.05
92,160000,1720,-37600315.167704746,753.0,,,,,
98,170000,1720,-37652448.619156875,753.875,,,,,
104,180000,1720,-40142118.3972488,803.1,,,,,
110,190000,1719,-39434083.362973504,789.4285714285714,,,,,
116,200000,1720,-480933.647214,14.0,3,1.1256411601434646e-11,19988608.0,0.0018,0.05
122,210000,1720,-37690988.5072605,753.5,,,,,
127,220000,1720,-41839514.233672336,835.6666666666666,,,,,
133,230000,1721,-36565174.755539365,731.7272727272727,,,,,
139,240000,1721,-35918573.126934074,718.6428571428571,,,,,
145,250000,1721,-49731460.291285,1000.0,4,1.014175549096663e-11,22185508.0,0.0018,0.05
150,260000,1722,-30171609.785440404,607.0,,,,,
156,270000,1722,-33485710.73763656,671.4444444444445,,,,,
162,280000,1722,-36498559.31535582,731.1818181818181,,,,,
168,290000,1722,,,5,9.46462960088601e-12,23772720.0,0.0018,0.05
174,300000,1722,-50077522.953438,1000.0,,,,,
179,310000,1722,-50099065.9961928,1000.0,,,,,
185,320000,1722,-39026606.40434444,779.7777777777778,,,,,
191,330000,1722,-41782320.43607199,834.8333333333334,,,,,
197,340000,1722,-40081809.46216066,801.6666666666666,,,,,
203,350000,1722,-25415388.94537475,510.25,6,1.1209132580458636e-11,20072918.0,0.0018,0.05
208,360000,1722,-33601629.18956717,673.5,,,,,
214,370000,1723,-35245395.5146815,704.7,,,,,
220,380000,1723,-37722703.36825417,753.9166666666666,,,,,
226,390000,1723,-49948279.682568,1000.0,7,9.451227994672351e-12,23806430.0,0.0018,0.05
232,400000,1722,-37555039.777277745,753.0,,,,,
237,410000,1722,-33403088.489246327,670.5555555555555,,,,,
243,420000,1722,-36452506.62145645,730.4545454545455,,,,,
249,430000,1722,-35806817.7629515,718.0714285714286,,,,,
