time/fps,rollout/ep_rew_mean,time/total_timesteps,train/loss,train/clip_range,rollout/ep_len_mean,train/explained_variance,time/time_elapsed,train/n_updates,train/value_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/std,train/entropy_loss
1204,-487317.887368011,10000,2718740480.0,0.2,105.78260869565217,1.0728836059570312e-06,8,10,5581912424.2,0.0003,0.0,0.00091270625,-0.0018388108391263814,0.9997957348823547,-17.026046758890153
1208,-452304.67461968993,20000,2637970176.0,0.2,98.67,-1.1920928955078125e-07,16,20,5765304499.8,0.0003,0.0002197265625,0.0017460325,-0.0031032006694658777,0.9995768666267395,-17.02360745668411
1209,-410724.86144002003,30000,1833931008.0,0.2,93.08,0.0,24,30,4753049029.8,0.0003,1.220703125e-05,0.0010179842,-0.0019711130364157723,0.9995386600494385,-17.02198264747858
1208,-452574.02165679,40000,2545699328.0,0.2,108.09,1.1920928955078125e-07,33,40,4940475370.2,0.0003,0.0,0.0004339852,-0.0012258337007551745,0.9993427395820618,-17.020524542033673
1107,-444908.61176327005,50000,2193088256.0,0.2,109.53,0.0,45,60,4356463069.0,0.0003,0.0,0.0007468385,-0.0016132725644638413,0.9992795586585999,-17.018536213040353
1122,-432126.79675681004,60000,2053998592.0,0.2,101.99,0.0,53,70,4718635445.8,0.0003,0.0,0.00037899378,-0.0011484189137263457,0.9992370009422302,-17.018315908312797
1122,-381494.92155828996,70000,1878352128.0,0.2,92.15,0.0,62,80,4389148847.2,0.0003,0.0,0.00050138216,-0.0012516569191575399,0.9989273548126221,-17.016230025887488
1132,-421680.27232679,80000,2153530880.0,0.2,104.94,-1.1920928955078125e-07,70,90,4287257271.6,0.0003,0.0,0.000538539,-0.0011923924846087175,0.9989739060401917,-17.01468866914511
1140,-393277.2817692299,90000,2248212224.0,0.2,93.98,1.1920928955078125e-07,78,100,4187819939.4,0.0003,0.0,0.00034411706,-0.0011011469478034996,0.9990909099578857,-17.01563356369734
1094,-387273.31804116,100000,1982539136.0,0.2,93.83,0.0,91,120,4486529387.0,0.0003,0.0,0.0009705442,-0.0018589726179925492,0.9985993504524231,-17.010878251492976
1101,-450865.03351056995,110000,2218333952.0,0.2,115.91,0.0,99,130,4316619977.2,0.0003,0.0,0.00028563055,-0.0008975371476481087,0.9985105991363525,-17.009874103963377
1108,-350494.02476093994,120000,2413709824.0,0.2,83.73,0.0,108,140,4122120405.2,0.0003,1.220703125e-05,0.0010253377,-0.0017581184321898036,0.9982770085334778,-17.007986643910407
1113,-417083.0939955299,130000,2075012864.0,0.2,106.02,0.0,116,150,4406259578.6,0.0003,0.0,0.00060004805,-0.0014511568049783818,0.997943103313446,-17.00453571677208
1086,-404656.85630279005,140000,2394743296.0,0.2,100.09,1.7881393432617188e-07,128,170,4397401493.8,0.0003,0.0,0.00041767315,-0.0012219250837006256,0.9979478716850281,-17.003022183477878
1092,-409938.73792319006,150000,1961559168.0,0.2,103.41,1.1920928955078125e-07,137,180,4089757781.6,0.0003,2.44140625e-05,0.0013072647,-0.0021225226370006566,0.9977564215660095,-17.001450791954994
1099,-424740.41732994997,160000,2076274048.0,0.2,107.95,0.0,145,190,4328702647.6,0.0003,0.0,0.0007187624,-0.0015485143409023293,0.9977687001228333,-17.00034430772066
1104,-467794.82045404,170000,2308772352.0,0.2,122.96,0.0,153,200,4007067527.2,0.0003,0.0,0.00021143824,-0.0007947237971166032,0.9975488781929016,-16.999151170253754
1109,-379174.7434762299,180000,1970541056.0,0.2,93.82,0.0,162,210,4114410468.0,0.0003,1.220703125e-05,0.00057228655,-0.0014303280919193639,0.9974987506866455,-16.997523671388628
1088,-364646.28669961,190000,2177227776.0,0.2,91.84,1.1920928955078125e-07,174,230,4284721567.6,0.0003,0.0,0.0005229585,-0.001218639061517024,0.9970918297767639,-16.99360936284065
1093,-369569.09385432996,200000,1945344768.0,0.2,100.61,0.0,182,240,3809814255.6,0.0003,0.0,0.0005276547,-0.0013576162444223882,0.9970552921295166,-16.99207790195942
1098,-389246.34693506005,210000,1853267200.0,0.2,102.09,-1.1920928955078125e-07,191,250,3644887202.6,0.0003,0.0,0.00091007794,-0.0017602680783056711,0.9967426657676697,-16.98983838558197
1101,-349817.92626090994,220000,1861569920.0,0.2,93.66,-2.384185791015625e-07,199,260,4187883915.4,0.0003,0.0,0.00077402184,-0.0016652452695780084,0.9965500235557556,-16.986856289207935
1084,-361013.9402926099,230000,1784368256.0,0.2,99.16,0.0,212,280,3689777593.6,0.0003,0.0,0.0005803206,-0.0012261405017852667,0.9963123202323914,-16.9832835316658
