time/total_timesteps,train/critic_loss,rollout/ep_rew_mean,time/episodes,time/time_elapsed,train/actor_loss,train/learning_rate,time/fps,train/n_updates,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss
10000,3608.425537109375,-1179219.8570921307,92,61,81582.8671875,0.0064,161,2474,103.44565217391305,87.59825897216797,-0.28455474972724915
20000,3579.395751953125,-275261.9355185,203,124,63832.3984375,0.0064,160,4974,90.36,92.37395477294922,-3.1741268634796143
30000,3423.794677734375,-105769.47968452,361,187,49067.828125,0.0064,159,7474,28.94,58.631961822509766,-1.7272379398345947
40000,3595.501708984375,-206127.47939319003,506,251,38338.64453125,0.0064,158,9974,84.53,67.46158599853516,-3.3252005577087402
50000,2564.281494140625,-166841.95285835,523,314,30879.62890625,0.0064,159,12474,157.41,59.200767517089844,1.857692003250122
60000,2198.36572265625,-127293.46948656,534,376,22362.8984375,0.0064,159,14974,247.95,45.52167892456055,-1.8470278978347778
70000,1199.2742919921875,-117252.34959507003,544,439,12391.513671875,0.0064,159,17474,340.16,31.984615325927734,2.048952579498291
80000,1041.6314697265625,-159841.73088065998,554,502,6751.44970703125,0.0064,159,19974,437.04,10.714033126831055,0.3940017521381378
90000,961.5241088867188,-177416.54231969002,564,565,4668.7197265625,0.0064,159,22474,533.91,7.249947547912598,0.7501525282859802
100000,565.9805297851562,-190420.88143357995,576,627,3207.88037109375,0.0064,159,24974,635.81,6.108576774597168,3.004885196685791
110000,260.9725646972656,-187340.69510835997,597,690,2512.767333984375,0.0064,159,27474,708.86,2.9436635971069336,2.388705253601074
120000,434.6476135253906,-191746.49965536996,620,753,2439.87060546875,0.0064,159,29974,736.98,2.249746799468994,0.477966845035553
130000,248.57029724121094,-216344.26979433,630,816,1694.431640625,0.0064,159,32474,722.93,1.7103722095489502,0.0563933327794075
140000,185.32933044433594,-217319.76726923,646,879,1358.8165283203125,0.0064,159,34974,690.35,2.6972434520721436,-0.3636518120765686
150000,185.7719268798828,-163542.19761084,663,942,1426.5811767578125,0.0064,159,37474,605.38,2.6174371242523193,-1.2763625383377075
160000,109.89498138427734,-142503.15898784,680,1006,1033.333251953125,0.0064,158,39974,565.48,1.173637866973877,0.01056147925555706
170000,186.10797119140625,-134552.46073537003,697,1070,1020.4840698242188,0.0064,158,42474,591.94,1.4252785444259644,-0.09027205407619476
180000,350.2371826171875,-117693.04383602,709,1133,967.7197265625,0.0064,158,44974,637.02,1.3289777040481567,-0.07251220941543579
190000,78.55020141601562,-108905.85525245001,719,1197,866.684814453125,0.0064,158,47474,687.34,0.7560521960258484,0.38154882192611694
200000,235.10195922851562,-90087.15429134,731,1260,722.8524780273438,0.0064,158,49974,703.0,1.0424524545669556,-0.03310738503932953
210000,98.3981704711914,-89308.10849568999,740,1324,823.1553955078125,0.0064,158,52474,721.95,1.0861272811889648,-0.02561597339808941
220000,104.68852233886719,-102628.70766324,752,1389,956.6091918945312,0.0064,158,54974,760.57,0.9535341858863831,0.09230180084705353
230000,97.02690124511719,-104232.73697683001,772,1455,848.9263305664062,0.0064,158,57474,735.72,0.9890069961547852,-0.0020136914681643248
240000,87.0910873413086,-115478.57049382999,789,1519,843.6646728515625,0.0064,157,59974,772.18,1.2086446285247803,0.25669944286346436
250000,72.31672668457031,-112647.82517461,804,1585,886.9934692382812,0.0064,157,62474,747.56,0.8480052947998047,-0.07224860042333603
260000,121.37945556640625,-113606.04305843002,822,1651,799.3546142578125,0.0064,157,64974,673.06,0.7212648391723633,-0.4616292119026184
270000,119.18770599365234,-102090.01367694,840,1719,738.966064453125,0.0064,157,67474,616.68,1.2381266355514526,0.3827269971370697
280000,119.8043212890625,-92928.60198440001,848,1787,484.67120361328125,0.0064,156,69974,616.68,0.8093390464782715,0.23052223026752472
290000,80.52445983886719,-97922.68694235,860,1856,629.4166259765625,0.0064,156,72474,686.98,1.0754112005233765,-0.06356427818536758
300000,72.99651336669922,-97450.95305796001,868,1925,541.703857421875,0.0064,155,74974,721.07,1.875281810760498,0.3027019798755646
310000,79.03890991210938,-90074.17437272001,880,1995,695.9515380859375,0.0064,155,77474,733.65,0.7681640982627869,-0.13072340190410614
320000,129.37008666992188,-80486.10948285,891,2065,737.8299560546875,0.0064,154,79974,773.16,0.8520517349243164,-0.1781756728887558
330000,134.59512329101562,-97091.02526910002,903,2137,805.595458984375,0.0064,154,82474,781.59,0.9852770566940308,-0.007002472411841154
340000,165.2439727783203,-95851.05218125001,927,2208,541.745361328125,0.0064,153,84974,764.29,1.0398633480072021,0.05218368396162987
350000,247.55934143066406,-95711.73073772002,935,2279,714.1048583984375,0.0064,153,87474,813.54,0.6432310342788696,-0.2593546509742737
360000,52.81734085083008,-91994.92076695,949,2351,770.8583374023438,0.0064,153,89974,792.43,0.9439705610275269,0.10385969281196594
370000,259.51239013671875,-80537.46637969,960,2424,622.111083984375,0.0064,152,92474,786.83,0.46109724044799805,-0.7649930715560913
380000,68.22772979736328,-91764.12445838997,973,2496,636.88671875,0.0064,152,94974,752.84,0.5496264100074768,-1.3503693342208862
390000,82.5111312866211,-96222.95564622,997,2568,486.8115234375,0.0064,151,97474,652.71,0.7407971024513245,-0.10991264879703522
400000,84.70121002197266,-90027.04853715001,1010,2640,606.4983520507812,0.0064,151,99974,653.95,0.8426409959793091,0.3103850185871124
410000,58.46501541137695,-102988.55698084999,1024,2712,762.471435546875,0.0064,151,102474,688.31,0.60611492395401,-0.5705215930938721
420000,94.1900405883789,-109421.08597792,1036,2784,424.5538024902344,0.0064,150,104974,705.71,0.375815212726593,0.2492826133966446
