time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/step_size,train/learning_rate,rollout/return_std,train/delta_std,train/iterations
2395,-27102861.614970338,10000,683.0,4,,,,,
2317,-26887295.62773,20000,676.8333333333334,8,,,,,
2370,-28149295.5770471,30000,708.1,12,,,,,
2397,-30103430.251265913,40000,756.75,16,,,,,
2405,-39881889.620626,50000,1000.0,20,1.3213251326416042e-10,0.02,18920400.0,0.05,0
2418,-40011261.11361433,60000,1000.0,24,,,,,
2427,-39971104.71948666,70000,1000.0,28,,,,,
2434,-39937241.04882112,80000,1000.0,32,,,,,
2440,-33799557.754383996,90000,847.7692307692307,36,,,,,
2444,-178255.53542,100000,9.0,40,1.5624004867653696e-10,0.02,16001019.0,0.05,1
2448,-30069033.87513475,110000,752.25,44,,,,,
2452,-33408658.018947672,120000,834.8333333333334,48,,,,,
2455,-35576075.105594,130000,889.8888888888889,52,,,,,
2457,-36341984.82427354,140000,909.9090909090909,56,,,,,
2459,-34669969.307441995,150000,867.8666666666667,60,,,,,
2460,-13459688.292101333,160000,341.3333333333333,65,1.839201985154304e-10,0.02,13592851.0,0.05,2
2461,-17976376.73702,170000,455.1111111111111,69,,,,,
2462,-21968907.50388918,180000,554.1818181818181,73,,,,,
2463,-24109522.940588538,190000,607.3333333333334,77,,,,,
2465,-20083896.8156315,200000,505.5,81,1.2642638325122135e-10,0.02,19774352.0,0.05,3
2465,-32010827.6637936,210000,802.2,85,,,,,
2467,-30021633.898898125,220000,753.5,89,,,,,
2468,-29197834.43277575,230000,752.8333333333334,93,,,,,
2471,-28698282.778787598,240000,736.7333333333333,97,,,,,
2472,-39830669.727646,250000,1000.0,101,1.423290652002862e-10,0.02,17564930.0,0.05,4
2472,-39881291.02998825,260000,1000.0,105,,,,,
2473,-34915861.797028124,270000,875.875,109,,,,,
2474,-35933861.6934515,280000,900.7,113,,,,,
2474,-36848253.31489261,290000,923.6153846153846,117,,,,,
2474,-37270904.780865334,300000,933.8,121,,,,,
2475,-39833897.847384006,310000,1000.0,125,2.513749763899398e-10,0.02,9945301.0,0.05,5
2477,-37391751.5783635,320000,1000.0,129,,,,,
2477,-29967647.27653333,330000,780.5555555555555,133,,,,,
2479,-31766399.515459906,340000,820.4545454545455,137,,,,,
2479,-33519202.733372785,350000,858.9285714285714,141,,,,,
2479,-39864599.28422,360000,1000.0,145,1.574923108593751e-10,0.02,15873790.0,0.05,6
2480,-31992334.4611476,370000,802.6,149,,,,,
2480,-30010424.53334175,380000,752.625,153,,,,,
2480,-30006889.416319,390000,752.1666666666666,157,,,,,
2480,-31425314.942317717,400000,787.5714285714286,161,,,,,
2480,-20137559.5150815,410000,504.5,165,1.5584963874992752e-10,0.02,16041102.0,0.05,7
2482,-29864823.452771,420000,752.25,169,,,,,
2482,-29946634.463359497,430000,752.0,173,,,,,
2481,-29045703.399608817,440000,729.3636363636364,177,,,,,
2481,-29322971.326734066,450000,735.3333333333334,181,,,,,
