train/value_loss,time/fps,train/learning_rate,train/explained_variance,rollout/ep_len_mean,train/n_updates,time/time_elapsed,time/total_timesteps,train/std,train/entropy_loss,train/policy_loss,rollout/ep_rew_mean
4381188096.0,1122,0.0007,1.1920928955078125e-07,32.34,499,8,10000,1.0091941356658936,-21.41716194152832,-1191953.625,-575863.7188108801
1757040640.0,1111,0.0007,0.0,35.0,999,17,20000,1.0152209997177124,-21.500341415405273,-750262.25,-680702.49931174
2674693632.0,1111,0.0007,0.0,42.37,1499,26,30000,1.0158295631408691,-21.513952255249023,-919141.5,-837754.6182361899
8301276160.0,1105,0.0007,0.0,34.68,1999,36,40000,1.0198293924331665,-21.574493408203125,-1618547.0,-658824.34482534
9554805760.0,1097,0.0007,0.0,28.32,2499,45,50000,1.0240490436553955,-21.63266372680664,-1687560.25,-586527.86395383
6791237632.0,1093,0.0007,0.0,37.33,2999,54,60000,1.027958869934082,-21.687898635864258,-1361972.875,-674205.91685051
3162662400.0,1094,0.0007,0.0,36.19,3499,63,70000,1.0314693450927734,-21.744035720825195,-1108169.75,-678529.37841646
5086696960.0,1093,0.0007,0.0,27.21,3999,73,80000,1.0390739440917969,-21.854890823364258,-1358811.25,-490587.54228604
6904024064.0,1093,0.0007,0.0,28.97,4499,82,90000,1.0450571775436401,-21.93743324279785,-1621514.25,-553134.37210349
6844184064.0,1093,0.0007,0.0,29.03,4999,91,100000,1.0517804622650146,-22.031156539916992,-1527352.625,-514836.91005643
1649746944.0,1095,0.0007,-1.1920928955078125e-07,35.97,5499,100,110000,1.050358533859253,-22.013547897338867,-841124.8125,-683372.8337907599
4303606272.0,1097,0.0007,1.1920928955078125e-07,38.46,5999,109,120000,1.0456149578094482,-21.934429168701172,-1274869.375,-730179.79676198
3398980096.0,1101,0.0007,0.0,35.2,6499,118,130000,1.050995945930481,-21.99791145324707,-1090116.75,-710143.31528458
5596694016.0,1104,0.0007,5.960464477539063e-08,20.34,6999,126,140000,1.0555379390716553,-22.06334114074707,-1364855.75,-442227.0998939401
6551966208.0,1109,0.0007,0.0,41.55,7499,135,150000,1.0591413974761963,-22.109010696411133,-1601621.25,-792779.7100261401
5340851712.0,1112,0.0007,0.0,30.51,7999,143,160000,1.0572636127471924,-22.074172973632812,-1355007.375,-572154.49250436
2012182272.0,1115,0.0007,0.0,32.74,8499,152,170000,1.0627576112747192,-22.157928466796875,-861099.5,-647468.46837773
2348774144.0,1117,0.0007,0.0,23.69,8999,161,180000,1.0608441829681396,-22.129926681518555,-905892.375,-452513.70951652
6348153344.0,1119,0.0007,1.1920928955078125e-07,24.45,9499,169,190000,1.0741363763809204,-22.312389373779297,-1563842.25,-435615.1990078301
3994532352.0,1118,0.0007,-2.384185791015625e-07,24.62,9999,178,200000,1.0803031921386719,-22.39456558227539,-1112203.0,-432897.38438406
4482501632.0,1118,0.0007,2.384185791015625e-07,27.45,10499,187,210000,1.0861772298812866,-22.477737426757812,-1214066.125,-527433.0740344501
6764500992.0,1120,0.0007,-1.1920928955078125e-07,25.31,10999,196,220000,1.0899293422698975,-22.518707275390625,-1617086.375,-479213.89450269
2483777024.0,1122,0.0007,0.0,34.7,11499,204,230000,1.0992151498794556,-22.642578125,-918158.8125,-701688.3811507202
