train/value_loss,time/fps,train/learning_rate,train/explained_variance,rollout/ep_len_mean,train/n_updates,time/time_elapsed,time/total_timesteps,train/std,train/entropy_loss,train/policy_loss,rollout/ep_rew_mean
3126886912.0,1122,0.0007,-1.1920928955078125e-07,29.22,11999,213,240000,1.1100817918777466,-22.784923553466797,-1139445.0,-515244.79690238
7451571200.0,1123,0.0007,2.384185791015625e-07,25.66,12499,222,250000,1.1069896221160889,-22.729799270629883,-1759123.625,-484926.71664866
3837345024.0,1121,0.0007,-1.1920928955078125e-07,32.55,12999,231,260000,1.1154627799987793,-22.83232307434082,-1281403.75,-560070.64474402
1770143488.0,1119,0.0007,0.0,24.24,13499,241,270000,1.1261100769042969,-22.964841842651367,-868702.0,-405394.84221370006
2314812160.0,1117,0.0007,1.1920928955078125e-07,30.8,13999,250,280000,1.1278630495071411,-22.99766731262207,-1017727.5,-589638.92792605
3208954880.0,1115,0.0007,0.0,26.91,14499,260,290000,1.1295300722122192,-23.018388748168945,-1054153.875,-471711.4170811899
3793946624.0,1114,0.0007,0.0,20.89,14999,269,300000,1.1393500566482544,-23.145170211791992,-1197816.75,-405414.73908012005
13347081216.0,1116,0.0007,0.0,35.13,15499,277,310000,1.1465684175491333,-23.230939865112305,-2435405.0,-697532.1692922302
2422632960.0,1117,0.0007,0.0,34.51,15999,286,320000,1.152909755706787,-23.318418502807617,-1030633.875,-684155.23650479
2858150144.0,1118,0.0007,0.0,27.16,16499,294,330000,1.1570080518722534,-23.355592727661133,-1023077.3125,-487936.6375690899
9273768960.0,1120,0.0007,0.0,27.35,16999,303,340000,1.164111852645874,-23.450849533081055,-1858895.625,-805024.65885511
5156846592.0,1119,0.0007,0.0,41.18,17499,312,350000,1.1690495014190674,-23.498537063598633,-1366239.625,-925214.92301035
3526303744.0,1118,0.0007,0.0,44.48,17999,321,360000,1.1748981475830078,-23.56702995300293,-1233647.875,-1027505.7628295501
7410447360.0,1119,0.0007,-1.1920928955078125e-07,28.64,18499,330,370000,1.1769061088562012,-23.593364715576172,-1759166.375,-492754.20297717
5999004672.0,1119,0.0007,0.0,27.5,18999,339,380000,1.1741578578948975,-23.548721313476562,-1529030.875,-476849.05842998007
3763189760.0,1118,0.0007,0.0,36.49,19499,348,390000,1.1720525026321411,-23.5281982421875,-1261536.25,-725552.56996042
5087497216.0,1118,0.0007,1.1920928955078125e-07,27.54,19999,357,400000,1.1792608499526978,-23.605392456054688,-1398979.625,-540390.3377943601
5826793472.0,1117,0.0007,0.0,26.34,20499,366,410000,1.1926616430282593,-23.76307487487793,-1512312.375,-468269.7707749999
2173023488.0,1117,0.0007,0.0,34.64,20999,375,420000,1.2033697366714478,-23.896099090576172,-971204.375,-574779.76731962
3153138176.0,1117,0.0007,0.0,34.76,21499,384,430000,1.2129629850387573,-24.002317428588867,-1146954.75,-619317.06664796
1704721280.0,1118,0.0007,5.960464477539063e-08,21.72,21999,393,440000,1.2155765295028687,-24.042606353759766,-882315.0,-399209.11622076994
4998193664.0,1118,0.0007,0.0,32.66,22499,402,450000,1.2148367166519165,-24.04446029663086,-1357305.125,-635095.6409026299
14927326208.0,1118,0.0007,0.0,27.08,22999,411,460000,1.2210960388183594,-24.124797821044922,-2384270.5,-645176.0065076
5075469312.0,1119,0.0007,0.0,27.34,23499,419,470000,1.227271318435669,-24.203702926635742,-1473285.375,-515753.29223215
6116746240.0,1120,0.0007,-1.1920928955078125e-07,23.09,23999,428,480000,1.2381163835525513,-24.336566925048828,-1659869.0,-426866.1368936599
7532059648.0,1121,0.0007,0.0,26.96,24499,436,490000,1.2481662034988403,-24.473358154296875,-1759346.375,-497721.83715722995
7161539584.0,1122,0.0007,1.1920928955078125e-07,27.51,24999,445,500000,1.2623006105422974,-24.635133743286133,-1680709.25,-513597.13554943
10886326272.0,1122,0.0007,5.960464477539063e-08,27.06,25499,454,510000,1.2686511278152466,-24.719179153442383,-2213567.25,-510256.43631658994
6494585344.0,1122,0.0007,0.0,37.11,25999,463,520000,1.289495587348938,-24.96666145324707,-1643483.0,-761603.69074206
8546333696.0,1121,0.0007,0.0,22.84,26499,472,530000,1.3005807399749756,-25.102384567260742,-2142010.5,-433035.3521762101
5211199488.0,1120,0.0007,0.0,19.31,26999,481,540000,1.3035850524902344,-25.135486602783203,-1560307.625,-395798.16370022
4696869888.0,1120,0.0007,0.0,21.56,27499,490,550000,1.320289969444275,-25.32563591003418,-1455918.375,-438171.29152318
3278270976.0,1121,0.0007,0.0,37.6,27999,499,560000,1.3232343196868896,-25.364534378051758,-1293373.5,-789363.7909999501
7310670848.0,1122,0.0007,0.0,27.47,28499,507,570000,1.3382855653762817,-25.5331974029541,-1922247.375,-580427.4217903101
8946778112.0,1122,0.0007,0.0,26.79,28999,516,580000,1.34766685962677,-25.648300170898438,-1958521.625,-561832.77509725
7944870912.0,1122,0.0007,0.0,29.59,29499,525,590000,1.3464685678482056,-25.647384643554688,-1929785.75,-538760.27911957
3521664512.0,1123,0.0007,0.0,27.94,29999,534,600000,1.3527491092681885,-25.718135833740234,-1362678.375,-512843.04349580995
3771588608.0,1123,0.0007,0.0,46.49,30499,542,610000,1.3521696329116821,-25.702159881591797,-1335012.375,-929941.3798672798
2623429632.0,1123,0.0007,-1.1920928955078125e-07,33.68,30999,551,620000,1.356757402420044,-25.75076675415039,-1040053.3125,-604270.0087824201
4918713344.0,1124,0.0007,-1.1920928955078125e-07,30.08,31499,560,630000,1.3651927709579468,-25.854015350341797,-1615228.0,-576238.07115038
3699879168.0,1123,0.0007,0.0,31.32,31999,569,640000,1.3712902069091797,-25.91872787475586,-1478208.75,-613873.16324438
2680305408.0,1123,0.0007,0.0,35.31,32499,578,650000,1.3769378662109375,-25.98330307006836,-1141249.75,-663681.85020636
5195412992.0,1124,0.0007,0.0,37.1,32999,586,660000,1.3841297626495361,-26.0621337890625,-1715394.25,-777411.7698224499
5413286400.0,1124,0.0007,-2.384185791015625e-07,27.48,33499,595,670000,1.3923945426940918,-26.165790557861328,-1698027.0,-563830.15943655
2858818048.0,1125,0.0007,1.1920928955078125e-07,34.54,33999,604,680000,1.4065136909484863,-26.314990997314453,-1298434.125,-752765.37107537
3460327936.0,1126,0.0007,0.0,41.4,34499,612,690000,1.4131942987442017,-26.369403839111328,-1263876.125,-825704.00811674
2499599872.0,1126,0.0007,-2.384185791015625e-07,38.44,34999,621,700000,1.4154094457626343,-26.391162872314453,-1142579.125,-720201.3790374899
3180492800.0,1127,0.0007,0.0,25.84,35499,629,710000,1.4157180786132812,-26.39596176147461,-1261939.875,-521406.71373071
8145623552.0,1127,0.0007,1.1920928955078125e-07,28.14,35999,638,720000,1.4274030923843384,-26.51895523071289,-2048656.0,-498558.1288819899
4339538432.0,1128,0.0007,1.1920928955078125e-07,32.23,36499,647,730000,1.441574215888977,-26.662311553955078,-1512058.625,-726910.92313094
2751094784.0,1129,0.0007,0.0,27.97,36999,655,740000,1.4466469287872314,-26.712902069091797,-1187631.25,-513406.94647862
5459801600.0,1130,0.0007,0.0,37.57,37499,663,750000,1.4542040824890137,-26.791091918945312,-1799088.75,-760150.8416767399
2345251840.0,1131,0.0007,1.1920928955078125e-07,31.01,37999,671,760000,1.466956377029419,-26.917984008789062,-1123515.25,-561956.64080609
4115794688.0,1132,0.0007,0.0,27.39,38499,680,770000,1.4785151481628418,-27.034465789794922,-1445108.125,-506441.78388326993
2040249088.0,1133,0.0007,0.0,20.28,38999,688,780000,1.4880253076553345,-27.128353118896484,-1001469.375,-421418.54792604
2451938816.0,1134,0.0007,1.1920928955078125e-07,33.34,39499,696,790000,1.5071994066238403,-27.323833465576172,-1212200.75,-630347.27403983
3912413952.0,1135,0.0007,-1.1920928955078125e-07,22.64,39999,704,800000,1.5086009502410889,-27.33395004272461,-1424280.75,-414141.0440118401
7017645568.0,1136,0.0007,-1.1920928955078125e-07,26.36,40499,712,810000,1.5229086875915527,-27.468379974365234,-1813884.25,-470522.76044662995
6902085120.0,1138,0.0007,1.1920928955078125e-07,26.6,40999,720,820000,1.5347803831100464,-27.590717315673828,-1937657.0,-478736.61684299
2119938816.0,1139,0.0007,0.0,30.98,41499,728,830000,1.5569385290145874,-27.799518585205078,-1092256.0,-561742.07111825
2187232768.0,1141,0.0007,0.0,28.74,41999,736,840000,1.550790786743164,-27.74637222290039,-1129648.75,-517172.71930378006
3351104256.0,1142,0.0007,1.7881393432617188e-07,24.73,42499,744,850000,1.5617228746414185,-27.854290008544922,-1474454.625,-421500.94532491
10867345408.0,1143,0.0007,1.7881393432617188e-07,22.06,42999,752,860000,1.5734597444534302,-27.941944122314453,-2275535.5,-427467.14648438996
4132018176.0,1144,0.0007,5.960464477539063e-08,29.25,43499,760,870000,1.5870927572250366,-28.06850814819336,-1583741.75,-601484.79192137
2037984256.0,1145,0.0007,0.0,30.95,43999,768,880000,1.6033406257629395,-28.20858383178711,-1138681.375,-612591.01716649
3117616640.0,1146,0.0007,0.0,27.5,44499,776,890000,1.6043437719345093,-28.225597381591797,-1359750.625,-515549.6638183301
3457895680.0,1147,0.0007,1.7881393432617188e-07,25.94,44999,784,900000,1.6239880323410034,-28.398197174072266,-1408513.875,-516780.9573099
3759275264.0,1148,0.0007,0.0,23.97,45499,792,910000,1.6316510438919067,-28.48361587524414,-1514047.875,-424642.58823518
2168475136.0,1149,0.0007,2.384185791015625e-07,20.44,45999,800,920000,1.6451841592788696,-28.599788665771484,-1137379.0,-365000.57539978006
7793195520.0,1149,0.0007,-1.1920928955078125e-07,25.88,46499,808,930000,1.6420118808746338,-28.578617095947266,-2301999.25,-482423.46327392006
2570609408.0,1150,0.0007,0.0,30.19,46999,816,940000,1.6559821367263794,-28.693782806396484,-1234996.5,-535062.26645858
6044003328.0,1151,0.0007,1.1920928955078125e-07,20.77,47499,824,950000,1.668497920036316,-28.806209564208984,-1829334.625,-373984.3283814
2782432768.0,1152,0.0007,2.384185791015625e-07,32.54,47999,832,960000,1.6851876974105835,-28.94925880432129,-1299596.25,-597010.6918751298
5743581696.0,1153,0.0007,5.960464477539063e-08,29.99,48499,840,970000,1.7022496461868286,-29.094432830810547,-1723566.75,-523578.30547295004
3520103168.0,1154,0.0007,-1.1920928955078125e-07,25.66,48999,849,980000,1.7120633125305176,-29.168630599975586,-1463117.0,-446210.43790998997
3708480000.0,1154,0.0007,0.0,25.96,49499,857,990000,1.7289258241653442,-29.33352279663086,-1581777.375,-560578.4349330901
5610966016.0,1155,0.0007,-1.1920928955078125e-07,30.77,49999,865,1000000,1.7314510345458984,-29.358898162841797,-1845561.625,-578601.93254593
