train/n_updates,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,time/fps,time/time_elapsed,train/std,train/policy_loss,train/value_loss
499,-695923.3619869797,-1.1920928955078125e-07,-17.124540328979492,10000,44.31,0.0007,883,11,1.0081523656845093,-809143.1875,2657007104.0
999,-1601660.5236061297,-1.1920928955078125e-07,-17.227205276489258,20000,85.58,0.0007,882,22,1.0173760652542114,-689639.375,2317605888.0
1499,-980718.6195890899,0.0,-17.268754959106445,30000,57.69,0.0007,872,34,1.0203334093093872,-907870.6875,3207342336.0
1999,-607140.6767011001,5.960464477539063e-08,-17.342363357543945,40000,34.56,0.0007,868,46,1.027260184288025,-795100.0,2870819328.0
2499,-1316956.95240223,0.0,-17.371702194213867,50000,77.54,0.0007,866,57,1.0297647714614868,-841195.6875,3414208000.0
2999,-685925.03519854,0.0,-17.534326553344727,60000,40.46,0.0007,863,69,1.0443745851516724,-805794.875,2918769664.0
3499,-867294.7980746999,0.0,-17.512041091918945,70000,57.24,0.0007,860,81,1.0419241189956665,-659695.3125,1663656704.0
3999,-623867.6482549399,0.0,-17.56840705871582,80000,41.47,0.0007,857,93,1.0473135709762573,-653032.625,2542603776.0
4499,-694694.5209416699,5.960464477539063e-08,-17.598114013671875,90000,45.53,0.0007,857,104,1.0493762493133545,-680134.8125,1697489664.0
4999,-775628.25361095,0.0,-17.60395622253418,100000,49.66,0.0007,859,116,1.050804853439331,-778386.875,2469684736.0
5499,-1143052.99320957,1.1920928955078125e-07,-17.70475959777832,110000,75.55,0.0007,861,127,1.0593761205673218,-960926.0,4134025728.0
5999,-591798.19131223,-1.1920928955078125e-07,-17.818313598632812,120000,41.54,0.0007,860,139,1.0694561004638672,-923322.375,4483970048.0
6499,-697764.4136907702,0.0,-17.958826065063477,130000,47.68,0.0007,859,151,1.0819517374038696,-746910.625,2796325888.0
6999,-668364.7470681199,0.0,-18.00731086730957,140000,41.2,0.0007,857,163,1.0862126350402832,-709414.875,1761809792.0
7499,-506976.09491524,0.0,-18.138792037963867,150000,29.64,0.0007,856,175,1.0988126993179321,-543383.375,1140905472.0
7999,-753219.20609771,2.384185791015625e-07,-18.15269660949707,160000,47.08,0.0007,856,186,1.1005734205245972,-610930.8125,1451546368.0
8499,-856277.90943973,0.0,-18.242860794067383,170000,53.33,0.0007,857,198,1.1089311838150024,-894850.5,3152128512.0
8999,-585384.19824302,1.7881393432617188e-07,-18.328462600708008,180000,39.19,0.0007,856,210,1.1170017719268799,-717411.75,1703041664.0
9499,-507420.15971181006,0.0,-18.316875457763672,190000,32.04,0.0007,857,221,1.1163525581359863,-1070287.25,6025062912.0
9999,-664146.0456237199,0.0,-18.340625762939453,200000,45.84,0.0007,857,233,1.1188244819641113,-1198717.25,6276985344.0
10499,-1072023.86948155,5.960464477539063e-08,-18.404998779296875,210000,59.09,0.0007,858,244,1.1241806745529175,-883077.125,2931177216.0
10999,-875473.7251118299,-1.1920928955078125e-07,-18.422618865966797,220000,54.07,0.0007,858,256,1.126055359840393,-1065303.625,4732703232.0
11499,-1045859.0333107901,0.0,-18.463590621948242,230000,63.21,0.0007,857,268,1.12962806224823,-865267.0,2777805824.0
11999,-686043.26633498,-1.1920928955078125e-07,-18.57713508605957,240000,42.68,0.0007,858,279,1.1407321691513062,-966566.6875,4144861184.0
12499,-891448.6098037701,0.0,-18.649639129638672,250000,58.22,0.0007,857,291,1.147383451461792,-629740.125,1465884672.0
12999,-723549.3521814701,5.960464477539063e-08,-18.70370864868164,260000,39.13,0.0007,857,303,1.1537896394729614,-855159.375,3008051968.0
13499,-590917.67593302,-1.1920928955078125e-07,-18.723058700561523,270000,38.13,0.0007,856,315,1.154540777206421,-649236.625,1602434304.0
13999,-863428.09776078,0.0,-18.825481414794922,280000,53.39,0.0007,855,327,1.1643856763839722,-1086133.5,5037334016.0
14499,-712837.2919550599,0.0,-18.905838012695312,290000,46.28,0.0007,854,339,1.1717897653579712,-537088.4375,949579904.0
14999,-811986.47625379,5.960464477539063e-08,-18.960384368896484,300000,48.4,0.0007,853,351,1.17791748046875,-934679.625,3413160448.0
