time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,rollout/return_std,train/iterations,train/delta_std,train/step_size
1883,860000,1000.0,456,-39830159.18045989,,,,,
1884,870000,923.6923076923077,461,-36793080.01607161,,,,,
1884,880000,,466,,0.02,13571300.0,19,0.05,1.8421227043763366e-10
1884,890000,603.6,472,-24008610.306837797,,,,,
1884,900000,716.8571428571429,477,-28551529.367824852,,,,,
1883,910000,801.8,483,-31953676.779872697,,,,,
1883,920000,669.9333333333333,488,-26648959.364074733,,,,,
1882,930000,504.5,493,-20012445.592623,0.02,19038634.0,20,0.05,1.3131193354887216e-10
1882,940000,452.1111111111111,499,-17820807.09670589,,,,,
1881,950000,551.7272727272727,504,-21835648.41959891,,,,,
1881,960000,10.0,510,-116748.2030635,0.02,20336176.0,21,0.05,1.2293363549353842e-10
1881,970000,338.5,515,-13398835.185861168,,,,,
1880,980000,459.8181818181818,521,-18196116.334458455,,,,,
1880,990000,471.8666666666667,526,-18667320.799476467,,,,,
1880,1000000,507.5,531,-20072045.503348753,0.02,20523004.0,22,0.05,1.2181451680692845e-10
1879,1010000,671.6666666666666,537,-26642750.583162833,,,,,
1879,1020000,703.8,542,-27984558.4532156,,,,,
