time/total_timesteps,train/n_updates,time/fps,train/ent_coef,rollout/ep_rew_mean,train/critic_loss,train/actor_loss,train/learning_rate,time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,time/episodes
10000,2474,131,46.249244689941406,-182173.65463887996,5238.2158203125,71852.984375,0.0064,75,0.19658586382865906,22.77,484
20000,4974,130,39.470115661621094,-180537.15296637002,4182.42431640625,51650.2265625,0.0064,152,-4.0533342361450195,40.42,833
30000,7474,130,34.94085693359375,-271871.84671677,4308.671875,39228.4765625,0.0064,230,-2.29255747795105,75.02,990
40000,9974,130,29.966487884521484,-296130.06450385996,3380.361328125,20883.810546875,0.0064,307,3.8457396030426025,77.2,1116
50000,12474,132,21.982379913330078,-341541.9983196,4069.589111328125,14157.6044921875,0.0064,378,0.0713433027267456,96.36,1215
60000,14974,133,21.248519897460938,-251613.65192707998,3412.71044921875,10856.28515625,0.0064,449,-3.6652112007141113,73.35,1327
70000,17474,132,18.65578842163086,-245863.15946804997,3439.180908203125,8247.2041015625,0.0064,527,2.6421027183532715,62.54,1510
80000,19974,132,12.51133918762207,-316168.29721175006,2380.515625,3600.703369140625,0.0064,605,1.6148425340652466,79.75,1657
90000,22474,131,10.246100425720215,-283672.35262498003,2890.07373046875,2218.4755859375,0.0064,683,-2.5370047092437744,101.26,1755
100000,24974,131,9.208556175231934,-220852.1807187,1637.8880615234375,174.6304168701172,0.0064,761,-0.09190261363983154,55.63,1893
110000,27474,131,10.924838066101074,-238021.35908085998,3109.262451171875,1115.9873046875,0.0064,838,-1.8271058797836304,45.2,2079
120000,29974,131,11.061633110046387,-308636.72373260005,2240.29541015625,2590.75244140625,0.0064,915,2.1128649711608887,64.29,2253
130000,32474,130,10.58684253692627,-433630.78900313005,2211.52685546875,3203.49951171875,0.0064,993,-2.3617255687713623,113.49,2342
140000,34974,130,9.78809642791748,-229214.17577484,1820.6436767578125,1363.177734375,0.0064,1070,-4.947793960571289,97.2,2444
150000,37474,130,9.565629005432129,-173269.06980012,2741.47119140625,1272.3873291015625,0.0064,1148,-0.043333232402801514,65.56,2608
160000,39974,130,10.25610637664795,-253032.41430491,1594.5443115234375,85.80763244628906,0.0064,1225,2.439817190170288,96.41,2715
170000,42474,130,9.516266822814941,-109900.63513673999,1871.141357421875,-11.487014770507812,0.0064,1303,-0.8671907186508179,37.92,2919
180000,44974,130,8.611888885498047,-78756.78033273,1480.14501953125,-485.3770446777344,0.0064,1379,5.275457382202148,48.89,3173
190000,47474,130,6.9645490646362305,41586.46418746,1609.650390625,-893.6337280273438,0.0064,1450,-1.9112606048583984,73.64,3327
200000,49974,131,8.399003028869629,70193.00760503,1384.071044921875,-2805.713623046875,0.0064,1522,-0.10775715112686157,31.94,3553
210000,52474,131,8.716691970825195,93824.48238922,2594.312255859375,-5252.044921875,0.0064,1594,0.8764605522155762,21.29,3983
220000,54974,132,17.813579559326172,68771.61414629,5847.13037109375,-6213.8515625,0.0064,1665,-0.6537562608718872,33.69,4306
230000,57474,132,35.62870407104492,67289.38129007,10708.9287109375,-8853.029296875,0.0064,1735,-1.2244467735290527,40.01,4553
240000,59974,132,38.74891662597656,-14376.67723747,7588.28515625,-28533.37109375,0.0064,1807,-0.5439907312393188,113.33,4631
250000,62474,132,35.1900749206543,88779.21409162,6804.2294921875,-37326.9140625,0.0064,1879,-4.451844215393066,30.33,4989
260000,64974,133,34.29262161254883,128874.2,5580.62890625,-45850.21875,0.0064,1953,-4.950253486633301,20.23,5481
270000,67474,132,36.19467544555664,117037.56068129999,4502.396484375,-49770.71875,0.0064,2031,2.8221986293792725,24.83,5907
280000,69974,132,36.604148864746094,129794.97033644,4192.11328125,-51196.08984375,0.0064,2114,-3.9550583362579346,18.63,6384
290000,72474,132,38.63175582885742,130360.48033435,3326.497314453125,-62930.41015625,0.0064,2191,-1.5133063793182373,15.95,6999
300000,74974,131,31.706222534179688,119424.5724621,2493.4208984375,-66099.9140625,0.0064,2273,-4.4914937019348145,15.69,7642
310000,77474,131,33.58348846435547,130682.5,2311.147705078125,-70948.1328125,0.0064,2358,3.4682371616363525,15.36,8195
320000,79974,130,29.175947189331055,124602.83452638,2176.15869140625,-72546.0625,0.0064,2444,-2.8958017826080322,16.14,8835
330000,82474,130,27.09115982055664,108363.58718497999,2049.1904296875,-74255.0,0.0064,2531,-2.8309264183044434,19.46,9378
340000,84974,129,32.371864318847656,123499.99339309,1792.06005859375,-73328.7890625,0.0064,2619,-3.447345018386841,15.47,10011
350000,87474,129,27.23385238647461,126040.3855149,1550.1160888671875,-74831.1875,0.0064,2702,0.30612489581108093,16.47,10679
360000,89974,129,29.86407470703125,133066.9,1202.9779052734375,-77292.25,0.0064,2781,-0.2172619104385376,14.05,11375
370000,92474,128,23.64354133605957,132376.85953573,995.0228271484375,-79407.4609375,0.0064,2868,-2.517885208129883,13.85,12092
380000,94974,128,20.64557647705078,132390.34851891,842.46826171875,-79368.46875,0.0064,2957,0.7424332499504089,13.54,12809
390000,97474,128,19.650362014770508,132501.09440534998,790.9015502929688,-80660.171875,0.0064,3039,3.6566786766052246,13.31,13556
400000,99974,128,20.996692657470703,132308.95821269,577.4591064453125,-81798.03125,0.0064,3118,1.5383436679840088,13.19,14311
410000,102474,128,15.998767852783203,133011.51926433,562.6484985351562,-82994.2578125,0.0064,3198,-2.8715081214904785,13.33,15036
420000,104974,128,16.600360870361328,133118.3,545.0149536132812,-83033.3671875,0.0064,3278,3.2203168869018555,13.22,15785
430000,107474,128,14.651373863220215,124744.74895425001,466.2595520019531,-83319.1484375,0.0064,3358,2.082310676574707,13.21,16541
440000,109974,127,15.251986503601074,130899.99413070001,457.4398498535156,-82379.0703125,0.0064,3438,1.9001808166503906,13.26,17292
450000,112474,127,14.515567779541016,131602.76862764,415.2491455078125,-81209.40625,0.0064,3518,2.7554068565368652,13.13,18043
460000,114974,127,14.019758224487305,129683.82453465,471.55072021484375,-81290.3984375,0.0064,3598,-4.305159568786621,13.35,18799
470000,117474,127,12.852818489074707,131906.01135956,538.477294921875,-80370.9296875,0.0064,3678,-8.507824897766113,13.32,19546
480000,119974,127,11.868690490722656,132306.22955261,480.1903381347656,-83608.6484375,0.0064,3758,1.5382823944091797,13.46,20294
490000,122474,127,13.013612747192383,125637.65056568998,432.2138977050781,-82963.75,0.0064,3840,-0.9854459762573242,14.05,21023
500000,124974,127,13.716472625732422,132706.62518371,542.0389404296875,-83213.390625,0.0064,3931,3.2945282459259033,13.29,21757
510000,127474,126,14.374674797058105,132618.27316033,512.319091796875,-80378.0625,0.0064,4022,-0.5668467879295349,13.25,22476
520000,129974,126,13.824902534484863,133216.71969368,559.3351440429688,-81105.28125,0.0064,4113,-2.9940717220306396,13.25,23231
530000,132474,126,13.429891586303711,131203.87510312,442.17022705078125,-83320.4453125,0.0064,4204,1.155937910079956,13.13,23979
540000,134974,125,13.714726448059082,133327.7,696.5480346679688,-82724.765625,0.0064,4295,1.0032703876495361,13.14,24716
550000,137474,125,13.558484077453613,132719.68188495,462.7062072753906,-81779.28125,0.0064,4386,1.0966005325317383,13.13,25475
560000,139974,125,11.554308891296387,132713.44071499002,390.73553466796875,-81880.78125,0.0064,4477,-0.44565996527671814,13.26,26231
570000,142474,124,10.022419929504395,132930.2,340.3410339355469,-83119.8359375,0.0064,4569,-1.3775899410247803,13.09,26994
580000,144974,124,9.538057327270508,131718.8907616,287.1400146484375,-83912.8359375,0.0064,4661,0.06584161520004272,13.08,27756
590000,147474,124,9.0221529006958,132707.95315616002,1025.644287109375,-82934.5546875,0.0064,4753,1.1660535335540771,13.12,28520
600000,149974,123,9.68306827545166,132722.5587983,322.6700134277344,-83192.1015625,0.0064,4845,-0.28184300661087036,13.15,29276
610000,152474,123,9.391007423400879,132621.83157726002,288.65191650390625,-83750.171875,0.0064,4937,-2.556091785430908,13.11,30037
620000,154974,123,8.904194831848145,132925.2,243.1600799560547,-84738.21875,0.0064,5029,-1.4306738376617432,13.1,30799
630000,157474,123,8.923166275024414,132814.3602908,565.0222778320312,-83320.0390625,0.0064,5121,-1.1630100011825562,13.13,31561
640000,159974,122,8.389062881469727,132824.0,246.27442932128906,-82490.6171875,0.0064,5212,2.0057146549224854,13.16,32325
650000,162474,122,8.663477897644043,133218.6,262.7513732910156,-85060.96875,0.0064,5304,2.101630926132202,13.16,33083
660000,164974,122,8.155977249145508,131015.71020532999,236.28863525390625,-84753.640625,0.0064,5397,0.049962252378463745,13.12,33844
670000,167474,122,7.5408935546875,129895.00193207999,239.13136291503906,-83522.546875,0.0064,5490,-3.40214467048645,13.2,34602
680000,169974,121,7.88856840133667,132424.68867559,256.342041015625,-83527.3984375,0.0064,5582,-0.41865217685699463,13.07,35364
690000,172474,121,8.45230770111084,133326.06703541998,208.67129516601562,-83143.640625,0.0064,5675,-0.585680365562439,13.1,36127
700000,174974,121,7.854116439819336,132215.82635575,369.71905517578125,-84729.09375,0.0064,5767,1.6038062572479248,13.17,36892
710000,177474,121,8.163628578186035,132816.10797287,220.40036010742188,-84456.2265625,0.0064,5860,-0.9581459760665894,13.1,37652
720000,179974,120,8.117148399353027,132298.53516354001,230.12855529785156,-83911.890625,0.0064,5953,1.006093144416809,13.34,38412
730000,182474,120,7.344558238983154,133216.7,223.5490264892578,-84167.8125,0.0064,6045,0.10835617780685425,13.09,39173
740000,184974,120,7.3192291259765625,133224.65022408,229.22483825683594,-84447.4140625,0.0064,6138,0.6926536560058594,13.07,39939
