train/entropy_loss,train/value_loss,time/fps,train/explained_variance,train/n_updates,time/time_elapsed,train/policy_loss,train/learning_rate,train/std,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps
-17.038043975830078,808661568.0,965,-1.4185905456542969e-05,124,10,-339296.0,0.0001,1.0008596181869507,-370635.09315272013,87.82,10000
-17.040205001831055,803442048.0,1288,4.231929779052734e-06,249,15,-360876.28125,0.0001,1.0011190176010132,-425305.5335126799,100.04,20000
-17.04102897644043,1281618304.0,1396,-3.933906555175781e-06,374,21,-478285.3125,0.0001,1.0011645555496216,-326326.1401989,77.48,30000
-17.04375457763672,585147776.0,1497,-3.337860107421875e-06,499,26,-337381.84375,0.0001,1.0014119148254395,-360157.56101163,86.29,40000
-17.04413604736328,2271523072.0,1563,-2.5033950805664062e-06,624,31,-608679.5,0.0001,1.0014241933822632,-347056.02281954995,82.49,50000
-17.048500061035156,823740992.0,1612,0.0,749,37,-327166.0625,0.0001,1.0018010139465332,-328395.55174954,82.92,60000
-17.040489196777344,634396736.0,1649,-5.960464477539062e-07,874,42,-262245.125,0.0001,1.00112783908844,-321561.17647822003,78.93,70000
-17.04079818725586,419621472.0,1678,5.960464477539062e-07,999,47,-277034.4375,0.0001,1.0011025667190552,-334302.99889296,81.76,80000
-17.034330368041992,1448120704.0,1700,1.7881393432617188e-07,1124,52,-482961.0,0.0001,1.0006211996078491,-333985.81537779997,80.71,90000
-17.03001594543457,1309604864.0,1717,0.0,1249,58,-394444.25,0.0001,1.0001662969589233,-315957.91768873995,79.46,100000
-17.033605575561523,720215296.0,1733,0.0,1374,63,-314244.4375,0.0001,1.0005227327346802,-381479.33732914,99.12,110000
-17.037660598754883,797908096.0,1741,1.1920928955078125e-07,1499,68,-377084.59375,0.0001,1.0008721351623535,-324300.4568005,85.15,120000
-17.042848587036133,938535424.0,1741,1.1920928955078125e-07,1624,74,-381796.1875,0.0001,1.001296877861023,-312745.52659857,81.12,130000
-17.040306091308594,583628032.0,1741,-1.1920928955078125e-07,1749,80,-343655.03125,0.0001,1.0010775327682495,-320445.53219035,84.6,140000
-17.044675827026367,1976561408.0,1740,0.0,1874,86,-631396.375,0.0001,1.0014450550079346,-280446.69050522,73.13,150000
-17.043363571166992,176574752.0,1740,1.1920928955078125e-07,1999,91,-175003.03125,0.0001,1.0013253688812256,-286121.06523451,77.66,160000
-17.044483184814453,179589600.0,1749,-1.1920928955078125e-07,2124,97,-169912.28125,0.0001,1.0014435052871704,-309826.57214448,84.98,170000
-17.04191780090332,751499008.0,1753,1.1920928955078125e-07,2249,102,-359664.78125,0.0001,1.0012716054916382,-264715.47617532004,72.36,180000
-17.03350257873535,2352616960.0,1760,0.0,2374,107,-642474.3125,0.0001,1.0005096197128296,-261461.00504746998,70.65,190000
-17.03223991394043,1213516032.0,1766,0.0,2499,113,-443031.0625,0.0001,1.000423550605774,-258468.68299250997,73.32,200000
-17.029951095581055,1939465216.0,1770,0.0,2624,118,-567822.8125,0.0001,1.0002683401107788,-255958.98352559994,70.0,210000
-17.032560348510742,339864128.0,1776,0.0,2749,123,-269404.5625,0.0001,1.000473976135254,-216910.67810118,57.79,220000
