train/clip_fraction,time/time_elapsed,train/learning_rate,train/approx_kl,time/total_timesteps,train/value_loss,train/policy_gradient_loss,train/explained_variance,rollout/ep_len_mean,train/std,train/n_updates,train/loss,train/entropy_loss,rollout/ep_rew_mean,time/fps,train/clip_range
0.0520751953125,9,0.0017,0.006335357,10000,5716796693.4,-0.007435011243796907,-2.384185791015625e-07,33.86,1.0056802034378052,10,3061230848.0,-12.797658737748861,-226529.47888937994,1017,0.2
0.030419921875,19,0.0017,0.005352667,20000,5274090746.2,-0.004996304963424336,1.7881393432617188e-07,42.63,1.012108325958252,20,2532508672.0,-12.852105379849672,-254363.01668694004,1018,0.2
0.01527099609375,29,0.0017,0.0040942095,30000,4833490792.2,-0.003353233551933954,1.1920928955078125e-07,34.92,1.0180999040603638,30,2323050752.0,-12.906930588185787,-221551.80355288993,1018,0.2
0.0195068359375,39,0.0017,0.0046612453,40000,4891745177.8,-0.004516797028918518,5.960464477539063e-08,32.87,1.0248072147369385,40,2354413568.0,-12.963089767098428,-203770.59122759994,1010,0.2
0.01229248046875,54,0.0017,0.0041020466,50000,4360447249.0,-0.003141775597441665,0.0,40.07,1.0412439107894897,60,2294765824.0,-13.098528823256492,-223765.52926080005,916,0.2
0.0146484375,64,0.0017,0.0044461396,60000,4400143432.0,-0.0032974317857224376,5.960464477539063e-08,34.48,1.0479811429977417,70,2176623616.0,-13.163844864070416,-195486.80016269002,928,0.2
0.024951171875,74,0.0017,0.005005763,70000,4411946293.8,-0.0052131190710497325,1.7881393432617188e-07,38.99,1.055117130279541,80,2089145472.0,-13.22446214556694,-222067.45856379002,936,0.2
0.02296142578125,84,0.0017,0.0048668296,80000,4369310568.8,-0.004831560919410549,0.0,38.99,1.064574956893921,90,2149714432.0,-13.295388323813677,-218937.98557117,942,0.2
0.00687255859375,95,0.0017,0.003639724,90000,4416981925.0,-0.0022524397661982222,-1.1920928955078125e-07,38.38,1.0705406665802002,100,1984082688.0,-13.358907516300679,-205485.18798156996,946,0.2
0.0120849609375,110,0.0017,0.004090405,100000,3911951207.8,-0.0025986403594288276,-1.1920928955078125e-07,36.6,1.0868099927902222,120,2138725888.0,-13.486675307899713,-208264.04465921997,903,0.2
0.02982177734375,121,0.0017,0.005377003,110000,4198295749.2,-0.005010483467958693,0.0,30.82,1.0941104888916016,130,1965212032.0,-13.551537285000085,-182119.83790747006,906,0.2
0.01663818359375,131,0.0017,0.004520811,120000,4090957028.6,-0.003433390540885739,-1.1920928955078125e-07,35.71,1.1025506258010864,140,1805589888.0,-13.615738577395678,-190094.43532917998,910,0.2
0.0189208984375,142,0.0017,0.004480488,130000,3978273311.0,-0.0037245450788759627,1.7881393432617188e-07,34.28,1.112789273262024,150,2008833408.0,-13.691476491838694,-185230.26582316004,911,0.2
0.0111083984375,158,0.0017,0.0038165033,140000,3803978330.6,-0.002532442482697661,0.0,33.45,1.1311274766921997,170,2015225728.0,-13.844011344760656,-189953.29427435,880,0.2
0.02142333984375,169,0.0017,0.0045703547,150000,3641065712.0,-0.0028989827074838103,-1.1920928955078125e-07,33.1,1.139976978302002,180,1840854528.0,-13.915425927191972,-180662.81479554006,884,0.2
0.0199462890625,180,0.0017,0.0046484224,160000,3914439506.6,-0.0034964957127158413,-1.1920928955078125e-07,36.15,1.1466631889343262,190,1770783872.0,-13.975923711806535,-196180.81315280998,885,0.2
0.00501708984375,191,0.0017,0.0030683663,170000,4012061051.6,-0.0018263745992953772,5.960464477539063e-08,32.11,1.1561282873153687,200,2018034176.0,-14.03782115727663,-172097.03938961,886,0.2
0.0204833984375,202,0.0017,0.004639038,180000,3746997492.2,-0.0033702110889862525,0.0,33.44,1.1640868186950684,210,1872536192.0,-14.106669095903635,-183653.69320092,886,0.2
0.015869140625,218,0.0017,0.0035305524,190000,3679202758.6,-0.0025789694635932393,0.0,34.86,1.1834709644317627,230,2068465152.0,-14.24738447368145,-179355.46231509,869,0.2
0.01861572265625,229,0.0017,0.0049375445,200000,3404958710.6,-0.0032850306066393386,0.0,33.82,1.1935575008392334,240,2076167936.0,-14.323217628896236,-164992.95364470998,871,0.2
0.01624755859375,240,0.0017,0.0041154535,210000,3539234471.4,-0.0033693991626932984,0.0,33.27,1.2057840824127197,250,1587992704.0,-14.407795099169016,-172283.13017582,871,0.2
0.00875244140625,252,0.0017,0.0033835615,220000,3592162358.4,-0.0023298526755752393,-1.1920928955078125e-07,32.69,1.2160290479660034,260,1671498368.0,-14.490864311903715,-173742.99235629998,872,0.2
0.019189453125,267,0.0017,0.0045124283,230000,3636289480.6,-0.003746118855815439,0.0,29.5,1.2393256425857544,280,1735562496.0,-14.655731013417244,-163444.80277411002,859,0.2
0.02286376953125,278,0.0017,0.004850884,240000,3309029665.4,-0.003503461122636509,5.960464477539063e-08,35.41,1.2490242719650269,290,1455691520.0,-14.733770371973515,-171923.85667396002,862,0.2
0.0177734375,288,0.0017,0.0044251727,250000,3508449866.6,-0.0029553089911132703,-1.1920928955078125e-07,32.13,1.2598410844802856,300,1709838464.0,-14.806465860456228,-166828.11388644,865,0.2
0.01346435546875,299,0.0017,0.0043268623,260000,3478665282.6,-0.0030151320717777706,0.0,31.69,1.2728890180587769,310,1627913600.0,-14.89176595583558,-155399.14245373,868,0.2
0.01517333984375,310,0.0017,0.0043351185,270000,3639600074.0,-0.0030486532891700335,0.0,37.8,1.28178870677948,320,1761197952.0,-14.967505306750535,-180262.00866582998,869,0.2
0.00975341796875,326,0.0017,0.003550607,280000,3415781352.6,-0.0025974460975703552,-1.1920928955078125e-07,34.23,1.307475209236145,340,1643195904.0,-15.129790391027928,-174519.13611031004,857,0.2
0.0304931640625,337,0.0017,0.005008804,290000,3315650985.6,-0.004880097566456243,-1.1920928955078125e-07,32.07,1.3207037448883057,350,1631304832.0,-15.221604929119348,-160917.43382719002,858,0.2
0.012646484375,348,0.0017,0.003886892,300000,3535624213.6,-0.0026203442349469696,0.0,34.92,1.3332607746124268,360,1758260736.0,-15.307673821598291,-165845.32351181,859,0.2
0.013623046875,360,0.0017,0.0037422273,310000,3148457774.4,-0.0027038796195483885,0.0,34.12,1.346712589263916,370,1605576576.0,-15.396298119425774,-169558.61798818002,861,0.2
