train/value_loss,time/fps,train/explained_variance,train/n_updates,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,rollout/ep_len_mean,train/std,train/policy_loss,train/learning_rate,time/total_timesteps
721149888.0,2633,-1.2516975402832031e-05,124,3,-301340.10177946,-12.782855987548828,63.79,1.0013896226882935,-255447.5,0.0001,10000
136399392.0,2635,2.7418136596679688e-06,249,7,-288439.97333251,-12.78513240814209,63.91,1.001600742340088,-116624.3515625,0.0001,20000
1355274880.0,2636,2.086162567138672e-06,374,11,-273194.42235567997,-12.782691955566406,60.71,1.0013948678970337,-346721.25,0.0001,30000
1064536768.0,2635,-5.960464477539062e-07,499,15,-223359.32208473998,-12.781121253967285,52.47,1.001189947128296,-251904.046875,0.0001,40000
1729999872.0,2620,2.384185791015625e-07,624,19,-248320.072911,-12.781890869140625,60.01,1.0013428926467896,-140926.046875,0.0001,50000
1792557440.0,2620,3.5762786865234375e-07,749,22,-190032.70114510998,-12.775947570800781,37.91,1.0006449222564697,-356918.0625,0.0001,60000
1716150784.0,2620,-1.1920928955078125e-07,874,26,-215188.72522115003,-12.775920867919922,46.93,1.0006240606307983,-373509.1875,0.0001,70000
673252032.0,2620,1.1920928955078125e-07,999,30,-214395.84504478,-12.771509170532227,46.79,1.0000914335250854,-245379.125,0.0001,80000
403143968.0,2618,-2.384185791015625e-07,1124,34,-210777.20727117997,-12.769920349121094,48.84,0.9999457597732544,-193902.6875,0.0001,90000
216456272.0,2616,0.0,1249,38,-196305.08876314,-12.767334938049316,41.54,0.9996567964553833,-138513.703125,0.0001,100000
2276667904.0,2615,0.0,1374,42,-191945.76485712,-12.76836109161377,41.74,0.9998032450675964,-238449.875,0.0001,110000
1572770944.0,2614,0.0,1499,45,-212310.11502425003,-12.767816543579102,48.54,0.9997225999832153,-364150.1875,0.0001,120000
1190782720.0,2613,0.0,1624,49,-201510.03886628,-12.762541770935059,47.45,0.9991246461868286,-304882.46875,0.0001,130000
1315295488.0,2612,1.1920928955078125e-07,1749,53,-205649.54457013,-12.762836456298828,46.49,0.9991637468338013,-172572.59375,0.0001,140000
1598054400.0,2611,5.960464477539063e-08,1874,57,-194061.11183099,-12.762908935546875,47.03,0.9991991519927979,-350225.75,0.0001,150000
1891575424.0,2610,0.0,1999,61,-180377.41371869,-12.760120391845703,42.63,0.9988701343536377,-403349.09375,0.0001,160000
536000448.0,2609,1.1920928955078125e-07,2124,65,-187385.88161534,-12.758063316345215,44.95,0.9985936284065247,-196177.53125,0.0001,170000
1750602112.0,2608,0.0,2249,68,-201099.84544423997,-12.753484725952148,51.3,0.9981244206428528,-349509.875,0.0001,180000
1052718080.0,2607,0.0,2374,72,-192939.32275875006,-12.75261116027832,47.2,0.9980483651161194,-267734.9375,0.0001,190000
1318328448.0,2604,0.0,2499,76,-180641.09388039,-12.752650260925293,45.67,0.9980735778808594,-315231.15625,0.0001,200000
948907008.0,2601,1.7881393432617188e-07,2624,80,-169576.13737672998,-12.751049995422363,41.08,0.9978249073028564,-309890.625,0.0001,210000
801569856.0,2600,0.0,2749,84,-168311.81970987,-12.75153923034668,40.79,0.9979433417320251,-196744.953125,0.0001,220000
1161136384.0,2600,1.7881393432617188e-07,2874,88,-182073.01319043,-12.744847297668457,48.44,0.9971900582313538,-279010.71875,0.0001,230000
935569088.0,2587,0.0,2999,92,-161584.6692603,-12.746191024780273,45.74,0.9973390102386475,-212024.65625,0.0001,240000
753726400.0,2573,0.0,3124,97,-141156.71117311,-12.737451553344727,37.35,0.9964099526405334,-218680.25,0.0001,250000
1594870016.0,2544,5.960464477539063e-08,3249,102,-154265.63545099,-12.733453750610352,39.65,0.9958890080451965,-364136.6875,0.0001,260000
887702144.0,2523,0.0,3374,107,-169976.77044368,-12.732194900512695,45.05,0.9958155155181885,-269878.4375,0.0001,270000
714097536.0,2499,0.0,3499,112,-167659.8257526,-12.732060432434082,44.32,0.9958118796348572,-218924.34375,0.0001,280000
651742080.0,2491,0.0,3624,116,-156121.56123118,-12.736052513122559,39.95,0.9961836338043213,-188829.90625,0.0001,290000
669440192.0,2482,-1.1920928955078125e-07,3749,120,-163089.54797827,-12.73360538482666,43.71,0.995930552482605,-222577.03125,0.0001,300000
2327440896.0,2479,-1.1920928955078125e-07,3874,125,-148933.58573132,-12.731212615966797,38.54,0.995661735534668,-464449.84375,0.0001,310000
2343588352.0,2470,0.0,3999,129,-162818.26948891,-12.724479675292969,44.09,0.9949637651443481,-437528.59375,0.0001,320000
808441088.0,2467,0.0,4124,133,-146867.1465383,-12.722772598266602,38.29,0.9947695136070251,-211756.703125,0.0001,330000
633869696.0,2455,0.0,4249,138,-146765.70067679,-12.723241806030273,37.32,0.9948070049285889,-166452.703125,0.0001,340000
1252451328.0,2451,0.0,4374,142,-150720.52475878,-12.722997665405273,40.71,0.994780957698822,-249931.203125,0.0001,350000
762288832.0,2445,0.0,4499,147,-163807.63384522998,-12.717267036437988,47.1,0.994147002696991,-236701.046875,0.0001,360000
1117863680.0,2439,0.0,4624,151,-150088.25812262998,-12.714338302612305,43.67,0.9938565492630005,-270734.5,0.0001,370000
702223552.0,2432,0.0,4749,156,-145269.51868512,-12.713171005249023,41.37,0.993683934211731,-225228.453125,0.0001,380000
71904400.0,2430,5.960464477539063e-08,4874,160,-140089.54891528998,-12.711712837219238,40.67,0.9935038685798645,-67723.3125,0.0001,390000
2297773056.0,2420,0.0,4999,165,-133814.33152953,-12.707874298095703,37.54,0.9930785298347473,-351642.6875,0.0001,400000
1192452480.0,2419,0.0,5124,169,-124445.81818559999,-12.705168724060059,36.01,0.9928309917449951,-286291.15625,0.0001,410000
1789428480.0,2415,1.7881393432617188e-07,5249,173,-142416.45002981,-12.69638729095459,38.38,0.9918466210365295,-355507.46875,0.0001,420000
776331392.0,2415,0.0,5374,177,-139807.70983632997,-12.699126243591309,40.91,0.992193341255188,-205730.234375,0.0001,430000
953951936.0,2413,0.0,5499,182,-134445.30094513998,-12.698558807373047,36.84,0.9920967817306519,13281.974609375,0.0001,440000
592100160.0,2411,0.0,5624,186,-151449.16822133,-12.691198348999023,42.65,0.9913027286529541,-156443.21875,0.0001,450000
463743808.0,2406,1.1920928955078125e-07,5749,191,-148288.75780121,-12.689440727233887,46.98,0.9910455346107483,-148692.796875,0.0001,460000
1273238784.0,2402,0.0,5874,195,-145215.74904176,-12.686992645263672,46.53,0.9908177852630615,-310189.9375,0.0001,470000
232931888.0,2402,0.0,5999,199,-146991.34410091,-12.684684753417969,46.12,0.990584135055542,-101049.234375,0.0001,480000
1170664320.0,2393,0.0,6124,204,-143086.55879816,-12.68464469909668,42.76,0.9905785322189331,-301797.25,0.0001,490000
424582688.0,2393,0.0,6249,208,-130870.31165797001,-12.679041862487793,43.81,0.9899222254753113,-124294.296875,0.0001,500000
880030592.0,2389,0.0,6374,213,-158821.60386821,-12.675257682800293,49.2,0.9895300269126892,-276135.09375,0.0001,510000
76032928.0,2389,0.0,6499,217,-136125.43518393,-12.676337242126465,46.19,0.9896635413169861,-71827.4375,0.0001,520000
1370489088.0,2379,0.0,6624,222,-138314.91650596,-12.672346115112305,45.09,0.9892456531524658,-294630.4375,0.0001,530000
1127200768.0,2378,-1.1920928955078125e-07,6749,227,-144292.37802393,-12.672296524047852,46.77,0.9892690181732178,-275462.3125,0.0001,540000
706649728.0,2374,0.0,6874,231,-137495.04158743998,-12.669506072998047,38.55,0.9889670610427856,-119518.4140625,0.0001,550000
1724959360.0,2362,0.0,6999,237,-123484.69350977999,-12.66649055480957,36.49,0.9886112213134766,-370041.0,0.0001,560000
1342356096.0,2361,-1.1920928955078125e-07,7124,241,-145336.29334590002,-12.670417785644531,46.04,0.9889992475509644,-302458.8125,0.0001,570000
492077120.0,2358,0.0,7249,245,-134072.71038348,-12.667109489440918,41.57,0.9886724948883057,12920.943359375,0.0001,580000
646607680.0,2356,0.0,7374,250,-132294.02511641002,-12.669953346252441,44.74,0.9889810085296631,-143436.46875,0.0001,590000
784291904.0,2349,0.0,7499,255,-118081.06887433,-12.663618087768555,43.64,0.9883236289024353,-158334.171875,0.0001,600000
40250228.0,2351,0.0,7624,259,-132969.43758676003,-12.661840438842773,45.64,0.9881013035774231,-53030.76953125,0.0001,610000
1141737728.0,2353,-1.1920928955078125e-07,7749,263,-122285.62805121002,-12.657793045043945,42.07,0.9875921607017517,-243825.921875,0.0001,620000
160841296.0,2355,-1.1920928955078125e-07,7874,267,-141239.94619191,-12.65286922454834,50.5,0.9871230721473694,-119166.828125,0.0001,630000
1123371776.0,2358,0.0,7999,271,-132133.22341255998,-12.648216247558594,40.67,0.9865716099739075,-267961.9375,0.0001,640000
758658240.0,2354,0.0,8124,276,-141382.0529632,-12.644011497497559,45.36,0.986171305179596,-183852.578125,0.0001,650000
1703800064.0,2350,1.1920928955078125e-07,8249,280,-131645.62632276,-12.63709831237793,48.73,0.985431432723999,-330631.3125,0.0001,660000
1888742144.0,2342,0.0,8374,285,-124931.06143567998,-12.643322944641113,45.73,0.9860857725143433,-364636.9375,0.0001,670000
1126250752.0,2338,-1.1920928955078125e-07,8499,290,-117591.61602597003,-12.642914772033691,39.59,0.9860045313835144,-253258.203125,0.0001,680000
256674176.0,2338,0.0,8624,295,-118413.05941853,-12.638469696044922,40.32,0.985508382320404,-77836.84375,0.0001,690000
1725776128.0,2337,-1.1920928955078125e-07,8749,299,-121537.32714817999,-12.637414932250977,41.33,0.9853934049606323,-367870.84375,0.0001,700000
744488832.0,2337,1.1920928955078125e-07,8874,303,-110328.59354953999,-12.637224197387695,39.92,0.9854021072387695,-192117.21875,0.0001,710000
1390917120.0,2330,0.0,8999,308,-129273.91481046,-12.636554718017578,47.69,0.9853068590164185,-254649.328125,0.0001,720000
1087415424.0,2325,-1.1920928955078125e-07,9124,313,-118590.57489770999,-12.63416862487793,44.88,0.9850643873214722,-249674.953125,0.0001,730000
1173844608.0,2323,1.7881393432617188e-07,9249,318,-136558.24072811002,-12.626683235168457,49.28,0.9843131303787231,-221864.59375,0.0001,740000
1060298560.0,2323,5.960464477539063e-08,9374,322,-120543.81173815997,-12.627479553222656,41.43,0.9843811392784119,-204973.46875,0.0001,750000
960267072.0,2321,0.0,9499,327,-117189.47901537002,-12.624824523925781,43.69,0.9840626120567322,-126518.7109375,0.0001,760000
83900168.0,2320,1.1920928955078125e-07,9624,331,-123824.73694042001,-12.617853164672852,43.66,0.9832727909088135,-62650.78125,0.0001,770000
1612738432.0,2320,0.0,9749,336,-121844.82588006002,-12.61927604675293,48.55,0.9834873676300049,-321025.0,0.0001,780000
106772256.0,2319,0.0,9874,340,-130112.93101266999,-12.623106956481934,46.84,0.9838525056838989,-75632.25,0.0001,790000
356886880.0,2319,0.0,9999,344,-120383.60064570002,-12.618988990783691,48.7,0.9834597706794739,-129397.0625,0.0001,800000
1259107712.0,2317,0.0,10124,349,-118768.38183100002,-12.619390487670898,48.89,0.9834467768669128,-258194.09375,0.0001,810000
454965568.0,2317,0.0,10249,353,-93025.75362371001,-12.613011360168457,54.25,0.9828298091888428,-99817.109375,0.0001,820000
