rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/delta_std,rollout/return_std,train/iterations,train/step_size,train/learning_rate
1000.0,10000,4,-39868980.544126496,2018,,,,,
803.2,20000,9,-31928993.1656942,2027,,,,,
877.0,30000,14,-34902807.31076,2018,,,,,
901.6,40000,20,-35880655.1776973,1947,,,,,
924.3076923076923,50000,25,-36793742.12759808,1939,,,,,
934.4,60000,31,-37149330.58753594,1899,,,,,
1000.0,70000,37,-39799063.2803915,1890,0.05,9878710.0,0,2.2776253105760702e-11,0.0018
805.2,80000,42,-31904740.9406358,1881,,,,,
878.25,90000,48,-33595676.875145875,1864,,,,,
699.7692307692307,100000,53,-26919565.003962312,1869,,,,,
1000.0,110000,59,-39707301.23864,1858,0.05,18563610.0,1,1.2120486905797812e-11,0.0018
1000.0,120000,64,-39859584.69032567,1851,,,,,
1000.0,130000,70,-39855299.454589166,1852,,,,,
893.1111111111111,140000,75,-35501025.58278744,1842,,,,,
919.8333333333334,150000,81,-36586703.880350746,1844,,,,,
931.2857142857143,160000,86,-37039795.3972205,1841,,,,,
1000.0,170000,92,-39841958.2314355,1836,0.05,13344157.0,2,1.6861312693294828e-11,0.0018
1000.0,180000,97,-39955050.44251925,1840,,,,,
1000.0,190000,103,-39938980.724488854,1833,,,,,
1000.0,200000,109,-39922818.38847366,1833,,,,,
1000.0,210000,114,-39915122.668345995,1833,,,,,
1000.0,220000,120,-39913119.832510136,1827,,,,,
1000.0,230000,125,-39515381.776108,1831,0.05,92458.9296875,3,2.4335127246644106e-09,0.0018
1000.0,240000,131,-39359029.95691734,1827,,,,,
1000.0,250000,136,-39674401.69573183,1826,,,,,
892.0,260000,142,-35366900.31538233,1827,,,,,
919.0,270000,148,-36468131.25023016,1822,,,,,
930.5714285714286,280000,153,-36944293.74785564,1824,,,,,
1000.0,290000,159,-39631738.133711,1822,0.05,9844084.0,4,2.285636784005174e-11,0.0018
752.75,300000,164,-29840597.527017,1819,,,,,
858.7142857142857,310000,170,-34023466.77310185,1821,,,,,
890.1111111111111,320000,176,-35344163.32026467,1817,,,,,
