rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/step_size,train/iterations,rollout/return_std,train/delta_std,train/learning_rate
1000.0,1435,264,-39960396.0718594,380000,,,,,
1000.0,1435,271,-39969075.565007,390000,,,,,
1000.0,1435,278,-39969929.011714205,400000,,,,,
929.5,1436,285,-37171743.040454,410000,,,,,
,1436,292,,420000,2.516474251201828e-10,7,9934534.0,0.05,0.02
1000.0,1436,299,-39989081.15540134,430000,,,,,
1000.0,1436,306,-39969961.733997405,440000,,,,,
1000.0,1437,313,-39896455.9902145,450000,,,,,
909.9090909090909,1437,320,-36291361.455319725,460000,,,,,
868.4666666666667,1437,326,-34633851.273742594,470000,,,,,
1000.0,1437,333,-40074784.518484,480000,1.8473575447153223e-10,8,13532843.0,0.05,0.02
802.4,1437,340,-32026806.615981203,490000,,,,,
753.0,1437,347,-30066416.845582627,500000,,,,,
820.3636363636364,1437,354,-32739409.36612055,510000,,,,,
848.0,1437,361,-33827581.29275516,520000,,,,,
,1437,368,,530000,1.84569831640502e-10,9,13545009.0,0.05,0.02
1000.0,1437,375,-39693530.387191996,540000,,,,,
1000.0,1437,382,-39827482.984873,550000,,,,,
1000.0,1437,389,-39903191.409755714,560000,,,,,
1000.0,1438,396,-39969390.3256333,570000,,,,,
1000.0,1438,403,-39981386.05113517,580000,,,,,
1000.0,1438,410,-39986409.40699613,590000,,,,,
341.3333333333333,1438,417,-13553182.623774664,600000,1.0199173727798438e-09,10,2451178.75,0.05,0.02
670.6666666666666,1438,424,-26723287.002079833,610000,,,,,
670.5555555555555,1438,431,-26753290.447222333,620000,,,,,
752.9166666666666,1438,438,-30082861.08773767,630000,,,,,
788.2142857142857,1437,445,-31490176.68005343,640000,,,,,
1000.0,1437,452,-40083021.268028,650000,1.5605690351083723e-10,11,16019797.0,0.05,0.02
1000.0,1437,458,-39983707.880233325,660000,,,,,
1000.0,1437,465,-40017499.78864033,670000,,,,,
803.9,1437,472,-32091028.745401494,680000,,,,,
773.8461538461538,1437,479,-30883755.590020537,690000,,,,,
1000.0,1437,486,-40183774.926188,700000,1.4094192479774392e-10,12,17737802.0,0.05,0.02
754.75,1437,493,-30207789.666073747,710000,,,,,
859.8571428571429,1437,500,-34414572.09194457,720000,,,,,
891.0,1437,507,-35674668.16496622,730000,,,,,
848.0,1437,514,-33934034.20484507,740000,,,,,
,1438,521,,750000,1.5608812853340481e-10,13,16016592.0,0.05,0.02
603.6,1437,528,-24143070.1518542,760000,,,,,
716.8571428571429,1437,535,-28660672.4882,770000,,,,,
801.8,1437,542,-32035050.479928304,780000,,,,,
834.8333333333334,1437,549,-33361546.163551334,790000,,,,,
,1437,556,,800000,1.5620647830782985e-10,14,16004457.0,0.05,0.02
1000.0,1437,563,-39992136.344154,810000,,,,,
1000.0,1437,570,-39994423.4079668,820000,,,,,
875.875,1437,577,-35017172.82723138,830000,,,,,
834.9166666666666,1437,584,-33340478.692469086,840000,,,,,
,1437,591,,850000,1.4064543973901777e-10,15,17775194.0,0.05,0.02
1000.0,1437,598,-40053927.79867933,860000,,,,,
1000.0,1437,605,-40001945.8448404,870000,,,,,
891.3333333333334,1437,612,-35585755.09486889,880000,,,,,
911.0909090909091,1437,618,-36393633.75138873,890000,,,,,
930.1428571428571,1437,625,-37156484.21062357,900000,,,,,
,1437,632,,910000,2.525064601854865e-10,16,9900737.0,0.05,0.02
509.1666666666667,1438,639,-20186812.020494495,920000,,,,,
506.7,1438,646,-20138304.3418259,930000,,,,,
620.5384615384615,1438,653,-24746565.029147618,940000,,,,,
671.1333333333333,1438,660,-26786931.793194,950000,,,,,
1000.0,1438,667,-40034404.545517996,960000,1.3133381882024509e-10,17,19035462.0,0.05,0.02
803.8,1438,674,-32114919.2092516,970000,,,,,
877.375,1438,681,-35114821.99705288,980000,,,,,
901.9,1438,688,-36082947.9289536,990000,,,,,
803.1333333333333,1438,695,-32056548.783906937,1000000,,,,,
