train/policy_gradient_loss,train/learning_rate,train/n_updates,train/std,train/entropy_loss,train/approx_kl,time/fps,train/clip_fraction,rollout/ep_rew_mean,time/total_timesteps,train/value_loss,train/clip_range,train/loss,rollout/ep_len_mean,time/time_elapsed,train/explained_variance
-0.0012103207394829952,0.0003,10,0.9999860525131226,-21.283967284858228,0.000283019,731,0.0,-656084.7349551899,10000,41097869352.0,0.2,19475955712.0,39.85,13,3.5762786865234375e-07
-0.000593004348957038,0.0003,20,0.9999570846557617,-21.283645564317702,0.00011373791,735,0.0,-773717.72350584,20000,41514186068.8,0.2,21128011776.0,47.6,27,0.0
-0.0006439629402848368,0.0003,30,0.9998750686645508,-21.282809461653233,0.00011420341,736,0.0,-693622.65324225,30000,43907237500.8,0.2,22046928896.0,41.84,40,0.0
-0.0008930419811804313,0.0003,40,0.9998533129692078,-21.282037414610386,0.0001869041,737,0.0,-687777.12198861,40000,42277441225.6,0.2,20541091840.0,41.61,54,0.0
-0.0009123045401793206,0.0003,60,0.9997720122337341,-21.280849131941796,0.00017449839,682,0.0,-713876.1093065799,50000,42021287465.6,0.2,21133539328.0,43.83,73,0.0
-0.0007317540908843512,0.0003,70,0.9997312426567078,-21.28036280721426,0.00013784677,691,0.0,-706528.9027822302,60000,41372088256.0,0.2,21542692864.0,43.44,86,0.0
-0.000524984180174215,0.0003,80,0.9997228980064392,-21.280008038878442,8.164928e-05,697,0.0,-729438.6154360798,70000,41956183576.0,0.2,19361501184.0,44.67,100,0.0
-0.0007930985006169067,0.0003,90,0.9996757507324219,-21.27960022240877,0.00015430833,702,0.0,-681668.58384285,80000,40578509128.0,0.2,19329130496.0,42.07,113,0.0
-0.0008089072105576633,0.0003,100,0.9996696710586548,-21.27916574180126,0.00016423682,706,0.0,-612028.52554652,90000,41726943238.4,0.2,20390498304.0,37.07,127,-2.384185791015625e-07
-0.0011498868719172605,0.0003,120,0.9996632933616638,-21.279252950847148,0.00024799712,683,0.0,-677516.4382645,100000,41402309755.2,0.2,21479976960.0,41.6,146,0.0
-0.000896289580850862,0.0003,130,0.9996305108070374,-21.278781907260417,0.00019092037,687,0.0,-603204.49548834,110000,40851967459.2,0.2,20957667328.0,36.77,160,0.0
-0.000769504146228428,0.0003,140,0.9996448159217834,-21.27866644114256,0.00015579665,691,0.0,-650847.6077061,120000,38360283272.0,0.2,19669567488.0,40.21,173,0.0
-0.0006811138258854043,0.0003,150,0.9997091889381409,-21.279202552139758,0.00012804344,694,0.0,-587891.3506262301,130000,39641066528.0,0.2,19226499072.0,35.8,187,0.0
-0.0006265664504098822,0.0003,170,0.9998074769973755,-21.280569127202035,0.00011720347,679,0.0,-614642.3392755201,140000,39411374577.6,0.2,21162018816.0,37.54,206,-1.1920928955078125e-07
-0.000533119131159765,0.0003,180,0.9996938705444336,-21.28035579174757,8.40799e-05,682,0.0,-657779.7828474701,150000,37292093833.6,0.2,18894348288.0,41.28,219,2.384185791015625e-07
-0.000550958990243089,0.0003,190,0.9996927380561829,-21.279472389817236,8.637128e-05,685,0.0,-562954.5344589,160000,39357781193.6,0.2,20472035328.0,34.68,233,0.0
-0.0009355596992463688,0.0003,200,0.9996201395988464,-21.27893192321062,0.00020276872,688,0.0,-538871.19241821,170000,37048750052.8,0.2,17540753408.0,33.23,247,0.0
-0.001016104929658468,0.0003,210,0.9996103048324585,-21.278301291167736,0.00021784753,690,0.0,-674150.74585397,180000,36282147076.8,0.2,17647271936.0,41.2,260,0.0
-0.0005412594622612232,0.0003,230,0.9995671510696411,-21.27725193798542,7.8937475e-05,679,0.0,-577221.85463055,190000,40436684236.8,0.2,17992282112.0,34.93,279,-1.1920928955078125e-07
-0.000495394743666111,0.0003,240,0.999525785446167,-21.277246662974356,8.597191e-05,681,0.0,-535664.7533754,200000,38500292352.0,0.2,20128073728.0,32.62,293,0.0
-0.00048079272037284684,0.0003,250,0.9995107650756836,-21.276843483746052,6.395465e-05,684,0.0,-584602.6592792401,210000,38054917684.8,0.2,19009024000.0,35.61,306,0.0
-0.0005648067774927767,0.0003,260,0.9994940161705017,-21.27661446481943,9.581616e-05,686,0.0,-497180.78783667006,220000,40174324283.2,0.2,21904007168.0,30.18,320,0.0
-0.00043968587760900846,0.0003,280,0.9993709325790405,-21.27540875673294,6.9862166e-05,677,0.0,-678086.86906644,230000,40786608780.8,0.2,18808301568.0,42.02,339,-1.1920928955078125e-07
-0.0004382523304229835,0.0003,290,0.9993150234222412,-21.274208837747572,6.300897e-05,679,0.0,-601994.14792145,240000,40004513102.4,0.2,18153951232.0,36.99,353,0.0
-0.0003669697778605041,0.0003,300,0.9993871450424194,-21.27433588504791,4.3905435e-05,681,0.0,-577159.39962863,250000,38819211001.6,0.2,21083406336.0,35.4,366,0.0
-0.0007247745408676565,0.0003,310,0.9994736313819885,-21.27552633434534,0.00014304483,683,0.0,-622047.5228819301,260000,37349631259.2,0.2,17755068416.0,38.49,380,0.0
-0.00039115963991207534,0.0003,320,0.9994709491729736,-21.276141357421874,3.5519995e-05,685,0.0,-525252.7741914099,270000,40989195236.8,0.2,19033716736.0,32.21,393,5.960464477539063e-08
-0.0007566995993329329,0.0003,340,0.9994642734527588,-21.275768534839152,0.00015151087,678,0.0,-559528.0713745799,280000,38730312030.4,0.2,20335861760.0,34.06,412,0.0
-0.0005570066799919004,0.0003,350,0.999439537525177,-21.27584524899721,9.251577e-05,680,0.0,-536305.43647516,290000,38256980174.4,0.2,20651313152.0,32.82,426,0.0
-0.00043454972619656474,0.0003,360,0.9994251132011414,-21.27553336471319,7.433156e-05,682,0.0,-567629.18935771,300000,36997611128.0,0.2,18174892032.0,35.54,439,0.0
-0.00043542281582631404,0.0003,370,0.9993721842765808,-21.275022554397584,5.6726683e-05,684,0.0,-657714.8480342,310000,35940065732.8,0.2,17960280064.0,40.69,453,1.1920928955078125e-07
-0.00037674197137675945,0.0003,390,0.9994925260543823,-21.276191785931587,5.2214877e-05,678,0.0,-517444.2945663301,320000,37384623161.6,0.2,18808594432.0,31.04,471,-1.1920928955078125e-07
-0.0006376687848387519,0.0003,400,0.9994471073150635,-21.27615018635988,9.562163e-05,680,0.0,-612719.82804605,330000,38460413449.6,0.2,18223437824.0,37.68,485,0.0
-0.00032362311121687527,0.0003,410,0.9994255304336548,-21.275609928369523,3.0584022e-05,681,0.0,-583589.3281970999,340000,40080944720.0,0.2,22017622016.0,36.16,498,1.7881393432617188e-07
-0.0006796308080083691,0.0003,420,0.9994490742683411,-21.27560256421566,0.00012410854,683,0.0,-578353.00756693,350000,37461599636.8,0.2,19106764800.0,35.46,512,1.1920928955078125e-07
-0.0003634116007560806,0.0003,430,0.9994753003120422,-21.275992308557033,4.8501417e-05,684,0.0,-445785.8742198,360000,39947931828.8,0.2,19646197760.0,26.85,525,0.0
-0.0004156928551310557,0.0003,450,0.9994672536849976,-21.27638242840767,5.7356294e-05,679,0.0,-527947.5852107101,370000,39150863220.8,0.2,18046834688.0,32.65,544,-1.1920928955078125e-07
-0.0006227668336578063,0.0003,460,0.999396026134491,-21.275531700253488,0.00011968799,681,0.0,-581396.13634779,380000,35017218585.6,0.2,17528905728.0,36.22,557,1.1920928955078125e-07
-0.000497989885025163,0.0003,470,0.9994089603424072,-21.27508974671364,9.116325e-05,682,0.0,-546216.02421464,390000,38254208292.8,0.2,20165349376.0,34.08,571,0.0
-0.0007591643585328711,0.0003,480,0.9993799924850464,-21.274974504113196,0.00014548852,684,0.0,-557101.0063619,400000,37310021558.4,0.2,18538807296.0,34.51,584,0.0
-0.0005041355433604622,0.0003,500,0.9993528723716736,-21.274664343893527,7.7339646e-05,679,0.0,-655384.2614460501,410000,39930429558.4,0.2,20693065728.0,40.93,603,0.0
-0.000633695759188413,0.0003,510,0.9993467926979065,-21.274324993789197,9.123573e-05,681,0.0,-576442.61202695,420000,36890581278.4,0.2,18835163136.0,35.38,616,0.0
-0.000543624065721815,0.0003,520,0.999283492565155,-21.273788544535638,8.698638e-05,682,0.0,-536680.46809793,430000,38107043801.6,0.2,19390058496.0,32.69,630,-1.1920928955078125e-07
