train/is_line_search_success,train/std,train/policy_objective,train/kl_divergence_loss,train/n_updates,time/total_timesteps,train/explained_variance,time/fps,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss
1.0,0.9941564202308655,0.06975562125444412,0.00461688544601202,1,10000,1.0728836059570312e-06,1596,6,0.001,97.34693877551021,-442406.4297696021,5580731052.0
1.0,0.9942843914031982,0.05455544590950012,0.004094097297638655,2,20000,0.0,1608,12,0.001,95.45,-344814.37498176994,3796184114.8
1.0,0.9856298565864563,0.049893975257873535,0.0040426054038107395,3,30000,0.0,1613,18,0.001,94.86,-302804.73243234,2925918315.2
1.0,0.9803529381752014,0.056740712374448776,0.0040047066286206245,4,40000,-1.1920928955078125e-07,1616,24,0.001,68.72,-222506.02625116002,2884322290.8
1.0,0.9688183665275574,0.058879170566797256,0.004444165155291557,6,50000,0.0,1558,32,0.001,64.16,-205280.39474726003,2792069204.2
1.0,0.964390218257904,0.05536806955933571,0.004415908828377724,7,60000,0.0,1566,38,0.001,68.33,-205642.92244132,2616482877.4
1.0,0.9612529873847961,0.061116017401218414,0.004476451780647039,8,70000,1.7881393432617188e-07,1573,44,0.001,71.99,-202141.09428928007,2525882706.4
1.0,0.9573914408683777,0.051617980003356934,0.0043161241337656975,9,80000,0.0,1577,50,0.001,63.31,-182505.31755495004,2225082545.4
1.0,0.9579035639762878,0.05780816450715065,0.0045297774486243725,10,90000,0.0,1580,56,0.001,72.96,-196994.43420181,2354930778.6
1.0,0.9485330581665039,0.05771735683083534,0.004555931314826012,12,100000,0.0,1554,64,0.001,69.27,-180110.09282558996,2200932153.8
1.0,0.9434535503387451,0.05747047811746597,0.0048928940668702126,13,110000,0.0,1558,70,0.001,70.53,-174304.3325893,2230162139.2
1.0,0.9363121390342712,0.057465411722660065,0.004479294642806053,14,120000,-1.1920928955078125e-07,1563,76,0.001,63.44,-164711.36230482,2122860142.6
1.0,0.9397687315940857,0.060804955661296844,0.005208451300859451,15,130000,0.0,1565,83,0.001,67.46,-165330.64953897,2114647791.2
1.0,0.9294856190681458,0.06056768074631691,0.0051866439171135426,17,140000,0.0,1547,90,0.001,73.36,-178935.73472557002,2121369776.8
1.0,0.9230104088783264,0.06355336308479309,0.005018630530685186,18,150000,0.0,1550,96,0.001,61.83,-155451.88250955,1972602118.0
1.0,0.9244387149810791,0.06426595896482468,0.005299216601997614,19,160000,0.0,1536,104,0.001,76.71,-175870.85485525,2142463759.8
1.0,0.9251065254211426,0.06377939134836197,0.005139245186001062,20,170000,1.1920928955078125e-07,1520,111,0.001,60.79,-154909.59183562003,1867946114.2
1.0,0.9218823313713074,0.0663706585764885,0.005808187182992697,21,180000,1.1920928955078125e-07,1506,119,0.001,65.94,-157036.30475200003,2191243419.8
1.0,0.928158700466156,0.0677572563290596,0.005858149845153093,23,190000,-1.1920928955078125e-07,1477,128,0.001,71.93,-163899.36551897,1849189534.0
1.0,0.9290301203727722,0.069077268242836,0.006058754399418831,24,200000,-1.1920928955078125e-07,1468,136,0.001,75.57,-162462.26704098,1773763746.4
1.0,0.9311130046844482,0.06495825201272964,0.005880675744265318,25,210000,-1.1920928955078125e-07,1460,143,0.001,73.84,-161079.1583532,1817153152.2
1.0,0.9198576807975769,0.06618110835552216,0.005756149534136057,26,220000,-1.1920928955078125e-07,1453,151,0.001,70.78,-156736.11428908,1899576091.4
1.0,0.9245326519012451,0.07189670950174332,0.005626292433589697,28,230000,0.0,1433,160,0.001,77.32,-158850.25918530003,1653082501.6
1.0,0.9184573292732239,0.06253386288881302,0.006043601781129837,29,240000,0.0,1427,168,0.001,70.84,-147726.89001784,1713176250.6
1.0,0.917574942111969,0.06721038371324539,0.006019973661750555,30,250000,0.0,1423,175,0.001,85.94,-162553.61958777002,1660491954.7
1.0,0.9174723625183105,0.06244567781686783,0.00603865459561348,31,260000,-2.384185791015625e-07,1418,183,0.001,72.93,-151375.49479008003,1661753911.4
1.0,0.9110162258148193,0.06556566059589386,0.006267209071666002,32,270000,0.0,1414,190,0.001,88.99,-169240.31101541,1628251820.2
1.0,0.9076399207115173,0.06234530359506607,0.0061922683380544186,34,280000,0.0,1399,200,0.001,81.25,-153229.62805744,1572375754.5
1.0,0.9006174206733704,0.06653860211372375,0.005866887513548136,35,290000,0.0,1396,207,0.001,93.56,-178901.29825837995,1471367368.7
1.0,0.8965714573860168,0.06752601265907288,0.006046696100383997,36,300000,0.0,1393,215,0.001,88.44,-162916.81975671998,1484743821.3
1.0,0.8948204517364502,0.07414105534553528,0.006824595388025045,37,310000,0.0,1391,222,0.001,85.66,-157626.76860158,1353635450.7
1.0,0.8819712996482849,0.0733136460185051,0.006696163211017847,39,320000,0.0,1379,231,0.001,73.83,-145677.49070994,1604089797.0
1.0,0.8816680908203125,0.0657724142074585,0.00677058519795537,40,330000,0.0,1377,239,0.001,80.67,-153982.00358401,1524518472.7
1.0,0.8800787329673767,0.07026323676109314,0.007116356398910284,41,340000,-1.1920928955078125e-07,1375,247,0.001,81.3,-151734.56966501,1648471766.6
1.0,0.883765697479248,0.06829743087291718,0.005914767738431692,42,350000,0.0,1373,254,0.001,90.77,-160403.36986975998,1379299319.1
1.0,0.8816640377044678,0.07194799184799194,0.006833847612142563,43,360000,1.7881393432617188e-07,1371,262,0.001,95.11,-170638.72109315998,1451093608.2
1.0,0.8829658627510071,0.06995399296283722,0.006512740161269903,45,370000,0.0,1362,271,0.001,101.76,-175652.25800903994,1368750174.6
1.0,0.880158007144928,0.06879214197397232,0.007306912913918495,46,380000,-1.1920928955078125e-07,1360,279,0.001,98.38,-171218.05405239,1271623372.9
1.0,0.8743558526039124,0.06950642168521881,0.007188953924924135,47,390000,0.0,1359,286,0.001,96.53,-159444.26290191,1446009461.5
1.0,0.8708379864692688,0.07217232882976532,0.007000073324888945,48,400000,0.0,1358,294,0.001,107.75,-169643.57636695998,1227250311.3
1.0,0.8761562705039978,0.07009928673505783,0.0065745399333536625,50,410000,1.1920928955078125e-07,1350,303,0.001,96.4,-172383.90051113,1390099800.6
1.0,0.875511646270752,0.072260782122612,0.007151855621486902,51,420000,0.0,1349,311,0.001,122.69,-193590.66566993002,1100987629.7
1.0,0.8747379779815674,0.06933169811964035,0.006665259599685669,52,430000,0.0,1349,318,0.001,119.0,-187504.2637418,1139764043.1
1.0,0.8725740909576416,0.0725291445851326,0.007044738624244928,53,440000,-1.1920928955078125e-07,1348,326,0.001,108.3,-171637.51181445003,1131555479.0
1.0,0.8676049113273621,0.06703227013349533,0.006968760397285223,54,450000,1.1920928955078125e-07,1347,333,0.001,112.34,-172128.79312625004,1227258164.1
1.0,0.8612878918647766,0.07049930840730667,0.0068083517253398895,56,460000,-1.1920928955078125e-07,1341,342,0.001,140.59,-193595.67719406998,882065640.8
1.0,0.8587901592254639,0.0723007395863533,0.006728010252118111,57,470000,-1.1920928955078125e-07,1342,349,0.001,147.73,-192227.54592049998,1009162818.55
1.0,0.8530237674713135,0.0657346323132515,0.006821776274591684,58,480000,0.0,1343,357,0.001,145.11,-202563.82450209997,916386965.35
1.0,0.8551188111305237,0.06595748662948608,0.007100399117916822,59,490000,0.0,1344,364,0.001,123.84,-182373.14698624998,1077070268.7
1.0,0.8552708625793457,0.07359756529331207,0.007204325869679451,61,500000,0.0,1339,373,0.001,138.12,-181827.39383130003,866360472.55
1.0,0.8532285094261169,0.07108066231012344,0.007564539555460215,62,510000,0.0,1339,380,0.001,144.57,-192248.87162905,969488202.75
1.0,0.856412410736084,0.07007525861263275,0.0073392391204833984,63,520000,0.0,1339,388,0.001,137.3,-178185.5175809,923322141.45
