train/ent_coef_loss,train/actor_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,time/episodes,time/time_elapsed,time/fps,train/ent_coef,train/critic_loss
-11.873623847961426,2304.176513671875,10000,0.001,-869857.6933534543,127.68831168831169,2474,77,51,194,2.1112444400787354,68101552.0
-14.405879974365234,6460.5751953125,20000,0.001,-223482.38070203,123.85,4974,131,103,193,4.3453450202941895,6001130.5
-13.804536819458008,5943.146484375,30000,0.001,-208326.30162,214.76,7474,146,155,192,7.689765930175781,11122896.0
-10.714839935302734,5576.30419921875,40000,0.001,-184090.46621984002,299.29,9974,160,207,192,12.515608787536621,4813519.5
-6.519864082336426,4806.833984375,50000,0.001,-168827.10507356,388.77,12474,173,259,192,18.632080078125,2638912.0
-3.367506504058838,5163.154296875,60000,0.001,-145950.59217877,482.5,14974,186,312,192,25.141084671020508,12599428.0
-0.7907441854476929,4901.4033203125,70000,0.001,-134300.01286291,560.57,17474,196,364,191,28.84462547302246,6280505.0
1.7152531147003174,4332.3916015625,80000,0.001,-83138.44659795999,650.27,19974,208,417,191,27.174039840698242,2470774.0
2.1786952018737793,4695.74951171875,90000,0.001,-75207.79373404001,716.65,22474,216,469,191,23.579132080078125,3615962.5
0.7733599543571472,3378.958740234375,100000,0.001,-69534.17111249,825.35,24974,228,522,191,19.820972442626953,13412474.0
1.1658000946044922,3874.410888671875,110000,0.001,-52662.11725760001,864.29,27474,238,574,191,16.59303855895996,2290592.5
0.6251332759857178,2185.257568359375,120000,0.001,-50404.70455499999,882.55,29974,248,627,191,16.490184783935547,4534220.5
0.33807164430618286,1433.2225341796875,130000,0.001,-45999.83741579999,907.14,32474,259,679,191,15.008593559265137,10204292.0
-1.3374007940292358,471.1271057128906,140000,0.001,-47610.40169868,932.81,34974,270,732,191,14.672481536865234,1047149.375
0.8278322219848633,961.8847045898438,150000,0.001,-47598.489338310006,935.77,37474,280,784,191,12.394867897033691,773750.375
