train/learning_rate,time/total_timesteps,train/ent_coef_loss,train/n_updates,train/critic_loss,train/ent_coef,rollout/ep_len_mean,time/episodes,time/time_elapsed,train/actor_loss,rollout/ep_rew_mean,time/fps
0.001,10000,-72.52629852294922,2474,188516800.0,2.656440496444702,122.5375,80,59,-873.1718139648438,-4455938.163783062,169
0.001,20000,-141.982666015625,4974,62100152.0,6.0295586585998535,46.96,307,121,5370.25830078125,-673245.8259217301,164
0.001,30000,-182.6920928955078,7474,54242024.0,13.702990531921387,25.71,645,178,27160.517578125,-578323.88534146,167
0.001,40000,-153.0996856689453,9974,80435696.0,27.27418327331543,41.6,892,235,29297.3203125,-756174.2412529602,169
0.001,50000,-162.34674072265625,12474,67897552.0,47.99179458618164,69.38,1114,292,73365.390625,-1199656.92931055,170
0.001,60000,-73.32803344726562,14974,73338856.0,71.1718978881836,135.53,1188,350,67711.0546875,-2249685.43747532,171
0.001,70000,-75.68681335449219,17474,103884480.0,108.80757141113281,89.14,1310,408,73777.125,-1399843.83226204,171
0.001,80000,-30.204601287841797,19974,52129716.0,154.92535400390625,121.33,1383,468,97113.84375,-2094917.91236619,170
0.001,90000,7.467588901519775,22474,64233376.0,201.73104858398438,63.01,1528,530,127221.015625,-1114936.00374368,169
0.001,100000,45.537654876708984,24974,88457872.0,267.6440124511719,51.26,2115,587,114614.625,-1170106.02244501,170
0.001,110000,41.48286437988281,27474,174084240.0,338.7629699707031,5.32,2423,642,174536.21875,-141504.26015016,171
0.001,120000,19.485122680664062,29974,145736000.0,211.83816528320312,4.8,4317,704,165033.921875,-137035.88476145998,170
0.001,130000,13.47321891784668,32474,76944440.0,139.85159301757812,4.19,6644,769,156890.15625,-130228.70322607,169
0.001,140000,4.754730224609375,34974,92919472.0,105.41255187988281,4.04,9023,829,165565.875,-129173.62483562,168
0.001,150000,-1.6176772117614746,37474,44385880.0,85.8891372680664,4.01,11518,886,155951.0625,-128387.43763658,169
0.001,160000,1.6599305868148804,39974,51432488.0,78.79608154296875,4.0,14017,943,149111.78125,-128262.23416099,169
0.001,170000,0.5981069803237915,42474,27676684.0,72.86160278320312,4.0,16516,1004,150881.40625,-128289.99129324999,169
0.001,180000,2.977621078491211,44974,24321044.0,68.01219940185547,4.0,19015,1063,141831.453125,-128308.63957545003,169
0.001,190000,-0.14267230033874512,47474,18204296.0,65.9422836303711,4.0,21515,1120,142487.6875,-128365.03417884,169
0.001,200000,-3.955333709716797,49974,22628898.0,61.53352737426758,4.0,24015,1180,139410.3125,-128247.29191310998,169
0.001,210000,3.030416488647461,52474,23891238.0,57.84441375732422,4.0,26513,1239,141129.21875,-128284.41946710998,169
0.001,220000,-1.4114388227462769,54974,20748416.0,55.0444221496582,4.0,29013,1297,133499.765625,-128228.46876398,169
0.001,230000,3.9710235595703125,57474,27090090.0,54.189632415771484,4.0,31513,1354,121214.4453125,-128242.80869456998,169
