rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/entropy_loss,train/clip_range,train/learning_rate,train/n_updates,train/explained_variance,train/approx_kl,train/value_loss,train/policy_gradient_loss,time/time_elapsed,train/std,train/loss,train/clip_fraction,time/fps
-269943.54019688995,216.65,230000,-12.043493253737688,0.2,0.0017,280,0.0,0.007836876,419508825.1875,-0.003778191732817504,222,1.822579264640808,253140848.0,0.05087890625,1032
-309450.36843037995,253.67,240000,-12.20420467108488,0.2,0.0017,290,5.960464477539063e-08,0.008989244,399605195.70625,-0.003878307631566713,231,1.8734363317489624,157458768.0,0.0563720703125,1036
-318147.24524509,273.41,250000,-12.33836450278759,0.2,0.0017,300,-1.1920928955078125e-07,0.0057604695,413169346.9375,-0.003028013488255965,240,1.9092906713485718,244695808.0,0.0383544921875,1041
-315468.65505413,263.4,260000,-12.484072294086218,0.2,0.0017,310,0.0,0.009304713,453690432.225,-0.00443968787067206,248,1.9633698463439941,251004016.0,0.05921630859375,1044
-283390.23658883,233.92,270000,-12.635104777663946,0.2,0.0017,320,0.0,0.00866108,469487222.86875,-0.0042076732035638996,257,2.010026693344116,150151072.0,0.05899658203125,1048
-307622.71551625,263.18,280000,-12.939236929267645,0.2,0.0017,340,0.0,0.0077414773,350217815.1125,-0.0036150109363006777,270,2.1172420978546143,155217312.0,0.05445556640625,1033
-291174.39839423995,247.18,290000,-13.099014400690795,0.2,0.0017,350,0.0,0.0073385024,473047287.1,-0.0017439649296647985,279,2.178725481033325,167522256.0,0.0371826171875,1037
-306137.866457,259.6,300000,-13.263511769473553,0.2,0.0017,360,0.0,0.007448683,376126070.35625,-0.0016232035484790685,288,2.2342090606689453,172494432.0,0.04324951171875,1041
-294017.67725094,241.98,310000,-13.40464465022087,0.2,0.0017,370,0.0,0.0062141838,456398419.7125,-0.0018223633136585705,296,2.286977529525757,87548616.0,0.0344970703125,1044
-279358.47217188,231.52,320000,-13.715391840040684,0.2,0.0017,390,0.0,0.0076903803,405272271.1375,-0.002726733373856405,310,2.4142005443573,285878240.0,0.05030517578125,1032
-310908.37631252996,256.9,330000,-13.869153133034706,0.2,0.0017,400,5.960464477539063e-08,0.006335352,416405167.675,-0.001541104769330559,318,2.47436785697937,148784816.0,0.029443359375,1035
-349223.30900177005,288.79,340000,-14.016918923705816,0.2,0.0017,410,0.0,0.0066579925,356441686.55625,-0.002376221960003022,327,2.534015417098999,199093184.0,0.0457275390625,1039
-360138.11028355005,304.13,350000,-14.159105160832405,0.2,0.0017,420,-1.1920928955078125e-07,0.0069785616,361376799.7875,-0.0016950639050264727,335,2.5983755588531494,101156448.0,0.03875732421875,1041
-328260.99808367,276.69,360000,-14.320005643367768,0.2,0.0017,430,0.0,0.007869834,351195199.30625,-0.001819540871292702,344,2.6713645458221436,231521776.0,0.04942626953125,1044
-295964.58985427005,248.8,370000,-14.644516505300999,0.2,0.0017,450,0.0,0.0075650085,416394196.7875,-0.001838586111625773,357,2.823087453842163,165655904.0,0.04195556640625,1034
-323201.17279593,273.5,380000,-14.8072501398623,0.2,0.0017,460,0.0,0.007248382,330737275.85,-0.0029195815928687806,366,2.898455858230591,147969888.0,0.0493896484375,1037
-339309.79305043997,292.39,390000,-14.974606266617775,0.2,0.0017,470,-1.1920928955078125e-07,0.008255897,306227974.075,-0.0015822437856513715,375,2.9859092235565186,251916352.0,0.04810791015625,1039
-364144.54845151,316.68,400000,-15.138867418468,0.2,0.0017,480,0.0,0.008509906,376889379.3,-0.0033222417783690616,383,3.06646466255188,270212000.0,0.05723876953125,1042
-334837.00468309,280.26,410000,-15.46108639612794,0.2,0.0017,500,-1.1920928955078125e-07,0.0074443473,377071198.075,-0.0015452654206455918,396,3.2394702434539795,95414624.0,0.04677734375,1033
-340682.22545689,293.75,420000,-15.614127802103758,0.2,0.0017,510,5.960464477539063e-08,0.0078756325,340857862.83125,-0.0014097185873652052,405,3.3195788860321045,80893424.0,0.0465576171875,1036
-319578.68589796,274.26,430000,-15.760574033111334,0.2,0.0017,520,0.0,0.0076887887,326242987.6875,-0.0024653519791172584,413,3.408567428588867,114716440.0,0.048828125,1039
-327414.49768245,274.41,440000,-15.889690999686717,0.2,0.0017,530,0.0,0.0060344283,416121803.875,-0.0016023889027565019,422,3.477898359298706,212980064.0,0.03616943359375,1041
-318525.720102,264.29,450000,-16.040666931867598,0.2,0.0017,540,-1.1920928955078125e-07,0.006590479,342202480.7875,-0.002195243039022898,430,3.5738890171051025,207335184.0,0.04552001953125,1044
-336905.63593014004,280.12,460000,-16.40865190476179,0.2,0.0017,560,0.0,0.007295424,321996276.06875,-0.0011009660593117587,443,3.806441068649292,78338680.0,0.0464111328125,1036
-359356.12458324,305.19,470000,-16.57839530557394,0.2,0.0017,570,0.0,0.007917334,327631603.1875,-0.002318716304489499,452,3.91353702545166,134799600.0,0.05167236328125,1039
-362534.77008411,309.34,480000,-16.7770578160882,0.2,0.0017,580,-1.1920928955078125e-07,0.011610714,326203369.86875,-0.0037062603780213975,460,4.070244789123535,106877992.0,0.069482421875,1041
-388646.7515026401,331.35,490000,-16.982614493370058,0.2,0.0017,590,0.0,0.009192644,304119309.94375,-0.0013487372825693456,469,4.207489490509033,156362416.0,0.05489501953125,1044
-360846.19199372,301.65,500000,-17.311955818533896,0.2,0.0017,610,0.0,0.007225977,333524416.16875,-0.000822151988541009,482,4.455785274505615,182949520.0,0.04404296875,1036
-384824.28225258994,316.59,510000,-17.486392825841904,0.2,0.0017,620,0.0,0.006022875,386081833.975,-0.0006973789057155954,490,4.575759410858154,85169680.0,0.03209228515625,1039
-351113.83654462994,290.32,520000,-17.68841522485018,0.2,0.0017,630,0.0,0.010905283,309136907.38125,-0.0018847781695512822,499,4.757080078125,278536256.0,0.064599609375,1041
-381090.67948479997,320.63,530000,-17.888090731203555,0.2,0.0017,640,0.0,0.007909413,286647968.88125,-0.001576805247896118,507,4.915504455566406,187279056.0,0.045556640625,1043
-373770.66798870004,315.52,540000,-18.0584061011672,0.2,0.0017,650,0.0,0.006969799,341963074.58125,-0.0025686118751764297,516,5.052773475646973,218006624.0,0.0476806640625,1046
-382676.92755692994,320.11,550000,-18.381895527243614,0.2,0.0017,670,0.0,0.0076642586,319763017.05,-0.0013503953079634812,529,5.3426833152771,169095216.0,0.05614013671875,1039
-376373.63527791,310.97,560000,-18.56427703052759,0.2,0.0017,680,0.0,0.009398555,336224697.1875,-0.0025177511930451145,537,5.525007247924805,213709408.0,0.05740966796875,1041
-334990.59391421004,275.81,570000,-18.758792833983897,0.2,0.0017,690,0.0,0.008077206,329255937.83125,-0.001810620665855822,546,5.702188014984131,216559504.0,0.0499755859375,1043
-328024.55115011,262.53,580000,-18.949253445863725,0.2,0.0017,700,0.0,0.00877379,378958553.3,-0.0018721012678724947,554,5.891744136810303,151826096.0,0.0459228515625,1045
-350020.81851605,276.18,590000,-19.30857694000006,0.2,0.0017,720,0.0,0.008212991,346713235.7125,-0.0018370344823779305,567,6.247966289520264,256902016.0,0.04873046875,1039
-357069.89811434003,279.09,600000,-19.474304212629796,0.2,0.0017,730,0.0,0.007785392,343920355.184375,-0.0015257123337505617,575,6.446376323699951,200029264.0,0.04306640625,1042
-346199.40536798,265.58,610000,-19.643637542426585,0.2,0.0017,740,0.0,0.0069953306,353159971.63125,-0.001788522744027432,584,6.6436638832092285,279049984.0,0.03970947265625,1044
-346855.51931135997,266.76,620000,-19.839735721051692,0.2,0.0017,750,0.0,0.008159295,363840611.23125,-0.0004218870277327369,592,6.871903896331787,272616032.0,0.041748046875,1046
-365929.92688777,280.85,630000,-20.02948362082243,0.2,0.0017,760,0.0,0.008539419,373556163.7375,-0.0017995494893966678,601,7.1138763427734375,235140272.0,0.0525390625,1048
-367355.35463904997,278.49,640000,-20.40068487226963,0.2,0.0017,780,-1.1920928955078125e-07,0.008347578,348192809.2125,-0.00285914338510338,613,7.584783554077148,129797160.0,0.05328369140625,1042
-393795.06814130006,306.73,650000,-20.578305284678937,0.2,0.0017,790,-1.1920928955078125e-07,0.006052734,264962428.73125,0.0026741163646875066,622,7.779236316680908,95381856.0,0.07010498046875,1044
-417365.29796338995,319.18,660000,-20.721682888269424,0.2,0.0017,800,-1.1920928955078125e-07,0.007225986,327417318.08125,-0.002354424775512598,630,7.99960470199585,186242224.0,0.0385986328125,1046
-390630.34877176,303.37,670000,-20.903295433521272,0.2,0.0017,810,0.0,0.008508537,356880185.11875,-0.0008560173711885,639,8.267358779907227,198865120.0,0.05172119140625,1048
-392498.1504134699,303.84,680000,-21.2770391240716,0.2,0.0017,830,5.960464477539063e-08,0.0074562933,307764374.50625,-0.0015444408107214258,651,8.807439804077148,145370224.0,0.0539794921875,1043
-375551.81518166,289.47,690000,-21.43726438879967,0.2,0.0017,840,0.0,0.0073129884,357793753.70625,-0.001258277095257654,660,9.09118366241455,167379296.0,0.04222412109375,1045
-394554.0584199599,298.4,700000,-21.646122308075427,0.2,0.0017,850,-1.1920928955078125e-07,0.009918702,355033563.46875,-0.0013840536319548846,668,9.442522048950195,131575920.0,0.05489501953125,1046
-408321.03238265007,305.91,710000,-21.848851762712002,0.2,0.0017,860,5.960464477539063e-08,0.007756158,325958225.234375,-0.00019470064780762185,676,9.78545093536377,180353376.0,0.03775634765625,1048
-412213.74629792996,307.48,720000,-22.03872496038675,0.2,0.0017,870,0.0,0.0067766625,295033968.334375,-0.0013054006158199627,685,10.074713706970215,48872672.0,0.04290771484375,1050
-422159.5650213201,317.1,730000,-22.342807736992835,0.2,0.0017,890,0.0,0.010189515,402811685.45625,-0.003583323720522458,698,10.625287055969238,289318368.0,0.06871337890625,1045
-400564.82608530996,301.16,740000,-22.528978192806242,0.2,0.0017,900,5.960464477539063e-08,0.009013105,296211256.85625,-0.0015210203473543515,706,10.9960298538208,193269504.0,0.05400390625,1047
-383274.74025691004,289.75,750000,-22.709775972366334,0.2,0.0017,910,1.1920928955078125e-07,0.0069292253,362144881.76875,-0.0004182930089882575,715,11.338223457336426,139008080.0,0.03623046875,1048
-393155.23307526007,297.38,760000,-22.88621206879616,0.2,0.0017,920,5.960464477539063e-08,0.0069228658,311396959.79375,-0.00020037874928675593,723,11.71657943725586,139439216.0,0.04189453125,1050
-361901.1352971601,260.13,770000,-23.04948239773512,0.2,0.0017,930,0.0,0.0069514858,328154294.33125,-0.001895898167094856,731,12.055695533752441,151795920.0,0.04189453125,1052
-380917.52911072003,277.5,780000,-23.41525388509035,0.2,0.0017,950,0.0,0.008821184,311856897.8875,-0.0005119526712405786,744,12.864596366882324,193758304.0,0.05382080078125,1047
-380377.8154581599,274.92,790000,-23.617315596342088,0.2,0.0017,960,1.1920928955078125e-07,0.008568652,293405561.0125,-0.0007349334937316598,753,13.326090812683105,198327824.0,0.04622802734375,1049
-399893.39171687,285.47,800000,-23.811178424954413,0.2,0.0017,970,0.0,0.0062233564,318600958.3125,0.0008323507970999344,761,13.761719703674316,121162160.0,0.03182373046875,1050
-380175.3213431401,262.1,810000,-23.95783206820488,0.2,0.0017,980,0.0,0.004894983,379375190.3875,-0.00034950361023220464,769,14.098812103271484,155375920.0,0.0248779296875,1052
-402981.69548861997,272.67,820000,-24.326141765713693,0.2,0.0017,1000,0.0,0.008233436,344186970.8375,-0.0007679824095248478,782,15.104790687561035,193649008.0,0.041259765625,1047
-451473.70585625,313.66,830000,-24.503084313869476,0.2,0.0017,1010,0.0,0.0057949545,263727047.271875,0.00011770122509915381,791,15.529208183288574,144868192.0,0.03426513671875,1049
-463249.87257816,323.45,840000,-24.694400955736636,0.2,0.0017,1020,5.960464477539063e-08,0.007991234,288764750.44375,0.0003771502935705939,799,16.108009338378906,66527568.0,0.04156494140625,1050
-453419.66653326014,315.5,850000,-24.902638940513135,0.2,0.0017,1030,0.0,0.0073742284,409009896.45625,-0.0004970066778696491,807,16.657983779907227,171180896.0,0.0363037109375,1052
-427904.82993824995,283.94,860000,-25.080907721817493,0.2,0.0017,1040,0.0,0.005925452,335111338.2625,-0.0008735153271118179,816,17.1408634185791,247691408.0,0.03095703125,1053
-454427.4292008301,304.82,870000,-25.477872890233993,0.2,0.0017,1060,0.0,0.008405344,269380297.24375,-0.0003815198289885302,829,18.371746063232422,190271968.0,0.04578857421875,1049
-470101.31019685994,310.03,880000,-25.68728751242161,0.2,0.0017,1070,1.1920928955078125e-07,0.0084043965,360356232.55625,-0.0009400727376487339,837,19.094924926757812,208628752.0,0.0407470703125,1050
-487917.2838572299,320.54,890000,-25.871751849353313,0.2,0.0017,1080,1.1920928955078125e-07,0.005493342,338281200.35,-8.661487991048488e-05,845,19.633222579956055,146603216.0,0.0255615234375,1052
-493132.52035073,317.57,900000,-26.043070337176324,0.2,0.0017,1090,5.960464477539063e-08,0.006327222,346227417.08125,-0.00019467616511974483,854,20.257774353027344,233110256.0,0.030908203125,1053
-500181.94103835,332.38,910000,-26.49160832464695,0.2,0.0017,1110,0.0,0.009039208,283507270.3375,-5.4411657220043705e-05,867,21.848472595214844,91129064.0,0.0546875,1049
-502484.27854145,328.53,920000,-26.671226674318312,0.2,0.0017,1120,0.0,0.0066975392,398062133.56875,-0.00034839699728763664,875,22.591249465942383,268160272.0,0.0316162109375,1050
-483451.34332142,315.98,930000,-26.875680346786975,0.2,0.0017,1130,-1.1920928955078125e-07,0.008659599,324414310.25,0.0003172695614921395,883,23.42967414855957,93056800.0,0.0399658203125,1052
-516595.7886279699,324.55,940000,-27.06524931639433,0.2,0.0017,1140,-2.384185791015625e-07,0.0051612593,347100806.025,0.000856846585884341,892,24.10858154296875,233636464.0,0.02476806640625,1053
-549807.3108439101,351.7,950000,-27.23047902137041,0.2,0.0017,1150,-1.1920928955078125e-07,0.0047624237,324659886.54375,0.0004447243183676619,900,24.78533363342285,117523440.0,0.02408447265625,1054
-534362.96401708,338.48,960000,-27.59283732920885,0.2,0.0017,1170,-1.1920928955078125e-07,0.0077584144,334776965.775,0.0001985756973226671,913,26.509244918823242,220179952.0,0.0412841796875,1050
-535666.28901401,345.08,970000,-27.83956497311592,0.2,0.0017,1180,-1.1920928955078125e-07,0.009537458,291651105.2625,-0.00029685602657991694,922,27.565427780151367,201889120.0,0.05872802734375,1051
-499787.1838854,315.39,980000,-28.01332072019577,0.2,0.0017,1190,0.0,0.005399666,361737293.0625,0.0007458857417077525,930,28.358566284179688,123482232.0,0.029736328125,1053
-530552.67154936,334.96,990000,-28.192473973333836,0.2,0.0017,1200,-1.1920928955078125e-07,0.006878738,318501748.41875,0.0014028892019268824,938,29.358400344848633,212944976.0,0.0348388671875,1054
-562918.9259202101,347.0,1000000,-28.603717659413814,0.2,0.0017,1220,0.0,0.0077659716,333327911.925,-0.0001622064412003965,951,31.476272583007812,242751008.0,0.038671875,1050
