rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/entropy_loss,train/clip_range,train/learning_rate,train/n_updates,train/explained_variance,train/approx_kl,train/value_loss,train/policy_gradient_loss,time/time_elapsed,train/std,train/loss,train/clip_fraction,time/fps
-753766.0309639582,379.875,10000,-8.566125002503394,0.2,0.0017,10,-6.9141387939453125e-06,0.006306519,1048012387.4,-0.007851224416663171,8,1.0158607959747314,526008832.0,0.04049072265625,1135
-642812.6449740728,350.1636363636364,20000,-8.655689988285303,0.2,0.0017,20,0.0,0.0064598126,721235034.05,-0.007577449035670725,17,1.0303187370300293,338155840.0,0.0466064453125,1137
-622145.8047274251,362.625,30000,-8.74525750502944,0.2,0.0017,30,0.0,0.00598792,679549617.425,-0.005319790260182344,26,1.0463069677352905,289777024.0,0.0389404296875,1137
-624168.82331425,385.31,40000,-8.849673175811768,0.2,0.0017,40,1.1920928955078125e-07,0.0066359704,639783714.5,-0.006692216053852462,35,1.0661945343017578,375241888.0,0.05128173828125,1140
-558422.24698712,386.74,50000,-9.108194845914841,0.2,0.0017,60,-1.1920928955078125e-07,0.0060549765,478311427.5,-0.003250191216284293,48,1.1151293516159058,191444704.0,0.02877197265625,1030
-523744.08907289,388.75,60000,-9.22471651136875,0.2,0.0017,70,0.0,0.005539247,501253406.825,-0.004291172387820552,57,1.13369619846344,195518912.0,0.02568359375,1045
-500038.56905708,389.14,70000,-9.340148959308863,0.2,0.0017,80,0.0,0.0063680126,504498341.2875,-0.004213594037719304,66,1.1582832336425781,332221536.0,0.045751953125,1058
-452111.39346152,357.3,80000,-9.469667691737413,0.2,0.0017,90,0.0,0.007351039,499363142.175,-0.00517424957924959,74,1.1839557886123657,313353920.0,0.04788818359375,1070
-397685.04411347,317.83,90000,-9.586530407518149,0.2,0.0017,100,0.0,0.006063455,402788136.85,-0.003745929897922906,83,1.2046352624893188,209229728.0,0.0381591796875,1080
-362268.47088418005,299.1,100000,-9.850254433602094,0.2,0.0017,120,0.0,0.004865596,463115701.5,-0.0020076594491911237,96,1.2596758604049683,171038416.0,0.02607421875,1036
-355971.43954252993,298.58,110000,-9.95394916087389,0.2,0.0017,130,5.960464477539063e-08,0.0067282096,443409690.60625,-0.004404806250749971,105,1.280438780784607,157824848.0,0.044287109375,1046
-349829.34250483004,297.12,120000,-10.05095016285777,0.2,0.0017,140,0.0,0.006725234,412396642.2375,-0.004330771123204613,113,1.3018665313720703,200203152.0,0.050732421875,1055
-345548.4974814599,289.45,130000,-10.176122853159905,0.2,0.0017,150,-1.1920928955078125e-07,0.0075416933,526778182.125,-0.003405764027775149,122,1.332199215888977,270063488.0,0.0432861328125,1062
-334341.53345870995,281.08,140000,-10.458917836844922,0.2,0.0017,170,0.0,0.0077587515,445617294.5,-0.004365971266452107,135,1.3996399641036987,366344768.0,0.0556884765625,1032
-327832.36621272995,273.44,150000,-10.611724232882262,0.2,0.0017,180,0.0,0.006566738,487201613.275,-0.0026735824982097255,144,1.4335731267929077,179890480.0,0.03602294921875,1039
-337565.50299035007,278.93,160000,-10.771036002784967,0.2,0.0017,190,5.960464477539063e-08,0.008291102,432811618.75,-0.004456508548173588,152,1.4732462167739868,226638064.0,0.05858154296875,1046
-333956.22802895994,278.91,170000,-10.933441641181707,0.2,0.0017,200,0.0,0.0074046473,494358638.825,-0.002675059770626831,161,1.5154691934585571,270140288.0,0.040234375,1052
-321338.08807993005,262.98,180000,-11.06503070294857,0.2,0.0017,210,0.0,0.0064515173,419183628.9125,-0.003502099552861182,170,1.541663646697998,257178112.0,0.03984375,1057
-301641.61849764,256.41,190000,-11.303827586770058,0.2,0.0017,230,0.0,0.008145768,440441667.2625,-0.0030705102042702494,183,1.610237956047058,333910016.0,0.055615234375,1035
-284761.94539163,253.03,200000,-11.4571572676301,0.2,0.0017,240,0.0,0.009366024,362758094.94375,-0.0048963494708004875,192,1.6502870321273804,171824032.0,0.0734375,1040
-304196.82674705,279.19,210000,-11.603631984442472,0.2,0.0017,250,0.0,0.007398539,389309842.0,-0.0038128617117763495,200,1.690752625465393,209464560.0,0.04990234375,1045
-278053.68289879995,227.06,220000,-11.745034401118755,0.2,0.0017,260,0.0,0.0074883136,485839351.175,-0.0036185614835630986,209,1.733223795890808,197159296.0,0.05277099609375,1049
