rollout/ep_len_mean,train/actor_loss,time/fps,train/ent_coef,train/ent_coef_loss,time/time_elapsed,train/learning_rate,train/critic_loss,train/n_updates,time/total_timesteps,time/episodes,rollout/ep_rew_mean
18.72,-72382.359375,177,46.36484909057617,-0.8130159378051758,957,0.001,10570606.0,42474,170000,4030,133417.30402623
18.41,-79049.421875,177,49.36235046386719,0.7129518985748291,1015,0.001,6792925.0,44974,180000,4566,132103.85416952
18.06,-76999.1875,177,47.76131057739258,-1.7825300693511963,1069,0.001,2911535.75,47474,190000,5114,133323.24149539002
18.4,-84273.3046875,178,43.02937698364258,-0.08698344230651855,1119,0.001,4005519.0,49974,200000,5658,133625.47384440002
17.76,-85386.53125,178,44.27104568481445,-1.0727046728134155,1175,0.001,6437086.0,52474,210000,6212,133534.61199972
19.49,-84584.6640625,178,39.68195343017578,-0.6446225643157959,1232,0.001,3924053.5,54974,220000,6698,133505.35070622002
37.78,-90966.84375,178,40.371646881103516,-0.18067437410354614,1289,0.001,17568090.0,57474,230000,7132,126622.18377368999
18.0,-86223.3125,178,41.82011413574219,-0.3003701865673065,1342,0.001,49634160.0,59974,240000,7657,133326.04145071
18.38,-87373.421875,178,41.79694747924805,-1.6373562812805176,1399,0.001,6434665.0,62474,250000,8158,132516.74830723
17.84,-85839.1875,178,38.84711837768555,0.21673709154129028,1453,0.001,16070491.0,64974,260000,8721,133335.35109126
18.1,-89614.4140625,179,40.95077133178711,1.0270400047302246,1506,0.001,4941954.0,67474,270000,9276,133533.30506439
19.16,-91628.4765625,179,40.08419418334961,-1.2339062690734863,1561,0.001,3126034.0,69974,280000,9820,133611.95776411
21.61,-95544.84375,178,35.90030288696289,0.8086147308349609,1620,0.001,3674142.25,72474,290000,10349,133426.10632389
17.42,-91674.9609375,179,41.0221061706543,0.7931089401245117,1672,0.001,3666201.0,74974,300000,10843,133244.24927092
17.91,-94716.21875,179,35.47755813598633,0.13577106595039368,1723,0.001,2066869.75,77474,310000,11399,133326.21771119998
17.29,-96280.890625,180,35.141387939453125,0.08497357368469238,1777,0.001,2128733.75,79974,320000,11977,133552.20818000997
17.14,-98668.375,180,38.402976989746094,0.2656395435333252,1828,0.001,2797040.75,82474,330000,12554,133656.10159506
17.58,-97540.015625,180,40.102020263671875,-0.41343581676483154,1879,0.001,2621027.0,84974,340000,13123,133646.38200153
17.57,-101992.765625,181,36.83582305908203,-0.7112361192703247,1930,0.001,2578461.75,87474,350000,13701,133645.84638469
17.16,-100266.53125,181,36.6894416809082,-0.24147120118141174,1981,0.001,7378726.0,89974,360000,14255,133351.39382551
17.55,-101468.984375,182,32.99181365966797,0.5411207675933838,2032,0.001,19126836.0,92474,370000,14836,133648.83098204
20.81,-96913.734375,182,32.769107818603516,-0.13143926858901978,2083,0.001,3336710.0,94974,380000,15379,133470.11379134
16.96,-98552.390625,182,31.208024978637695,0.7744976878166199,2135,0.001,2006337.5,97474,390000,15910,133652.69893041
16.64,-96779.890625,182,33.89419937133789,-0.21912428736686707,2187,0.001,29745360.0,99974,400000,16493,133660.7688597
16.64,-100475.265625,182,33.204559326171875,0.43556156754493713,2244,0.001,7278034.0,102474,410000,17035,133654.48794678
17.23,-97204.671875,182,30.084270477294922,-0.5240064859390259,2302,0.001,6870172.0,104974,420000,17618,133547.18808524
16.78,-101967.203125,182,30.50972557067871,-0.22461700439453125,2361,0.001,2045782.875,107474,430000,18202,133648.14393104
16.45,-100725.9609375,181,29.71872329711914,-1.9626144170761108,2419,0.001,26049284.0,109974,440000,18806,133658.20203987998
16.38,-99006.71875,181,27.73780632019043,-1.190012812614441,2478,0.001,2792634.5,112474,450000,19403,133664.9890411
16.35,-102761.9375,181,27.19692039489746,0.8579937219619751,2535,0.001,848798.8125,114974,460000,20014,133669.06085974
26.89,-99878.84375,181,27.44526481628418,0.3875720500946045,2593,0.001,2827907.0,117474,470000,20431,132151.34750086
16.61,-103310.2734375,180,29.33663558959961,0.5745485424995422,2652,0.001,1251716.25,119974,480000,21034,133655.32581823
16.17,-100577.25,180,29.3587589263916,-0.5347728729248047,2708,0.001,2878571.75,122474,490000,21645,133662.6885073
16.94,-103428.984375,180,24.929588317871094,-1.6899151802062988,2765,0.001,2623913.25,124974,500000,22023,133048.49626179002
16.45,-102591.3046875,180,27.716197967529297,1.0922099351882935,2822,0.001,1043366.5,127474,510000,22610,133652.87367865
