train/learning_rate,time/total_timesteps,time/time_elapsed,train/policy_loss,train/std,train/explained_variance,train/entropy_loss,rollout/ep_rew_mean,time/fps,train/value_loss,rollout/ep_len_mean,train/n_updates
0.0001,10000,6,-2589043.25,1.0001895427703857,-5.960464477539062e-07,-21.286327362060547,-647229.3876403,1629,16831417344.0,23.58,124
0.0001,20000,12,-2495077.0,1.0004286766052246,-1.1920928955078125e-07,-21.290271759033203,-564184.98363056,1649,15504678912.0,20.89,249
0.0001,30000,18,-2662524.75,1.0002824068069458,0.0,-21.288719177246094,-583130.4344989499,1653,16622362624.0,21.67,374
0.0001,40000,24,-3138950.75,1.000435709953308,5.960464477539063e-08,-21.29074478149414,-526406.9368048101,1654,24747847680.0,19.3,499
0.0001,50000,30,-2524012.5,1.0004020929336548,-1.1920928955078125e-07,-21.290210723876953,-616687.0258955199,1654,15712442368.0,22.84,624
0.0001,60000,36,-2827278.5,1.0002108812332153,0.0,-21.287254333496094,-673180.4161386199,1653,20181768192.0,25.11,749
0.0001,70000,42,-2542030.0,1.00028657913208,0.0,-21.288475036621094,-565725.55209806,1651,16178716672.0,20.88,874
0.0001,80000,48,-2673600.75,1.0003904104232788,1.7881393432617188e-07,-21.289966583251953,-558660.53793843,1651,17588318208.0,20.42,999
0.0001,90000,54,-2646643.25,1.0005885362625122,1.1920928955078125e-07,-21.292720794677734,-543699.3271439798,1650,17828642816.0,19.76,1124
0.0001,100000,60,-2644884.5,1.0004407167434692,-1.1920928955078125e-07,-21.291053771972656,-529351.86558503,1651,16390690816.0,19.7,1249
0.0001,110000,66,-2595329.75,1.000140905380249,0.0,-21.285690307617188,-602582.23053261,1651,16823863296.0,22.34,1374
0.0001,120000,72,-2589189.0,0.9997942447662354,1.1920928955078125e-07,-21.280954360961914,-529141.76246187,1652,16628159488.0,19.35,1499
0.0001,130000,78,-2651144.5,0.9994844198226929,0.0,-21.27595329284668,-562596.85336414,1653,18080370688.0,20.73,1624
0.0001,140000,84,-2535745.5,0.9988460540771484,0.0,-21.26622200012207,-514168.61300654995,1653,16644777984.0,18.83,1749
0.0001,150000,90,-2762510.25,0.9987986087799072,0.0,-21.266298294067383,-486326.2793958201,1654,19384348672.0,17.53,1874
0.0001,160000,96,-2740238.5,0.9985691905021667,0.0,-21.26286506652832,-503629.13017562,1655,18004238336.0,18.42,1999
0.0001,170000,102,-2559888.25,0.9985299706459045,0.0,-21.26211166381836,-509567.96895974,1655,15872792576.0,18.45,2124
0.0001,180000,108,-2493753.75,0.9981542229652405,0.0,-21.25620460510254,-541939.461868,1656,15647282176.0,19.94,2249
0.0001,190000,114,-2541389.0,0.9986840486526489,-1.1920928955078125e-07,-21.263986587524414,-497492.45944449,1656,16550261760.0,18.45,2374
0.0001,200000,120,-2288743.5,0.9988495111465454,-1.1920928955078125e-07,-21.267019271850586,-579036.0080326301,1657,12570161152.0,21.65,2499
0.0001,210000,126,-2652342.0,0.9989330768585205,0.0,-21.267759323120117,-518463.32423713,1657,17696788480.0,18.86,2624
0.0001,220000,132,-2686896.75,0.9991826415061951,-1.1920928955078125e-07,-21.271522521972656,-508274.30349397997,1658,18428387328.0,18.93,2749
0.0001,230000,138,-2762490.75,0.999011218547821,-1.1920928955078125e-07,-21.268844604492188,-448324.96575766994,1658,19465154560.0,16.15,2874
0.0001,240000,144,-2600668.5,0.9993842244148254,-1.1920928955078125e-07,-21.274635314941406,-526558.6116469599,1658,17102664704.0,19.31,2999
0.0001,250000,150,-2712641.0,0.9989288449287415,0.0,-21.26760482788086,-529740.81196572,1658,18354536448.0,19.52,3124
0.0001,260000,156,-2615187.5,0.9991487860679626,0.0,-21.271474838256836,-481084.64599595,1658,16046102528.0,17.7,3249
0.0001,270000,162,-2588322.5,0.9993017315864563,0.0,-21.273109436035156,-469001.1220559499,1657,17281708032.0,17.12,3374
0.0001,280000,168,-2604486.5,0.999251127243042,0.0,-21.272653579711914,-400781.9500738701,1657,16912402432.0,14.09,3499
0.0001,290000,174,-2448153.0,0.9990538358688354,1.7881393432617188e-07,-21.26980972290039,-470960.46569303,1657,14733334528.0,17.3,3624
0.0001,300000,180,-2714703.25,0.999267041683197,0.0,-21.272388458251953,-469562.7278297101,1657,19716069376.0,17.3,3749
0.0001,310000,186,-2753040.0,0.9994794130325317,5.960464477539063e-08,-21.27656364440918,-546039.20606803,1657,17537624064.0,20.05,3874
0.0001,320000,193,-2689394.25,0.9993492364883423,0.0,-21.274194717407227,-453914.08548038,1657,18181584896.0,16.58,3999
0.0001,330000,199,-2380891.75,0.999302864074707,0.0,-21.273122787475586,-515792.00653901004,1657,14474687488.0,19.36,4124
0.0001,340000,205,-2516437.25,0.9990330934524536,5.960464477539063e-08,-21.269149780273438,-463967.9682813401,1657,16026058752.0,16.95,4249
0.0001,350000,211,-2609887.0,0.9989404082298279,5.960464477539063e-08,-21.267812728881836,-451091.0979474799,1657,17014112256.0,16.55,4374
0.0001,360000,217,-2974937.0,0.998667299747467,1.1920928955078125e-07,-21.264352798461914,-456395.22265094006,1657,21448136704.0,16.73,4499
0.0001,370000,223,-2417997.75,0.9987090826034546,1.7881393432617188e-07,-21.263416290283203,-502806.57382676995,1657,15867500544.0,18.15,4624
0.0001,380000,229,-2317582.5,0.9983606934547424,1.1920928955078125e-07,-21.259084701538086,-578813.4789936601,1657,14493486080.0,21.63,4749
0.0001,390000,235,-2566542.5,0.9979724884033203,1.1920928955078125e-07,-21.25328254699707,-467325.93808209995,1657,16406219776.0,16.73,4874
0.0001,400000,241,-2715478.75,0.9977985620498657,0.0,-21.250354766845703,-447360.4139496301,1656,18749364224.0,16.12,4999
0.0001,410000,247,-2277640.0,0.998073935508728,1.7881393432617188e-07,-21.254087448120117,-450277.77708716,1656,13455742976.0,16.57,5124
0.0001,420000,253,-2477623.5,0.9985806345939636,-1.1920928955078125e-07,-21.26207160949707,-379065.7834174899,1656,15229957120.0,13.51,5249
0.0001,430000,259,-2691604.25,0.9986449480056763,5.960464477539063e-08,-21.26356315612793,-353821.41481195,1656,17342087168.0,12.52,5374
0.0001,440000,265,-2545966.0,0.9983031749725342,-2.384185791015625e-07,-21.257247924804688,-407754.53463234997,1656,17214193664.0,14.95,5499
0.0001,450000,271,-2742700.0,0.9980412721633911,-2.384185791015625e-07,-21.255006790161133,-402118.38723198994,1656,17018226688.0,14.25,5624
0.0001,460000,277,-2585117.5,0.9978585839271545,-1.1920928955078125e-07,-21.25149154663086,-419442.048734,1656,16405492736.0,14.83,5749
0.0001,470000,283,-2608093.75,0.9976596832275391,0.0,-21.24915885925293,-441736.53423756006,1655,16099436544.0,16.1,5874
0.0001,480000,289,-2673389.0,0.9980103373527527,-2.384185791015625e-07,-21.25381088256836,-450297.80055921,1655,17647065088.0,16.38,5999
0.0001,490000,295,-2560113.75,0.9983513355255127,-1.1920928955078125e-07,-21.25973129272461,-485239.0902668499,1655,15096957952.0,17.78,6124
0.0001,500000,301,-2617085.5,0.998651921749115,-1.1920928955078125e-07,-21.263195037841797,-453536.8301755499,1655,17451042816.0,16.6,6249
0.0001,510000,308,-2541185.5,0.9985229969024658,-2.384185791015625e-07,-21.261348724365234,-420070.6235977001,1655,15653112832.0,15.09,6374
0.0001,520000,314,-2781473.75,0.999057412147522,0.0,-21.269481658935547,-453073.94188114,1655,18915057664.0,16.43,6499
0.0001,530000,320,-2656483.0,0.9990206956863403,-1.1920928955078125e-07,-21.26950454711914,-482417.1277349801,1655,16520370176.0,17.76,6624
0.0001,540000,326,-2134401.5,0.9990566968917847,0.0,-21.268753051757812,-392463.95964984,1655,11745324032.0,14.04,6749
0.0001,550000,332,-2431222.5,0.9993464946746826,0.0,-21.273696899414062,-440671.7823338801,1655,14957717504.0,15.84,6874
0.0001,560000,338,-2782050.0,0.9990123510360718,0.0,-21.267749786376953,-416615.0193736099,1655,21351628800.0,14.96,6999
0.0001,570000,344,-2613550.5,0.9995821118354797,0.0,-21.276918411254883,-431680.44344675,1655,17611939840.0,15.59,7124
0.0001,580000,350,-2468618.25,0.9996234774589539,0.0,-21.277904510498047,-357778.78850136994,1655,14788952064.0,12.53,7249
