train/std,train/policy_gradient_loss,time/fps,train/entropy_loss,train/loss,train/n_updates,rollout/ep_rew_mean,time/total_timesteps,train/approx_kl,rollout/ep_len_mean,train/value_loss,train/explained_variance,time/time_elapsed,train/clip_range,train/learning_rate,train/clip_fraction
1.0001596212387085,-0.0006335588395813829,906,-8.514066906273365,2345986048.0,10,-206194.51721631997,10000,0.0005185459,39.19,5354717299.8,-4.76837158203125e-07,11,0.2,0.0003,0.0
1.0001150369644165,-0.0008487635072015109,973,-8.51448276937008,2978901504.0,20,-207913.95434631,20000,0.00069156766,40.16,5814084449.2,0.0,20,0.2,0.0003,0.0
1.0001171827316284,-0.000858006951330026,1002,-8.514334287494421,2613046016.0,30,-252444.5022236,30000,0.000739773,48.95,5349778597.6,0.0,29,0.2,0.0003,0.0
1.0000507831573486,-0.0006891321011607942,1016,-8.514117161184549,2336415488.0,40,-231454.29834677003,40000,0.0004903831,42.37,5457306129.8,5.960464477539063e-08,39,0.2,0.0003,0.0
0.9996272921562195,-0.0008707962932021473,929,-8.5120959892869,2360967936.0,60,-214201.39032655998,50000,0.00071991625,45.31,5234429263.8,1.1920928955078125e-07,53,0.2,0.0003,0.0
0.9998759627342224,-0.0009416796405048444,949,-8.512131613492965,2402462720.0,70,-209747.97589288,60000,0.0008281893,41.01,5445286438.2,1.1920928955078125e-07,63,0.2,0.0003,0.0
0.999365508556366,-0.00034321363764320265,964,-8.511350593715907,2689019392.0,80,-205885.41474961996,70000,0.00020913256,41.63,5668126357.8,1.1920928955078125e-07,72,0.2,0.0003,0.0
0.999070942401886,-0.0006240001979222143,976,-8.508962065726518,3120777472.0,90,-211195.57300506003,80000,0.00052221323,45.72,5335319687.4,0.0,81,0.2,0.0003,0.0
0.9988062977790833,-0.00022764595105400075,986,-8.507285161316394,2729187840.0,100,-194643.44947605004,90000,0.00015158845,37.96,5023237175.8,0.0,91,0.2,0.0003,0.0
0.9988676905632019,-0.0006314472728263353,947,-8.507080459594727,2329690880.0,120,-201970.37444119004,100000,0.0004915175,41.65,5532361198.8,-1.1920928955078125e-07,105,0.2,0.0003,0.0
0.9988558888435364,-0.0007138219207718066,957,-8.506781289726495,2217189632.0,130,-189698.69301703002,110000,0.0006774779,39.1,4934456127.8,5.960464477539063e-08,114,0.2,0.0003,0.0
0.9987549781799316,-0.000831048323016148,965,-8.50645736604929,2931862016.0,140,-206166.47154995002,120000,0.00069237576,41.26,5429943163.0,0.0,124,0.2,0.0003,0.0
0.9984757304191589,-0.00031049794670252596,972,-8.505271744728088,2426161152.0,150,-193679.5119951,130000,0.00019243313,37.81,5399337002.4,0.0,133,0.2,0.0003,0.0
0.9975735545158386,-0.0004040251278638607,937,-8.50116772800684,2420953088.0,170,-181375.99327739998,140000,0.00035990108,36.79,4902076321.0,0.0,149,0.2,0.0003,0.0
0.9972519874572754,-0.00042708688642960623,939,-8.498036906868219,2762280960.0,180,-208350.24973691002,150000,0.00033495468,44.25,5410269127.2,-1.1920928955078125e-07,159,0.2,0.0003,0.0
0.9968213438987732,-0.0003386059670447139,940,-8.495738571882248,2601434368.0,190,-178072.20469113998,160000,0.00019089019,37.43,5365460988.4,-2.384185791015625e-07,170,0.2,0.0003,0.0
0.9966554641723633,-0.0008003621828720497,942,-8.49390896037221,2350808064.0,200,-193596.15813529002,170000,0.00077120145,40.0,4880934526.2,0.0,180,0.2,0.0003,0.0
0.9965939521789551,-0.0005527854362298967,943,-8.493258541822433,3070508544.0,210,-194719.11368013,180000,0.00049023324,40.41,5319198640.0,1.7881393432617188e-07,190,0.2,0.0003,0.0
0.9962973594665527,-0.0001975485831280821,922,-8.491648253798484,2275187200.0,230,-209440.03155048002,190000,0.00010624553,42.14,5008938893.2,0.0,205,0.2,0.0003,0.0
0.9962180256843567,-0.00029757385264019833,927,-8.491082822531462,3038372352.0,240,-199036.17026150998,200000,0.00022661488,40.2,5392733597.6,0.0,215,0.2,0.0003,0.0
0.9959033131599426,-0.00023467206847271882,932,-8.489852660149335,2550388736.0,250,-205415.15290080008,210000,0.00020283044,37.99,5012319829.4,0.0,225,0.2,0.0003,0.0
0.9956547617912292,-0.00043854722316609694,937,-8.488133681565524,3065100800.0,260,-184226.37764038998,220000,0.00030536333,38.26,5356141649.6,0.0,234,0.2,0.0003,0.0
0.9950900077819824,-0.0008326475524881971,922,-8.484134821593761,2682660864.0,280,-213838.5269811,230000,0.00074828474,46.4,5017334929.6,0.0,249,0.2,0.0003,0.0
0.9948849081993103,-0.00033092458652390634,926,-8.483371283113957,2452948480.0,290,-186317.80905101998,240000,0.00029663465,38.91,4992389875.2,5.960464477539063e-08,259,0.2,0.0003,0.0
0.9948009848594666,-0.0009491528762737289,930,-8.482456310838462,2661515776.0,300,-185985.93218812995,250000,0.0008046504,36.86,5304194549.8,0.0,268,0.2,0.0003,0.0
0.9953214526176453,-0.0008050397586885083,934,-8.483762384206056,2595094016.0,310,-187606.02194803004,260000,0.00075148913,36.84,5198988293.4,-1.1920928955078125e-07,278,0.2,0.0003,0.0
0.9948573708534241,-0.0012392361390993756,937,-8.483952064067125,2543283968.0,320,-157658.34513657997,270000,0.001189729,29.81,5122899693.6,0.0,287,0.2,0.0003,2.44140625e-05
0.9946801662445068,-0.0006290683282713872,925,-8.482246986031532,2933851904.0,340,-172908.29380898998,280000,0.00058041,32.87,5068426479.6,0.0,302,0.2,0.0003,0.0
0.9948654770851135,-0.00039818728591853867,928,-8.482008416205645,2078147968.0,350,-180808.08263668002,290000,0.00040936453,34.92,4841423523.0,0.0,312,0.2,0.0003,0.0
0.9949032664299011,-0.0002994139972543053,932,-8.482735183835029,2603709440.0,360,-177423.67770176005,300000,0.00020898759,36.58,5104070073.4,0.0,321,0.2,0.0003,0.0
0.994793176651001,-0.001036649449088145,934,-8.482510168850421,2667715840.0,370,-170346.29601867002,310000,0.0010048412,35.87,5281754491.2,0.0,331,0.2,0.0003,0.0
0.9940016865730286,-0.001028102496638894,924,-8.477727642655372,2293372416.0,390,-167034.8107482,320000,0.0010828989,35.81,4886190456.6,0.0,346,0.2,0.0003,1.220703125e-05
0.9935912489891052,-0.001778501909575425,926,-8.476176579296588,2563920896.0,400,-180829.22732304,330000,0.0018472499,36.4,5293048325.0,0.0,355,0.2,0.0003,7.32421875e-05
0.993046224117279,-0.0009582216703165614,929,-8.473222459107637,2856674816.0,410,-141629.40274639,340000,0.00094938854,34.38,5073438069.8,0.0,365,0.2,0.0003,0.0
0.9930722713470459,-0.0006118252495070919,932,-8.471656916290522,2563485440.0,420,-180851.90941722,350000,0.000607473,37.23,5052211133.6,5.960464477539063e-08,375,0.2,0.0003,0.0
0.9927210211753845,-0.0012786138991941697,934,-8.470743945240974,2996874240.0,430,-163184.35275018,360000,0.0014316972,31.43,4990756857.4,0.0,385,0.2,0.0003,1.220703125e-05
0.9922899603843689,-0.0013302809583365161,925,-8.467782492190599,2004523904.0,450,-145935.69979446998,370000,0.0016014236,33.89,4794718821.6,0.0,399,0.2,0.0003,4.8828125e-05
0.9923744797706604,-0.00025575872186891504,927,-8.467301546782256,2238099712.0,460,-150908.58952352,380000,0.00025790994,33.48,4677303892.4,0.0,409,0.2,0.0003,0.0
0.9923588633537292,-0.00040262275688291994,930,-8.467388309538364,2133775616.0,470,-166510.49231433,390000,0.0004214871,33.58,4769280609.8,-1.1920928955078125e-07,419,0.2,0.0003,0.0
0.9918925166130066,-0.0010460360059369122,932,-8.465961001068354,2488009216.0,480,-160934.14407109,400000,0.001114494,34.41,5015505694.4,0.0,428,0.2,0.0003,0.0
0.9912733435630798,-0.0006209035273059271,923,-8.461769894510507,2225515776.0,500,-164863.2611008,410000,0.0006310884,35.93,4735328819.0,5.960464477539063e-08,443,0.2,0.0003,0.0
