train/n_updates,rollout/ep_rew_mean,time/episodes,train/ent_coef_loss,rollout/ep_len_mean,train/ent_coef,time/fps,time/time_elapsed,train/learning_rate,train/critic_loss,time/total_timesteps,train/actor_loss
2474,-859377.1011476199,179,-74.62533569335938,25.16,2.5932352542877197,173,57,0.001,288938816.0,10000,403.1711730957031
4974,-164825.04083368,747,-136.66661071777344,6.47,6.211573123931885,175,114,0.001,102438272.0,20000,6300.8837890625
7474,-315561.32569159,1468,-160.45462036132812,20.48,13.891913414001465,176,170,0.001,124353728.0,30000,22848.73046875
9974,-313907.55213715,2069,-166.58274841308594,16.98,27.511066436767578,176,226,0.001,152780752.0,40000,31428.234375
12474,-194422.00789814992,2705,-100.30412292480469,10.36,49.58623123168945,176,283,0.001,78240432.0,50000,45706.54296875
14974,-309832.2967034599,3147,-82.51043701171875,18.54,77.12651062011719,176,339,0.001,82877016.0,60000,55344.71484375
17474,-147698.13955976002,4515,-40.1737060546875,5.92,110.59422302246094,176,396,0.001,62279968.0,70000,84372.953125
19974,-118788.66284958,7536,-13.887688636779785,3.01,134.1271209716797,176,453,0.001,42829736.0,80000,87159.140625
22474,-179779.71324068,10249,-2.5358898639678955,10.38,134.4073486328125,176,510,0.001,31875312.0,90000,94246.15625
24974,-125760.13171609,13243,11.007251739501953,4.33,113.81233978271484,176,567,0.001,67817424.0,100000,104756.171875
27474,-118314.90353835998,16299,10.192400932312012,3.0,93.8438949584961,176,623,0.001,36405528.0,110000,100557.390625
29974,-77658.97250752,18103,-1.1915022134780884,10.57,75.6273193359375,176,680,0.001,52414612.0,120000,86470.375
32474,-21779.229990870004,18794,-0.9680653214454651,14.07,88.89431762695312,175,738,0.001,41137112.0,130000,73027.5078125
34974,-29531.1742255,19542,-2.996368408203125,15.08,93.83373260498047,175,797,0.001,42858696.0,140000,78977.546875
37474,-1635.99177517,20322,1.7872127294540405,12.34,92.87786102294922,175,855,0.001,34597544.0,150000,56985.91796875
39974,-307.86011991,21139,-0.7093664407730103,12.26,93.99131774902344,174,914,0.001,34546876.0,160000,56962.1640625
42474,1409.0,21964,1.4099304676055908,12.1,94.79523468017578,174,973,0.001,24206296.0,170000,47775.92578125
44974,2433.1661185599996,22797,-1.6423547267913818,12.0,93.95094299316406,174,1032,0.001,27020908.0,180000,39625.3671875
47474,-1973.89061751,23628,4.678972244262695,11.59,101.39495086669922,174,1091,0.001,25440148.0,190000,32240.25390625
49974,3039.6600475299997,24457,0.18210291862487793,11.91,92.7171401977539,173,1151,0.001,21728804.0,200000,29198.62890625
52474,2334.45916787,25290,-0.686360239982605,12.0,87.16251373291016,173,1210,0.001,19543340.0,210000,23586.51953125
54974,1927.28919091,26121,-1.835510015487671,12.04,84.94509887695312,173,1269,0.001,19976788.0,220000,19661.12890625
