time/fps,train/entropy_loss,train/n_updates,time/time_elapsed,train/explained_variance,time/total_timesteps,train/value_loss,rollout/ep_rew_mean,train/std,rollout/ep_len_mean,train/policy_loss,train/learning_rate
2329,-12.721485137939453,2999,103,0.0,240000,1075698048.0,-178014.13026955002,0.9945203065872192,32.12,-235654.671875,0.0001
2321,-12.712409019470215,3124,107,0.0,250000,2708474624.0,-177558.23526684,0.9936189651489258,29.57,-507895.4375,0.0001
2310,-12.708940505981445,3249,112,1.7881393432617188e-07,260000,977533440.0,-181051.38559269998,0.9932148456573486,31.48,-304861.5625,0.0001
2294,-12.705394744873047,3374,117,0.0,270000,1637960192.0,-180740.11429282,0.9928624629974365,31.1,-406188.5625,0.0001
2285,-12.701831817626953,3499,122,0.0,280000,1632784768.0,-167762.85484182,0.9923970699310303,29.46,-217482.828125,0.0001
2271,-12.700361251831055,3624,127,0.0,290000,1726019968.0,-172088.03117980997,0.9922605156898499,29.7,-395242.90625,0.0001
2257,-12.694416046142578,3749,132,0.0,300000,1202970112.0,-173708.87371976997,0.9915910363197327,30.58,-359047.15625,0.0001
2248,-12.694670677185059,3874,137,0.0,310000,1640773376.0,-148239.37923999,0.9916354417800903,28.0,-140647.546875,0.0001
2239,-12.696361541748047,3999,142,1.1920928955078125e-07,320000,2472646144.0,-159024.69597946,0.9918515682220459,30.24,-478057.90625,0.0001
2237,-12.692363739013672,4124,147,-1.1920928955078125e-07,330000,1379386112.0,-140222.11209359998,0.9914017915725708,28.43,-325022.6875,0.0001
2234,-12.68894100189209,4249,152,0.0,340000,2256172288.0,-157756.83618882,0.9910094141960144,30.75,-213189.453125,0.0001
2231,-12.684551239013672,4374,156,0.0,350000,1377878528.0,-146263.35764942,0.990588903427124,29.16,-311555.84375,0.0001
2226,-12.678862571716309,4499,161,0.0,360000,1458450432.0,-158545.13611131997,0.989964485168457,31.27,-363367.0,0.0001
2223,-12.675415992736816,4624,166,-1.1920928955078125e-07,370000,2989276928.0,-147105.52919576998,0.98957759141922,29.84,-583894.4375,0.0001
2221,-12.674705505371094,4749,171,0.0,380000,959674240.0,-152539.18525228,0.9894152879714966,30.39,-248943.5,0.0001
2217,-12.674108505249023,4874,175,0.0,390000,1267156608.0,-148792.45990358,0.9893873929977417,28.23,-334693.1875,0.0001
2213,-12.666075706481934,4999,180,0.0,400000,3070232576.0,-134532.78715632003,0.9885161519050598,28.87,-625680.875,0.0001
2210,-12.666936874389648,5124,185,0.0,410000,1650105472.0,-141476.80368907002,0.9886680245399475,24.57,-239229.28125,0.0001
2205,-12.659380912780762,5249,190,0.0,420000,3642417152.0,-144046.28565109998,0.9877835512161255,25.58,-654183.4375,0.0001
2193,-12.655010223388672,5374,196,-1.1920928955078125e-07,430000,2497588224.0,-140601.99055076,0.9873319268226624,25.65,-442703.8125,0.0001
2189,-12.649018287658691,5499,200,1.1920928955078125e-07,440000,2931310080.0,-145830.75629431,0.9866955876350403,28.98,-527864.25,0.0001
2182,-12.645245552062988,5624,206,0.0,450000,1592479232.0,-119073.81573293,0.9861685633659363,27.6,115261.4375,0.0001
2178,-12.639848709106445,5749,211,1.1920928955078125e-07,460000,1349329664.0,-133521.91516275,0.985625147819519,27.89,63955.9609375,0.0001
2176,-12.63676643371582,5874,215,0.0,470000,1892247808.0,-147066.19520654998,0.9853522181510925,29.12,-381398.1875,0.0001
2172,-12.634544372558594,5999,220,0.0,480000,2243555072.0,-133486.36297678,0.9850542545318604,31.95,-374342.09375,0.0001
2169,-12.635644912719727,6124,225,0.0,490000,1066094784.0,-137396.28852395,0.9851552248001099,31.71,-192820.046875,0.0001
