train/clip_fraction,train/value_loss,train/policy_gradient_loss,rollout/ep_rew_mean,time/total_timesteps,train/std,train/entropy_loss,train/explained_variance,rollout/ep_len_mean,time/time_elapsed,train/approx_kl,time/fps,train/n_updates,train/learning_rate,train/loss,train/clip_range
0.0381103515625,42864007920.0,-0.007162949873236357,-404474.81095091,10000,1.0026612281799316,-21.30463641285896,5.960464477539063e-08,14.58,9,0.006926977,1028,10,0.0017,18486910976.0,0.2
0.02166748046875,42882512075.2,-0.005123135615940555,-344594.55250146,20000,1.005395770072937,-21.34513265788555,0.0,12.32,19,0.005363929,1029,20,0.0017,19978878976.0,0.2
0.04432373046875,40814108681.6,-0.008268001760916377,-348724.55786496,30000,1.008792519569397,-21.390934148430823,5.960464477539063e-08,12.72,29,0.007427388,1032,30,0.0017,23300077568.0,0.2
0.0359130859375,38584125849.6,-0.007054635163149215,-363655.69717046997,40000,1.0116668939590454,-21.437725384533405,-1.1920928955078125e-07,12.96,38,0.006748504,1034,40,0.0017,18898122752.0,0.2
0.03145751953125,36338992604.8,-0.006346503995155217,-313144.12874943996,50000,1.0178250074386597,-21.526567108929157,-1.1920928955078125e-07,11.18,52,0.0064038867,957,60,0.0017,20731146240.0,0.2
0.01881103515625,35788854076.8,-0.00505837177279318,-324564.41524001997,60000,1.0208544731140137,-21.57195352613926,0.0,11.19,61,0.00535982,967,70,0.0017,17562654720.0,0.2
0.0293212890625,34844853001.6,-0.00583550698684121,-262577.3401018,70000,1.0236529111862183,-21.614705838263035,0.0,9.15,71,0.006080062,974,80,0.0017,21611610112.0,0.2
0.0275146484375,31774324616.0,-0.005435953465530474,-248521.61272458,80000,1.0265859365463257,-21.6565559476614,0.0,8.44,81,0.0060853357,978,90,0.0017,15637253120.0,0.2
0.04102783203125,30911492020.8,-0.007174252552977123,-251561.96666339,90000,1.029442548751831,-21.699098882079124,1.7881393432617188e-07,8.5,91,0.0070264116,984,100,0.0017,12696591360.0,0.2
0.01944580078125,32981213798.4,-0.004787324711105612,-234169.12170634003,100000,1.0364964008331299,-21.796858221292496,5.960464477539063e-08,7.81,104,0.00544679,953,120,0.0017,17458565120.0,0.2
