train/actor_loss,time/fps,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,train/n_updates,time/episodes,train/ent_coef_loss
311255.625,160,10000,0.0003,-3824853.997667438,1.6996524333953857,62,126.54385964912281,7641.81396484375,2474,57,-14.23359489440918
697755.625,158,20000,0.0003,-8571208.409123555,3.5359466075897217,126,242.41666666666666,8284.408203125,4974,72,-20.329118728637695
982328.6875,157,30000,0.0003,-9970351.02906179,6.803398609161377,190,273.14,6838.4443359375,7474,117,-21.16619110107422
1184939.5,157,40000,0.0003,-10710519.79863207,13.412189483642578,254,288.79,7631.5791015625,9974,159,-35.7792854309082
1287434.875,156,50000,0.0003,-7788970.82063383,26.60523796081543,318,212.38,13303.345703125,12474,212,-27.99774932861328
1441826.125,156,60000,0.0003,-5059683.9867818,47.3405876159668,382,146.93,19906.298828125,14974,282,-27.685443878173828
1484071.875,156,70000,0.0003,-4623490.02901724,68.64315795898438,446,153.48,14743.0732421875,17474,319,-2.0475268363952637
1626535.75,156,80000,0.0003,-1763250.2949021098,91.13109588623047,511,61.42,16295.6171875,19974,447,-1.3691247701644897
1646997.75,156,90000,0.0003,-1562798.8674830198,137.11306762695312,575,59.88,18447.193359375,22474,644,1.2645783424377441
1691060.625,156,100000,0.0003,-3293204.2958930703,167.27590942382812,639,103.73,15640.6884765625,24974,746,-1.7927359342575073
1683398.25,156,110000,0.0003,-3491023.9328639503,197.7501678466797,704,99.92,15676.806640625,27474,790,-2.3913016319274902
1668432.125,156,120000,0.0003,-7338581.602039712,185.84182739257812,768,199.85,13503.3662109375,29974,807,-2.6252055168151855
1736467.625,156,130000,0.0003,-10302602.674711438,138.27975463867188,832,287.96,22897.78125,32474,826,0.8471287488937378
1721795.125,156,140000,0.0003,-13548699.329661427,110.94397735595703,897,393.05,11914.6484375,34974,845,3.108952760696411
1810363.0,155,150000,0.0003,-7332193.2762334,108.03080749511719,961,263.49,10338.2548828125,37474,912,3.11961030960083
1771165.0,155,160000,0.0003,-1841553.2776061597,101.853515625,1026,87.6,18439.505859375,39974,1020,1.7663036584854126
1760218.5,155,170000,0.0003,-2245841.29679901,100.87432098388672,1090,111.49,16306.6611328125,42474,1086,-2.097083568572998
1760814.625,155,180000,0.0003,-1089097.72100041,102.54972076416016,1155,61.02,13494.7822265625,44974,1233,0.5935691595077515
1755955.625,155,190000,0.0003,-2602640.56065626,104.31574249267578,1219,140.07,15888.65234375,47474,1246,3.3569610118865967
1775539.75,155,200000,0.0003,-4722650.806148211,107.55187225341797,1284,228.39,13571.1513671875,49974,1291,0.24110537767410278
1756724.125,155,210000,0.0003,-5671131.149431211,121.27161407470703,1348,297.07,12817.13671875,52474,1313,-0.9130053520202637
1705765.125,155,220000,0.0003,-6964151.088386301,130.49856567382812,1413,391.16,13129.017578125,54974,1323,-1.9473209381103516
1665610.125,155,230000,0.0003,-9008659.466611741,113.79660034179688,1478,486.72,14451.470703125,57474,1333,1.7186739444732666
1623346.0,155,240000,0.0003,-4459085.44195939,117.45901489257812,1543,310.47,26692.013671875,59974,1414,-3.724456787109375
1515713.875,155,250000,0.0003,-286359.19777939,136.8884735107422,1608,57.82,10538.11328125,62474,1570,-6.878891468048096
1488258.75,155,260000,0.0003,-222896.46474203002,148.98756408691406,1673,56.41,11415.453125,64974,1726,-2.710069179534912
1382284.625,155,270000,0.0003,-205058.62350265996,147.9921112060547,1738,53.65,13332.181640625,67474,1892,-1.7505168914794922
1243368.125,155,280000,0.0003,-238402.88149231003,144.63897705078125,1804,95.31,15554.1669921875,69974,1970,-0.9206452369689941
1120921.0,155,290000,0.0003,-383467.48894732987,140.5205841064453,1869,178.3,7812.64697265625,72474,2017,2.989518642425537
1081024.625,155,300000,0.0003,-280636.28506652,135.69406127929688,1934,112.15,12126.91015625,74974,2105,4.244026184082031
1007508.0,154,310000,0.0003,-275634.13616822,128.2851104736328,2000,143.53,7014.6015625,77474,2172,1.268334984779358
939404.375,154,320000,0.0003,-115271.50366741,122.24840545654297,2066,32.08,9737.9228515625,79974,2313,2.5487444400787354
845849.9375,154,330000,0.0003,-127459.97329749,118.9822769165039,2132,68.92,8077.62158203125,82474,2467,-2.365727424621582
783407.6875,154,340000,0.0003,-141066.31793879,114.5219497680664,2198,130.15,8413.5283203125,84974,2533,-0.9636740684509277
719173.75,154,350000,0.0003,-181913.97613825998,109.84161376953125,2263,186.75,6654.83056640625,87474,2573,3.256415367126465
693317.75,154,360000,0.0003,-173472.63626719997,106.88855743408203,2329,111.69,7507.83544921875,89974,2673,2.2268457412719727
604282.25,154,370000,0.0003,-156545.87459412,102.86585235595703,2395,45.09,6494.82421875,92474,2885,0.9427562952041626
601280.4375,154,380000,0.0003,-161335.24198060998,98.01641845703125,2461,105.37,7668.9052734375,94974,2975,-3.071584701538086
538523.25,154,390000,0.0003,-140255.69273065001,93.34061431884766,2527,38.7,5827.76904296875,97474,3303,2.293680191040039
528784.375,154,400000,0.0003,-134390.33391060997,90.93563079833984,2594,33.23,5961.9453125,99974,3573,-1.905720591545105
484653.0625,154,410000,0.0003,-112880.12434499999,88.23408508300781,2660,24.07,5648.08349609375,102474,3887,-3.848569869995117
444668.46875,154,420000,0.0003,-140560.12344071,85.99896240234375,2726,26.49,5969.37890625,104974,4296,-2.1033382415771484
397267.21875,153,430000,0.0003,-215052.54824593998,80.85386657714844,2792,64.68,4860.43359375,107474,4541,2.4427270889282227
358481.375,153,440000,0.0003,-98758.62179494002,76.00205993652344,2858,90.81,4410.22412109375,109974,4664,2.9927210807800293
362387.28125,153,450000,0.0003,-103996.91727733999,75.55947875976562,2924,66.77,4867.47216796875,112474,4812,0.31051695346832275
328348.375,153,460000,0.0003,-102759.04948576,73.60635375976562,2990,57.27,5876.875,114974,5016,-2.779731273651123
291949.71875,153,470000,0.0003,-103748.77224366,71.82584381103516,3056,79.69,4452.57568359375,117474,5152,4.931500434875488
301562.125,153,480000,0.0003,-108422.5024443,69.52442932128906,3122,180.5,5187.27685546875,119974,5182,0.22798597812652588
300323.15625,153,490000,0.0003,-109779.80222168002,66.85436248779297,3188,254.32,4683.9560546875,122474,5205,-6.632291793823242
260506.25,153,500000,0.0003,-102607.70572452,64.60822296142578,3255,292.72,4461.01123046875,124974,5261,-3.2485709190368652
218095.0625,153,510000,0.0003,-90553.12949121,61.47569274902344,3321,48.95,3984.091796875,127474,5404,5.203892230987549
202867.34375,153,520000,0.0003,-96137.36276279,60.268280029296875,3387,26.94,3752.30517578125,129974,5913,4.693391799926758
217396.1875,153,530000,0.0003,-96028.29737482,56.431400299072266,3453,13.58,3693.11181640625,132474,6312,-4.563326835632324
211095.65625,153,540000,0.0003,-93591.63031691001,52.07514190673828,3519,52.85,3597.572265625,134974,6684,-4.895988464355469
181805.1875,153,550000,0.0003,-88522.61905213,51.04678726196289,3585,145.12,3525.375732421875,137474,6696,-2.105158567428589
145542.21875,153,560000,0.0003,-85359.38667914999,49.71299743652344,3651,243.47,3050.908935546875,139974,6706,3.0715410709381104
151706.15625,153,570000,0.0003,-85546.46923054999,48.57761001586914,3716,342.42,2953.94677734375,142474,6716,5.562615871429443
135301.03125,153,580000,0.0003,-92763.87286976,47.82417678833008,3782,438.79,3458.2958984375,144974,6729,1.8611092567443848
153614.46875,153,590000,0.0003,-105878.98416908999,47.89872360229492,3849,446.51,3753.62744140625,147474,6790,-0.5973391532897949
161076.828125,153,600000,0.0003,-199937.10378181998,47.24531936645508,3914,101.1,3802.6875,149974,6874,2.9662368297576904
128728.28125,153,610000,0.0003,-288282.21158043,44.6559944152832,3980,94.0,3671.4443359375,152474,6995,1.3832932710647583
122556.2421875,153,620000,0.0003,-93615.99098012,41.646766662597656,4046,70.04,3505.90087890625,154974,7137,5.5910444259643555
115394.2578125,153,630000,0.0003,-91522.60686814,44.48929214477539,4112,156.64,3366.108642578125,157474,7148,-0.5486236214637756
136654.40625,153,640000,0.0003,-94469.62067877,46.45676803588867,4178,264.35,3352.1875,159974,7159,-2.516775608062744
104209.3203125,153,650000,0.0003,-94442.10739792,47.81169128417969,4244,351.78,3371.2626953125,162474,7168,-2.0948872566223145
90388.90625,153,660000,0.0003,-92188.50281271,45.798099517822266,4310,454.27,4069.78125,164974,7180,1.946606159210205
117907.0,153,670000,0.0003,-120159.46287362,44.403011322021484,4376,552.25,4458.78759765625,167474,7190,-1.561038851737976
96413.3515625,153,680000,0.0003,-127991.60112969,42.709320068359375,4441,649.69,4673.556640625,169974,7200,-0.8980042934417725
113212.03125,153,690000,0.0003,-129916.41174224002,43.41670227050781,4507,746.58,4340.73486328125,172474,7215,3.012765645980835
96993.7890625,153,700000,0.0003,-132134.48477773,40.996578216552734,4573,576.36,4188.79296875,174974,7262,-1.9676933288574219
89534.15625,153,710000,0.0003,-127663.38768441002,38.20985794067383,4639,449.88,4457.05029296875,177474,7286,-1.6993646621704102
111824.078125,153,720000,0.0003,-97548.44225266002,41.654640197753906,4705,297.28,4246.25830078125,179974,7311,-2.9388914108276367
92791.5390625,153,730000,0.0003,-101375.90271595998,41.3520393371582,4771,353.93,4416.14453125,182474,7329,0.33472171425819397
90095.7734375,152,740000,0.0003,-105063.55887711003,40.289772033691406,4837,422.15,4366.267578125,184974,7338,-0.4805126190185547
90314.6953125,152,750000,0.0003,-109656.17427600996,40.07223129272461,4903,511.38,4029.5791015625,187474,7349,-1.8679718971252441
70799.328125,152,760000,0.0003,-114730.38206391002,37.82268524169922,4969,588.17,4130.6953125,189974,7370,-1.4599260091781616
82537.875,152,770000,0.0003,-92482.65199032999,34.70845413208008,5035,37.91,3817.46826171875,192474,7602,-1.0473754405975342
70312.8671875,152,780000,0.0003,-92869.31617661999,34.24810028076172,5101,58.57,3787.9794921875,194974,7802,-3.7469544410705566
62576.94921875,152,790000,0.0003,-91163.77558512997,34.41054153442383,5167,78.61,4107.84130859375,197474,7930,3.6688928604125977
65605.015625,152,800000,0.0003,-93819.33147939,33.46217727661133,5233,119.35,3753.12353515625,199974,7993,-1.6447139978408813
64480.3203125,152,810000,0.0003,-99406.96238971001,32.34117889404297,5299,194.9,3568.89892578125,202474,8025,0.6533950567245483
64004.0859375,152,820000,0.0003,-103663.14851246998,31.723257064819336,5365,274.1,3710.55908203125,204974,8037,-0.2549097239971161
44177.52734375,152,830000,0.0003,-110149.17370878001,31.219099044799805,5431,361.18,2921.6484375,207474,8050,2.358649492263794
63656.71875,152,840000,0.0003,-116919.24464119002,30.306642532348633,5497,435.47,3039.25048828125,209974,8064,-0.047605931758880615
67536.7421875,152,850000,0.0003,-124962.53113165998,28.551353454589844,5562,506.72,3401.125244140625,212474,8085,-0.6413936018943787
60133.59375,152,860000,0.0003,-96421.84309045001,28.58478355407715,5628,117.69,3620.5234375,214974,8184,2.3825838565826416
75442.5078125,152,870000,0.0003,-93982.72122876001,27.816707611083984,5695,74.21,3486.14404296875,217474,8325,-1.9181183576583862
71263.1015625,152,880000,0.0003,-93116.13462585,27.44463539123535,5760,48.14,3440.074951171875,219974,8511,0.7107648849487305
59448.640625,152,890000,0.0003,-94648.16707180999,27.858482360839844,5826,109.34,3447.688720703125,222474,8555,2.443364143371582
74546.484375,152,900000,0.0003,-96552.33513559001,27.307498931884766,5892,198.84,4460.044921875,224974,8580,-1.7235194444656372
56811.0078125,152,910000,0.0003,-100162.85134051,27.26958656311035,5958,292.75,3458.183837890625,227474,8606,-0.43243587017059326
60489.19140625,152,920000,0.0003,-119532.32249363001,27.25773811340332,6024,301.79,3685.13525390625,229974,8659,2.7835559844970703
90719.0546875,152,930000,0.0003,-126930.87723778002,27.6226863861084,6089,209.99,3579.141357421875,232474,8698,-1.1028591394424438
73557.390625,152,940000,0.0003,-120835.42457503999,26.121854782104492,6155,291.44,3252.01318359375,234974,8710,0.28391456604003906
62868.0703125,152,950000,0.0003,-116213.08949441997,24.968616485595703,6220,362.58,3105.0810546875,237474,8719,2.261988639831543
58674.72265625,152,960000,0.0003,-112837.48746609999,24.61719512939453,6283,430.96,2904.0322265625,239974,8732,-0.06450572609901428
71809.0546875,152,970000,0.0003,-109596.95038371999,23.731456756591797,6345,500.57,3424.15869140625,242474,8742,-0.8575966954231262
53039.03515625,152,980000,0.0003,-111360.20185162,24.03965950012207,6406,588.5,2908.415771484375,244974,8766,3.311814308166504
51991.625,153,990000,0.0003,-99953.64929591001,24.27847671508789,6468,460.37,2763.651611328125,247474,8813,0.8485373258590698
49186.328125,153,1000000,0.0003,-93898.20319133997,24.61741828918457,6528,197.3,2799.770751953125,249974,8867,5.350682735443115
