train/explained_variance,time/time_elapsed,train/learning_rate,train/std,rollout/ep_len_mean,train/policy_loss,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/value_loss
-1.1920928955078125e-07,107,0.0007,1.108852505683899,64.96,-56164.90625,7499,-9.090529441833496,-163811.02122808,150000,1392,98587816.0
0.0,114,0.0007,1.108430027961731,102.38,-33428.0546875,7999,-9.091235160827637,-243013.37081482005,160000,1392,44848052.0
0.0,121,0.0007,1.1267733573913574,73.95,-75309.15625,8499,-9.187978744506836,-197820.19418842,170000,1393,216920400.0
-1.1920928955078125e-07,129,0.0007,1.1352390050888062,54.28,9580.3818359375,8999,-9.233987808227539,-154790.60242905002,180000,1393,34122488.0
-2.384185791015625e-07,136,0.0007,1.1357064247131348,77.16,-66028.5234375,9499,-9.243673324584961,-181465.73307967995,190000,1392,123755288.0
-1.1920928955078125e-07,143,0.0007,1.144264817237854,144.09,-50149.7265625,9999,-9.281190872192383,-281432.04019429,200000,1393,85273808.0
0.0,150,0.0007,1.1589573621749878,68.77,-7064.35693359375,10499,-9.355307579040527,-172167.18724345,210000,1393,14960213.0
0.0,157,0.0007,1.1655505895614624,120.12,-41029.2578125,10999,-9.392477989196777,-256772.52245047997,220000,1394,83817056.0
1.7881393432617188e-07,165,0.0007,1.181203007698059,63.97,951.1759643554688,11499,-9.47167682647705,-145683.44486406,230000,1393,209613.84375
0.0,172,0.0007,1.2015703916549683,78.02,-55160.5625,11999,-9.570846557617188,-196172.48229557005,240000,1392,191447984.0
0.0,179,0.0007,1.2068936824798584,114.72,-470.60382080078125,12499,-9.597390174865723,-260285.59405593004,250000,1391,2709.429443359375
-1.1920928955078125e-07,186,0.0007,1.2063182592391968,64.06,2870.44189453125,12999,-9.598013877868652,-145664.62476674,260000,1390,482295.5625
0.0,194,0.0007,1.2215458154678345,109.73,-16224.060546875,13499,-9.664275169372559,-216299.63769928002,270000,1390,25479374.0
-1.1920928955078125e-07,201,0.0007,1.2400474548339844,205.43,-32796.38671875,13999,-9.749198913574219,-330060.83747272,280000,1390,31202644.0
0.0,208,0.0007,1.2543343305587769,275.02,-13223.974609375,14499,-9.803985595703125,-410838.12881831,290000,1391,15164515.0
0.0,215,0.0007,1.2661666870117188,213.33,-138199.4375,14999,-9.859312057495117,-306196.89026779006,300000,1391,860768640.0
0.0,222,0.0007,1.2938474416732788,108.24,-88395.8515625,15499,-9.986383438110352,-196156.08096882,310000,1390,389310240.0
1.1920928955078125e-07,230,0.0007,1.3084384202957153,31.49,-213300.15625,15999,-10.05147647857666,-108525.10554594999,320000,1389,1893721728.0
0.0,237,0.0007,1.336474895477295,47.43,-307351.125,16499,-10.180129051208496,-124883.35026905002,330000,1389,3226513920.0
0.0,244,0.0007,1.3516579866409302,41.65,-242198.375,16999,-10.232507705688477,-144127.63068010996,340000,1388,1966747264.0
0.0,252,0.0007,1.3520275354385376,108.51,-34956.0390625,17499,-10.225935935974121,-235962.13883753997,350000,1388,30450938.0
-1.1920928955078125e-07,259,0.0007,1.3698116540908813,49.17,-53233.1953125,17999,-10.287915229797363,-144452.88549601997,360000,1388,114352944.0
0.0,266,0.0007,1.3890138864517212,134.96,-114878.75,18499,-10.366218566894531,-228302.70507724996,370000,1388,307853312.0
0.0,273,0.0007,1.3852146863937378,171.45,19773.640625,18999,-10.349571228027344,-262434.51681292,380000,1387,14653392.0
0.0,281,0.0007,1.3892379999160767,147.9,-29723.978515625,19499,-10.35661506652832,-197686.34990862,390000,1387,24666556.0
