time/episodes,train/ent_coef,train/n_updates,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef_loss,time/total_timesteps,train/actor_loss,time/fps,train/critic_loss
100970,154.96932983398438,132474,0.0055,3.0,-130155.77952738997,2179,9.717832565307617,530000,160983.40625,243,1882212480.0
104300,102.64903259277344,134974,0.0055,3.0,-130361.55134477999,2224,-2.942385673522949,540000,121226.203125,242,445094912.0
107362,1912.767333984375,137474,0.0055,4.42,-195400.24313186,2268,-39.61088562011719,550000,510849.1875,242,20287567872.0
109234,7283.611328125,139974,0.0055,5.54,-200128.40636402997,2312,-26.4478759765625,560000,809354.0,242,23761377280.0
111731,16257.91015625,142474,0.0055,3.86,-149274.77049055,2356,52.561973571777344,570000,864526.8125,241,120301428736.0
114756,1389.425537109375,144974,0.0055,3.08,-132650.78374935,2400,-116.15230560302734,580000,522167.78125,241,42527154176.0
117353,277.9863586425781,147474,0.0055,3.0,-129926.05127151002,2444,42.87267303466797,590000,215087.953125,241,4359999488.0
120621,66.31837463378906,149974,0.0055,3.99,-149447.7111003,2489,2.7473926544189453,600000,249998.0625,241,920638208.0
123382,9860.6669921875,152474,0.0055,6.19,-260269.5528192,2533,-255.60121154785156,610000,1406034.0,240,56645341184.0
125785,2991.15283203125,154974,0.0055,3.07,-133956.4253907,2577,87.17982482910156,620000,304389.5,240,11009683456.0
128980,2388.93310546875,157474,0.0055,3.06,-133732.12687879,2622,71.752685546875,630000,285449.375,240,8520510464.0
132236,73.2747573852539,159974,0.0055,3.0,-125616.80608010001,2666,-17.876644134521484,640000,140683.40625,240,425234368.0
135569,47.01216506958008,162474,0.0055,3.0,-125529.90056249998,2710,4.097789764404297,650000,112575.8125,239,1943629056.0
138697,221.12579345703125,164974,0.0055,7.1,-217132.19583847997,2754,-69.93006134033203,660000,194187.84375,239,569573248.0
141208,1774.8353271484375,167474,0.0055,5.45,-215551.03163358002,2798,-127.40481567382812,670000,187816.984375,239,12549823488.0
143681,2370.032470703125,169974,0.0055,3.14,-132231.91579768,2842,126.53795623779297,680000,241634.125,239,3070330368.0
146948,67.2258529663086,172474,0.0055,3.0,-128560.67397608001,2886,19.7541446685791,690000,162917.34375,239,3020575744.0
150079,94.66483306884766,174974,0.0055,3.0,-129713.51696277002,2930,2.641859769821167,700000,137692.3125,238,2266717952.0
153410,118.8978271484375,177474,0.0055,3.0,-129359.83376974,2975,-115.07960510253906,710000,160079.75,238,2449143808.0
155372,42254.43359375,179974,0.0055,5.03,-188575.65979068,3018,81.17537689208984,720000,1801355.0,238,291808215040.0
158461,2338.625244140625,182474,0.0055,3.0,-132874.95281447,3062,96.7390365600586,730000,318799.0,238,7895158272.0
161794,173.9242401123047,184974,0.0055,3.0,-131646.06404166,3107,-84.5950927734375,740000,217673.0,238,1721195136.0
165091,147.28363037109375,187474,0.0055,3.0,-127240.59718746002,3151,23.508769989013672,750000,161070.3125,237,303226272.0
167563,1156.95947265625,189974,0.0055,3.45,-138458.14491694,3195,40.75647735595703,760000,214100.828125,237,1693400064.0
170873,40.574501037597656,192474,0.0055,3.0,-125699.15470430002,3239,22.000934600830078,770000,123599.4375,237,376797888.0
174206,43.25572967529297,194974,0.0055,3.0,-125156.61816228999,3284,-11.883877754211426,780000,121860.4453125,237,64833120.0
177517,40.9210205078125,197474,0.0055,3.0,-125579.76929801,3328,-9.404853820800781,790000,110945.9453125,237,73936192.0
180630,55.67543029785156,199974,0.0055,3.0,-124462.29479132997,3372,-7.699455738067627,800000,114034.203125,237,19479316.0
182798,2614.170166015625,202474,0.0055,3.95,-166702.27705882,3416,-141.29476928710938,810000,587716.9375,237,26053251072.0
185487,14944.9716796875,204974,0.0055,5.39,-177958.56399127998,3460,94.7611083984375,820000,760051.375,236,86313213952.0
188366,905.4495849609375,207474,0.0055,3.03,-135344.85715218,3504,112.68384552001953,830000,199017.0625,236,1774913792.0
191667,96.79954528808594,209974,0.0055,3.0,-131130.00139285,3549,9.778974533081055,840000,151420.53125,236,999430464.0
194945,36.35614776611328,212474,0.0055,3.0,-126197.42184903001,3593,2.908923387527466,850000,118989.4375,236,120650856.0
198279,48.49215316772461,214974,0.0055,3.0,-124858.50236272,3637,-2.0221712589263916,860000,109259.65625,236,30128116.0
201543,160.56710815429688,217474,0.0055,3.0,-127679.74991017999,3681,4.970857620239258,870000,114072.0,236,106116944.0
204007,620.4498291015625,219974,0.0055,3.02,-128898.98392931999,3725,26.89487075805664,880000,283022.5,236,5525035008.0
206015,7307.24609375,222474,0.0055,6.17,-242114.88531999,3769,-52.890350341796875,890000,821728.5625,236,39785869312.0
208618,6262.0673828125,224974,0.0055,3.0,-131554.15505904998,3813,134.47866821289062,900000,487001.875,235,11935439872.0
211943,246.20172119140625,227474,0.0055,3.0,-130899.90498502999,3857,4.322447299957275,910000,188523.390625,235,831403328.0
215105,271.6376037597656,229974,0.0055,3.0,-130257.10601465998,3902,42.187705993652344,920000,149849.328125,235,457660160.0
217875,1561.2974853515625,232474,0.0055,3.04,-130434.78762174999,3946,46.77040100097656,930000,163415.9375,235,405308096.0
220355,4750.93603515625,234974,0.0055,21.33,-904799.94057651,3990,-476.88201904296875,940000,943791.4375,235,108271689728.0
222135,69694.15625,237474,0.0055,4.95,-170823.57055456002,4034,-63.30287170410156,950000,3344828.0,235,726996942848.0
224795,3623.93017578125,239974,0.0055,3.15,-134101.923897,4078,112.27510833740234,960000,512085.09375,235,28243140608.0
228056,166.30697631835938,242474,0.0055,3.03,-132182.68786491,4122,34.26463317871094,970000,317214.90625,235,5343837184.0
231372,186.00949096679688,244974,0.0055,3.01,-130968.706995,4167,-28.141618728637695,980000,186319.9375,235,3727808256.0
234703,166.148681640625,247474,0.0055,3.0,-128112.72284553999,4211,11.040820121765137,990000,113417.1171875,235,94627248.0
238035,71.67106628417969,249974,0.0055,3.0,-126072.21021103,4255,1.2142393589019775,1000000,112988.71875,234,11016694.0
