train/n_updates,rollout/ep_len_mean,train/policy_objective,train/learning_rate,rollout/ep_rew_mean,time/fps,train/explained_variance,train/is_line_search_success,train/std,time/time_elapsed,train/kl_divergence_loss,train/value_loss,time/total_timesteps
67,3.03,0.013472123071551323,0.0013,-118591.18432805002,1421,0.0,1.0,0.7258328795433044,386,0.0062400964088737965,9961468968.0,550000
68,3.01,0.0010127462446689606,0.0013,-118201.62369886997,1421,0.0,1.0,0.7259342074394226,393,0.0009222061489708722,9994392396.8,560000
69,3.01,0.028223080560564995,0.0013,-118171.77771737,1421,0.0,1.0,0.7208860516548157,401,0.009211785160005093,9951161411.2,570000
70,3.04,0.027823328971862793,0.0013,-118450.2239549,1421,0.0,1.0,0.7207210063934326,408,0.005779162514954805,9993707571.2,580000
72,3.07,0.0296332947909832,0.0013,-119037.66232125998,1416,0.0,1.0,0.7186653017997742,416,0.008433260023593903,15238338404.8,590000
73,3.01,0.03819183632731438,0.0013,-118209.99016432,1417,2.384185791015625e-07,1.0,0.7163114547729492,423,0.007346827536821365,10013514635.2,600000
74,3.05,0.012620597146451473,0.0013,-118556.35075245,1417,0.0,1.0,0.7125055193901062,430,0.0092807961627841,9928686779.2,610000
75,3.03,0.02143068239092827,0.0013,-118507.04543947,1417,1.7881393432617188e-07,1.0,0.7115160822868347,437,0.004539355169981718,9953613718.4,620000
76,3.03,0.019760120660066605,0.0013,-118377.13245475998,1417,0.0,1.0,0.7104034423828125,444,0.0060272677801549435,9889052670.4,630000
78,3.0,0.026759857311844826,0.0013,-118110.38566499,1413,0.0,1.0,0.7093501687049866,452,0.0063622258603572845,9867116315.2,640000
79,3.0,0.022487685084342957,0.0013,-118114.94301293,1414,0.0,1.0,0.7059387564659119,459,0.0077253300696611404,9838118475.2,650000
80,3.0,0.02604329027235508,0.0013,-118116.26689652001,1414,0.0,1.0,0.7049532532691956,466,0.006958915386348963,9833349940.8,660000
81,3.01,0.021129228174686432,0.0013,-118174.55145516999,1415,0.0,1.0,0.7028663158416748,473,0.007509180810302496,9811392028.8,670000
83,3.0,0.09034829586744308,0.0013,-118108.43942181997,1411,0.0,1.0,0.7015092372894287,481,0.008305567316710949,11351416056.0,680000
84,3.0,0.03450360521674156,0.0013,-118067.53357162,1411,0.0,1.0,0.6998038291931152,488,0.008553285151720047,9774971187.2,690000
85,3.0,0.029017508029937744,0.0013,-118104.60435208,1411,0.0,1.0,0.7004561424255371,495,0.006272593978792429,10532868504.0,700000
86,3.02,0.04226547107100487,0.0013,-118246.91095709,1411,0.0,1.0,0.7009692192077637,502,0.006799137685447931,14048625902.4,710000
87,3.0,0.01764451339840889,0.0013,-118098.64853417,1411,0.0,1.0,0.6998701691627502,509,0.00872014556080103,9748546110.4,720000
89,3.0,0.01995263248682022,0.0013,-118115.89213080998,1408,1.1920928955078125e-07,1.0,0.695237398147583,518,0.006516089662909508,9727788142.4,730000
