train/std,train/learning_rate,time/fps,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/value_loss,time/total_timesteps,train/entropy_loss,time/time_elapsed,rollout/ep_len_mean,train/policy_loss
1.0263755321502686,0.0007,1649,-213920.08346725002,2.384185791015625e-07,499,1108168192.0,10000,-13.00599479675293,6,34.91,-223892.21875
1.0383244752883911,0.0007,1619,-217457.94461916998,0.0,999,2954358272.0,20000,-13.106658935546875,12,33.51,-522694.34375
1.0405348539352417,0.0007,1606,-162953.89811263,0.0,1499,39016400.0,30000,-13.12470817565918,18,27.62,-42236.57421875
1.0516905784606934,0.0007,1601,-194735.33153678,5.960464477539063e-08,1999,1041549504.0,40000,-13.216241836547852,24,36.4,-149600.75
1.0675756931304932,0.0007,1597,-146565.32091100997,0.0,2499,125408664.0,50000,-13.353086471557617,31,24.99,-57290.4609375
1.0607291460037231,0.0007,1593,-131748.61507205,0.0,2999,1986524800.0,60000,-13.289796829223633,37,25.74,-279325.1875
1.0728232860565186,0.0007,1585,-157279.95888201997,0.0,3499,780740480.0,70000,-13.383256912231445,44,25.2,-179168.9375
1.0806801319122314,0.0007,1581,-153122.37276228002,0.0,3999,369371840.0,80000,-13.450685501098633,50,31.63,-178374.90625
1.0911574363708496,0.0007,1578,-119311.44269615,0.0,4499,4398362624.0,90000,-13.52556037902832,57,24.64,-672287.375
1.0983912944793701,0.0007,1573,-134689.81814744,-1.1920928955078125e-07,4999,784369856.0,100000,-13.583368301391602,63,22.92,-185863.84375
1.1045173406600952,0.0007,1567,-124057.02840963002,0.0,5499,3045515776.0,110000,-13.633077621459961,70,24.94,-458697.6875
1.124184250831604,0.0007,1562,-120606.09307570002,0.0,5999,654509760.0,120000,-13.793190002441406,76,26.54,-50140.62890625
1.1372244358062744,0.0007,1558,-151972.11091818,0.0,6499,2883231232.0,130000,-13.889081954956055,83,24.41,-332696.90625
1.1618539094924927,0.0007,1554,-139786.99264863,0.0,6999,137048784.0,140000,-14.08000373840332,90,25.93,-29923.474609375
1.1671345233917236,0.0007,1554,-140215.18560139,5.960464477539063e-08,7499,70895664.0,150000,-14.117311477661133,96,31.95,-43084.8984375
1.1705245971679688,0.0007,1552,-110229.55230634,-1.1920928955078125e-07,7999,2061273856.0,160000,-14.14097785949707,103,21.95,-282907.5625
1.1660493612289429,0.0007,1554,-120898.58260703,0.0,8499,68084176.0,170000,-14.098020553588867,109,34.48,-90628.734375
