train/critic_loss,train/learning_rate,train/ent_coef,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,time/episodes,time/total_timesteps,train/ent_coef_loss,train/actor_loss
101264272.0,0.001,2.364243507385254,167,59,-1837836.40342374,89.78,2474,107,10000,-32.05232620239258,1876.7734375
45456016.0,0.001,5.10422945022583,170,117,-288903.08917346003,67.63,4974,251,20000,-46.045101165771484,6474.1611328125
23458172.0,0.001,9.375195503234863,170,175,-126520.47978539999,54.66,7474,446,30000,-40.27250671386719,11089.171875
52966472.0,0.001,15.492451667785645,171,233,-114438.28199325001,55.47,9974,592,40000,-33.459625244140625,13225.302734375
33723320.0,0.001,24.6729736328125,171,291,-127010.28477032999,92.44,12474,703,50000,-26.577289581298828,14793.607421875
73643448.0,0.001,36.17874526977539,171,349,-92100.63217397999,83.36,14974,823,60000,-15.43751335144043,14595.39453125
72934096.0,0.001,45.78422546386719,171,407,-106807.2776899,131.82,17474,896,70000,-6.373917579650879,15562.78515625
55048228.0,0.001,50.7015266418457,171,465,-148692.63042114,138.47,19974,971,80000,1.0463275909423828,16270.4306640625
57484248.0,0.001,50.36041259765625,172,523,-142097.76544015002,176.07,22474,1011,90000,1.006829857826233,17914.609375
79384480.0,0.001,47.55122756958008,172,580,-122337.36275258001,222.75,24974,1053,100000,0.678716242313385,16488.546875
50939240.0,0.001,42.60722732543945,172,639,-106260.02710386999,226.68,27474,1101,110000,2.41176176071167,17918.81640625
15700460.0,0.001,40.51046371459961,172,697,-109128.15718972002,240.06,29974,1132,120000,-0.32611367106437683,16847.7109375
66267168.0,0.001,35.468772888183594,172,755,-106347.89891994999,254.72,32474,1174,130000,0.09589701890945435,14941.220703125
12516188.0,0.001,35.59889221191406,172,813,-103158.99959354001,233.56,34974,1226,140000,0.6363022923469543,16400.8515625
41127632.0,0.001,35.903717041015625,172,871,-154773.06041011,232.07,37474,1257,150000,1.1813960075378418,14297.130859375
23125496.0,0.001,31.756811141967773,172,930,-152521.25933946998,247.82,39974,1294,160000,0.027516812086105347,11441.517578125
33966420.0,0.001,31.335899353027344,171,988,-181132.29350340003,324.43,42474,1316,170000,0.7428812980651855,11506.482421875
20176764.0,0.001,31.49493980407715,171,1046,-118206.67748181999,315.74,44974,1346,180000,2.6024436950683594,12336.44921875
23459872.0,0.001,27.67738151550293,171,1105,-114709.10948191003,380.6,47474,1373,190000,0.23781313002109528,9218.431640625
6277882.0,0.001,28.46615219116211,171,1163,-115664.09993832001,409.3,49974,1393,200000,-2.3643646240234375,9989.33984375
17040592.0,0.001,27.118959426879883,171,1221,-87206.71875204999,343.24,52474,1428,210000,-0.7666147351264954,9760.5537109375
17657638.0,0.001,27.028461456298828,171,1280,-84252.31759814,394.41,54974,1451,220000,-3.243647336959839,8212.6044921875
62759760.0,0.001,25.70661163330078,171,1337,-83497.07295938999,434.85,57474,1464,230000,-2.5803301334381104,7738.62890625
