train/ent_coef,time/episodes,time/fps,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,train/ent_coef_loss,time/time_elapsed,train/n_updates,train/actor_loss,train/critic_loss
1.8127249479293823,40,152,10000,222.325,0.0003,-5851797.67798585,-6.978369235992432,65,2474,253157.203125,4744.66455078125
3.8429384231567383,114,151,20000,174.96,0.0003,-4783814.070269709,-17.553401947021484,131,4974,504100.71875,5840.763671875
8.004372596740723,169,151,30000,172.6,0.0003,-4786653.52748285,-31.092159271240234,198,7474,723522.0,7679.3095703125
16.70644760131836,177,151,40000,229.23,0.0003,-6534873.307499189,-37.143218994140625,264,9974,923280.375,9792.66796875
33.07635498046875,193,150,50000,322.2,0.0003,-9269279.835460631,-36.671142578125,331,12474,1067254.75,12551.6328125
58.92555618286133,260,150,60000,352.97,0.0003,-10194607.88211764,-13.258951187133789,397,14974,1248463.75,12040.0400390625
70.93727111816406,304,150,70000,133.3,0.0003,-3546183.1310526705,-0.6639994382858276,463,17474,1317736.375,16831.0546875
96.6000747680664,361,150,80000,191.28,0.0003,-4570215.26229347,-2.45278263092041,530,19974,1412544.5,12538.265625
146.67129516601562,392,150,90000,235.53,0.0003,-4991782.822704449,-1.06610107421875,598,22474,1337947.375,8343.8818359375
146.4363555908203,404,149,100000,307.46,0.0003,-6443952.469307392,1.894929051399231,666,24974,1268002.0,10237.501953125
103.46837615966797,441,149,110000,329.48,0.0003,-7268627.574702949,2.043743133544922,734,27474,1237268.625,10659.99609375
85.92472839355469,495,149,120000,283.51,0.0003,-6373057.83097682,-0.7911471128463745,802,29974,1302754.75,13174.5966796875
95.61634063720703,629,149,130000,73.58,0.0003,-1318527.78951045,-1.9301795959472656,869,32474,1301768.625,9930.87109375
169.34410095214844,1322,149,140000,12.74,0.0003,-189370.12290393,-1.5974292755126953,938,34974,1350849.0,16949.181640625
173.07708740234375,1473,148,150000,83.32,0.0003,-1129691.1896306102,-1.7528650760650635,1007,37474,1308505.25,17403.81640625
161.7989044189453,1503,148,160000,178.19,0.0003,-2368624.76515581,-2.399428129196167,1075,39974,1263744.375,10300.109375
159.52403259277344,1853,148,170000,14.43,0.0003,-179719.52202044998,-1.6095378398895264,1143,42474,1257985.25,16743.158203125
155.8501434326172,2038,148,180000,77.82,0.0003,-854724.72485533,-1.830416202545166,1211,44974,1216865.0,11391.4169921875
156.24652099609375,2345,148,190000,27.68,0.0003,-264843.19311067,-1.1817896366119385,1280,47474,1174058.75,15161.681640625
155.17666625976562,2612,148,200000,42.69,0.0003,-428032.99392334,-2.4177744388580322,1349,49974,1137898.75,8649.09765625
147.5610809326172,2884,148,210000,22.38,0.0003,-161049.82400246998,0.23711813986301422,1417,52474,1097273.875,17041.78515625
144.5895233154297,3282,148,220000,27.89,0.0003,-156231.93576575,1.6657092571258545,1486,54974,1043578.5625,15912.2890625
161.78895568847656,3601,147,230000,37.84,0.0003,-145176.26790091,-0.3839839696884155,1555,57474,959816.8125,12087.794921875
177.35621643066406,3777,147,240000,58.81,0.0003,-144667.87423763,-2.461883544921875,1624,59974,894614.75,15512.8369140625
174.1952362060547,4079,147,250000,17.87,0.0003,-99871.14056912997,-0.974459171295166,1694,62474,827297.875,11156.4990234375
193.47451782226562,5017,147,260000,10.29,0.0003,-94481.55409258,0.0024582743644714355,1763,64974,738504.75,11619.302734375
213.37179565429688,6060,147,270000,9.24,0.0003,-94503.63755937999,0.5847251415252686,1834,67474,618507.9375,10358.765625
