rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/n_updates,time/episodes,train/learning_rate,train/ent_coef,train/critic_loss
3.17,80,124,-120777.44977867002,69692.96875,-118.2931137084961,10000,2474,769,0.0055,37.0274658203125,35723448.0
3.0,79,250,-118541.82855538999,83119.6796875,-1.8477782011032104,20000,4974,3712,0.0055,73.82209777832031,27992740.0
3.0,79,377,-118422.91657326998,96032.34375,17.862810134887695,30000,7474,6984,0.0055,66.63469696044922,21232572.0
3.02,79,505,-119272.65823953,109625.1953125,9.054376602172852,40000,9974,10227,0.0055,47.324066162109375,6592842.0
3.0,78,633,-118266.56647586002,103424.953125,5.140621185302734,50000,12474,13532,0.0055,14.713227272033691,2411092.25
20.43,78,761,-758371.6279969602,177995.375,-15.861979484558105,60000,14974,15663,0.0055,19.573766708374023,57391792.0
3.0,78,888,-118143.83976076002,125903.53125,6.117315769195557,70000,17474,18637,0.0055,27.402210235595703,12399390.0
3.0,78,1016,-118136.31859023002,123033.1875,3.7214760780334473,80000,19974,21944,0.0055,16.887039184570312,7917920.5
3.08,78,1144,-119119.58207312001,139790.6875,-5.310699939727783,90000,22474,25261,0.0055,13.096315383911133,10395718.0
3.11,78,1272,-119590.12542241,106445.0859375,0.8430966138839722,100000,24974,28589,0.0055,11.876500129699707,815134.5625
3.0,78,1401,-118107.51561768,110194.9765625,8.57119369506836,110000,27474,31382,0.0055,21.85625648498535,9205631.0
3.0,78,1529,-118270.99641782003,103859.8515625,-3.5419163703918457,120000,29974,34715,0.0055,10.802170753479004,4884804.0
3.0,78,1656,-118231.95744597002,107237.109375,0.389551043510437,130000,32474,37967,0.0055,11.713846206665039,3587721.5
3.0,78,1784,-118008.68047903998,107545.5,3.808337926864624,140000,34974,41170,0.0055,8.624428749084473,170291488.0
3.0,78,1913,-117967.80624402,103894.0703125,-1.829005241394043,150000,37474,44502,0.0055,4.901394367218018,536920.0625
3.0,78,2040,-118030.89106518003,105936.6015625,-1.178943157196045,160000,39974,47834,0.0055,5.115559101104736,658024.875
3.0,78,2168,-117973.75504970999,103080.2578125,1.642043948173523,170000,42474,51163,0.0055,4.305469989776611,66909.0859375
3.0,78,2296,-117963.63542322996,102811.1484375,1.1499801874160767,180000,44974,54498,0.0055,2.094344139099121,22942.095703125
3.0,78,2425,-117936.78945026001,103004.390625,0.1183452159166336,190000,47474,57830,0.0055,1.6317576169967651,19915.765625
3.0,78,2554,-117934.72085177,103461.625,0.4273768961429596,200000,49974,61163,0.0055,1.6638356447219849,29670.328125
15.22,78,2682,-544939.99644633,130120.34375,-154.859375,210000,52474,63687,0.0055,70.05391693115234,100098336.0
4.1,78,2811,-134219.21751415002,142312.40625,40.132102966308594,220000,54974,64944,0.0055,301.8214111328125,104503024.0
3.03,78,2939,-118664.65649921,126729.90625,28.632997512817383,230000,57474,67839,0.0055,68.53015899658203,276265152.0
3.0,78,3069,-118178.21792981,116840.03125,9.226741790771484,240000,59974,71163,0.0055,34.2897834777832,45220208.0
3.0,78,3199,-118212.52964138998,108184.859375,4.246827602386475,250000,62474,74451,0.0055,17.574342727661133,10550432.0
3.0,78,3329,-118027.5255277,104175.21875,5.5044426918029785,260000,64974,77744,0.0055,11.056747436523438,1011366.0
8.81,78,3459,-227173.23258463002,127274.6015625,-59.73220443725586,270000,67474,80322,0.0055,105.50865173339844,102331464.0
3.0,78,3589,-118360.56708171999,110096.296875,8.242162704467773,280000,69974,83311,0.0055,19.419858932495117,72434328.0
3.0,77,3719,-118031.91787549002,110883.6796875,5.525125980377197,290000,72474,86402,0.0055,17.752643585205078,50292236.0
