time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/actor_loss,train/ent_coef_loss,time/fps,train/critic_loss,train/learning_rate,time/episodes,train/n_updates,train/ent_coef,rollout/ep_len_mean
68,10000,-6009574.592856569,453523.84375,-8.224514961242676,146,6610.9345703125,0.0003,72,2474,1.5671650171279907,131.23611111111111
137,20000,-8096824.046465439,937207.875,-4.293166160583496,145,7309.82958984375,0.0003,113,4974,3.111785411834717,170.1
207,30000,-9140799.66527406,1364969.5,-36.822296142578125,144,7195.80712890625,0.0003,173,7474,6.807590484619141,198.9
277,40000,-419454.58923491003,1726140.25,-50.6257438659668,144,12523.9521484375,0.0003,490,9974,14.184985160827637,12.55
347,50000,-257579.79849364999,1975728.0,-100.08355712890625,143,27841.501953125,0.0003,1050,12474,29.127073287963867,6.99
420,60000,-267000.02082827996,1881683.0,-84.46581268310547,142,39149.85546875,0.0003,2375,14974,62.43152618408203,7.7
494,70000,-258865.92719556004,1923600.625,-14.501355171203613,141,40890.87109375,0.0003,3015,17474,94.35428619384766,7.31
565,80000,-1979680.2428917498,2016829.75,-3.6695737838745117,141,43444.20703125,0.0003,3836,19974,139.9969024658203,41.44
636,90000,-257446.61900741005,2127331.25,2.9734342098236084,141,50077.38671875,0.0003,4500,22474,135.57395935058594,7.06
706,100000,-1137875.24763979,2284656.0,0.6811412572860718,141,76330.890625,0.0003,5041,24974,105.09089660644531,25.77
778,110000,-3850402.10871567,2476111.5,2.773775577545166,141,75611.4765625,0.0003,5125,27474,77.86812591552734,87.53
851,120000,-988552.76028289,2692269.0,-4.380038261413574,140,86320.5078125,0.0003,5483,29974,63.26538848876953,27.07
922,130000,-2927688.6015764195,2868216.25,-2.327632427215576,140,71551.0703125,0.0003,5643,32474,70.08118438720703,76.62
992,140000,-4780597.45912668,2980179.75,-1.4844733476638794,141,60860.3828125,0.0003,5699,34974,70.94156646728516,113.79
1062,150000,-612925.71252224,3088926.5,-2.671501398086548,141,54786.84375,0.0003,5971,37474,90.01712799072266,17.38
1135,160000,-4072915.35579482,3189415.25,-0.41772395372390747,140,82323.78125,0.0003,6065,39974,80.17433166503906,96.41
1208,170000,-4222122.99168876,3231912.25,0.1301482617855072,140,58453.22265625,0.0003,6161,42474,76.3853988647461,101.05
1279,180000,-1270973.4918717002,3264033.5,-1.576664686203003,140,63179.14453125,0.0003,6331,44974,101.68682098388672,29.93
1351,190000,-745792.9263827801,3285450.75,-2.8344898223876953,140,81390.25,0.0003,6928,47474,106.97396850585938,22.83
1421,200000,-3904834.88328042,3295483.5,-1.4162157773971558,140,70458.7265625,0.0003,7016,49974,101.0865249633789,102.98
1494,210000,-2075983.2510570001,3331627.0,-1.9312225580215454,140,58328.80859375,0.0003,7154,52474,99.0758056640625,55.03
1567,220000,-1615935.0555903702,3380384.5,2.7538766860961914,140,42054.1328125,0.0003,7309,54974,93.57221221923828,44.92
1638,230000,-441861.83765768,3407891.5,-0.03748130798339844,140,42048.44140625,0.0003,7675,57474,85.72264862060547,14.61
1709,240000,-5373715.09292796,3435613.5,-1.4345264434814453,140,72392.9453125,0.0003,7689,59974,78.29357147216797,112.98
1781,250000,-325343.53453003,3468281.25,1.0822803974151611,140,72449.734375,0.0003,7949,62474,57.79109573364258,9.72
1852,260000,-2735267.43737516,3484637.75,-1.530945897102356,140,79198.5546875,0.0003,8206,64974,77.68498992919922,64.37
1925,270000,-348022.96009944007,3521208.5,0.1635621190071106,140,48872.55859375,0.0003,8561,67474,76.14498138427734,10.45
1999,280000,-1475844.8976452602,3526854.0,-4.927855491638184,140,117657.5859375,0.0003,9362,69974,85.2010269165039,34.36
2075,290000,-2227839.39345903,3548050.25,0.8763047456741333,139,61961.0,0.0003,9509,72474,98.73727416992188,62.01
2151,300000,-5262342.05757958,3566151.5,2.5990428924560547,139,68895.8046875,0.0003,9580,74974,92.46923065185547,140.45
2227,310000,-787216.6117659801,3564450.0,-2.6137502193450928,139,55936.29296875,0.0003,9848,77474,90.2332534790039,22.72
2304,320000,-1479202.4327812102,3571334.0,-4.9251322746276855,138,87205.4609375,0.0003,10066,79974,98.07728576660156,37.72
2381,330000,-658767.23128721,3578188.0,1.807124376296997,138,30057.0546875,0.0003,10502,82474,92.85248565673828,19.17
2458,340000,-489327.04142988997,3590582.0,-2.4863948822021484,138,75158.3828125,0.0003,11041,84974,93.34546661376953,14.72
2536,350000,-296604.97497157997,3597825.75,2.24737286567688,137,61759.52734375,0.0003,12222,87474,96.07382202148438,8.8
2614,360000,-512790.97902614006,3580191.5,-0.08917449414730072,137,68063.7578125,0.0003,13160,89974,106.09781646728516,15.39
2693,370000,-491545.36652251997,3600856.5,2.2314982414245605,137,94268.4140625,0.0003,13939,92474,113.28584289550781,14.87
2775,380000,-614344.67634579,3553114.5,-0.4319702088832855,136,123872.0,0.0003,14538,94974,119.60486602783203,17.99
2856,390000,-698230.39100004,3521376.25,-4.431180000305176,136,74425.6015625,0.0003,15053,97474,119.4410629272461,20.54
2934,400000,-621352.14177388,3513402.5,-2.417576313018799,136,98409.734375,0.0003,15763,99974,116.87200164794922,18.32
3012,410000,-694303.6281490498,3524781.75,-1.4853178262710571,136,54964.0703125,0.0003,16370,102474,116.56694793701172,20.27
3089,420000,-547220.9437358199,3495799.0,2.7449758052825928,135,121388.09375,0.0003,17056,104974,112.38114166259766,16.19
3166,430000,-2429531.4835746195,3510680.75,1.2688961029052734,135,79634.0859375,0.0003,17278,107474,107.22589111328125,63.7
3243,440000,-395758.45433851006,3478125.5,0.8255448341369629,135,79079.1875,0.0003,17661,109974,98.60144805908203,12.49
3321,450000,-305255.90969222004,3472342.25,-1.3905727863311768,135,60688.80859375,0.0003,18646,112474,96.94505310058594,9.41
3398,460000,-255004.56747114004,3444370.75,-5.509645462036133,135,97752.3046875,0.0003,20050,114974,103.56719207763672,7.63
3478,470000,-268165.00492443005,3451363.5,3.8002612590789795,135,107994.2109375,0.0003,21364,117474,114.28449249267578,7.92
3555,480000,-245605.88551138004,3439232.25,2.199415683746338,134,66960.890625,0.0003,22668,119974,120.5809326171875,7.04
3632,490000,-268657.8236462601,3412789.0,1.306808590888977,134,72769.2265625,0.0003,24030,122474,130.2431182861328,7.84
3709,500000,-272686.8583845,3350899.0,-1.799472689628601,134,112586.140625,0.0003,25292,124974,141.1968231201172,7.98
3786,510000,-239822.79718478,3312960.5,-5.626235008239746,134,94963.1171875,0.0003,26591,127474,153.2079315185547,6.94
3864,520000,-240253.46941880003,3280862.0,5.094362258911133,134,99396.03125,0.0003,27832,129974,166.4854278564453,6.95
3942,530000,-1209542.0035798398,3213797.0,-3.0082690715789795,134,53967.71875,0.0003,28840,132474,183.79989624023438,27.25
4019,540000,-2693023.17194349,3191461.25,-4.011527061462402,134,97845.046875,0.0003,28949,134974,181.78480529785156,66.4
4096,550000,-5839475.515895499,3185020.75,-1.0238587856292725,134,93182.9140625,0.0003,29004,137474,162.07688903808594,146.28
4173,560000,-1643113.3073018,3150623.0,-2.0949440002441406,134,77175.59375,0.0003,29289,139974,149.05335998535156,38.76
4250,570000,-285759.52468511,3140521.25,-1.069575548171997,134,82050.4375,0.0003,30452,142474,164.98585510253906,8.4
4328,580000,-495098.87143875996,3153582.0,-3.8726720809936523,134,93074.65625,0.0003,31069,144974,162.3097686767578,14.0
4405,590000,-409953.29723808996,3146724.5,-1.2273292541503906,133,61999.9921875,0.0003,31938,147474,154.31333923339844,12.21
4483,600000,-292987.0189487,3152469.0,0.08915629982948303,133,84968.4453125,0.0003,32882,149974,153.53570556640625,8.96
