time/time_elapsed,train/policy_objective,time/fps,train/learning_rate,time/total_timesteps,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/kl_divergence_loss,train/explained_variance,train/is_line_search_success,train/n_updates,train/std
7,0.06139936298131943,1404,0.0013,10000,48695625964.8,-1374272.6851200098,94.47,0.004448524676263332,-1.1920928955078125e-06,1.0,1,0.9984028935432434
14,0.059788983315229416,1424,0.0013,20000,45444951705.6,-1197363.4795105497,83.26,0.004371332935988903,0.0,1.0,2,0.9996092319488525
21,0.051538724452257156,1428,0.0013,30000,43253715942.4,-1097230.90738973,78.46,0.004048962611705065,5.960464477539063e-08,1.0,3,1.0014108419418335
28,0.0549774244427681,1424,0.0013,40000,44147761280.0,-1001064.7968215502,74.1,0.0046617393381893635,0.0,1.0,4,1.0035604238510132
36,0.06423471868038177,1377,0.0013,50000,37929886643.2,-1010706.27423863,76.04,0.004247867967933416,-1.1920928955078125e-07,1.0,6,0.9982002377510071
43,0.06334305554628372,1387,0.0013,60000,36059970598.4,-836605.70723179,63.71,0.003959171939641237,0.0,1.0,7,0.997033417224884
50,0.06375911086797714,1396,0.0013,70000,35961274572.8,-844602.4919768901,64.73,0.004349331837147474,0.0,1.0,8,0.9966223239898682
56,0.07370737195014954,1409,0.0013,80000,33124485433.6,-698862.4599656899,53.09,0.005091490689665079,0.0,1.0,9,0.99465411901474
63,0.060627374798059464,1414,0.0013,90000,32575593824.0,-723989.4754330202,55.85,0.004040481522679329,0.0,1.0,10,0.9930779933929443
71,0.07231137156486511,1391,0.0013,100000,31177698265.6,-633383.44451253,48.62,0.005101812072098255,-2.384185791015625e-07,1.0,12,0.9965237975120544
78,0.07126268744468689,1393,0.0013,110000,29994845971.2,-582900.91655717,44.54,0.004375601653009653,0.0,1.0,13,0.9957996606826782
85,0.06941527128219604,1397,0.0013,120000,28864868284.8,-534284.9681317899,41.25,0.005284606479108334,-1.1920928955078125e-07,1.0,14,0.9908149838447571
92,0.07085724174976349,1398,0.0013,130000,27413519990.4,-532344.50307185,41.03,0.005660349037498236,-1.1920928955078125e-07,1.0,15,0.9802214503288269
101,0.0698096826672554,1383,0.0013,140000,26924819177.6,-455621.0366656101,34.12,0.0059991213493049145,1.1920928955078125e-07,1.0,17,0.9837669134140015
108,0.07079056650400162,1386,0.0013,150000,26311286006.4,-466009.30490483,35.15,0.005360392853617668,2.384185791015625e-07,1.0,18,0.9807040691375732
115,0.07206503301858902,1388,0.0013,160000,25937284700.8,-524727.87954943,40.1,0.005237438715994358,0.0,1.0,19,0.9791219234466553
122,0.06977762281894684,1389,0.0013,170000,26764016352.0,-373169.80565079,27.09,0.005723531357944012,1.1920928955078125e-07,1.0,20,0.9821503758430481
129,0.06495898216962814,1388,0.0013,180000,25266553049.6,-385472.41003596,28.13,0.005240173079073429,2.384185791015625e-07,1.0,21,0.9798247814178467
137,0.07942154258489609,1378,0.0013,190000,26047289404.8,-467985.10389537,35.59,0.005908641032874584,2.384185791015625e-07,1.0,23,0.976705014705658
144,0.0645986795425415,1380,0.0013,200000,24632495462.4,-370488.4909871,27.09,0.005754328332841396,2.384185791015625e-07,1.0,24,0.9760128259658813
151,0.0643715187907219,1382,0.0013,210000,22958771894.4,-385050.59247755003,28.62,0.006499364972114563,0.0,1.0,25,0.9759151935577393
159,0.06500204652547836,1382,0.0013,220000,23246316396.8,-344300.08720504004,24.56,0.006991901434957981,0.0,1.0,26,0.9736299514770508
167,0.07220076024532318,1372,0.0013,230000,23621612163.2,-386890.21799359,28.67,0.006925824098289013,0.0,1.0,28,0.9676858186721802
174,0.06907783448696136,1372,0.0013,240000,22663595011.2,-361929.38003929006,26.31,0.006199254654347897,1.1920928955078125e-07,1.0,29,0.9681336283683777
181,0.07705981284379959,1373,0.0013,250000,22524700992.0,-369181.41626319,26.94,0.006848979275673628,0.0,1.0,30,0.9654228687286377
189,0.06402981281280518,1372,0.0013,260000,22594483571.2,-327683.78288631997,23.23,0.007169848773628473,-2.384185791015625e-07,1.0,31,0.9587321877479553
196,0.06949117034673691,1372,0.0013,270000,21928863081.6,-299950.77725539997,20.81,0.007423582952469587,-3.5762786865234375e-07,1.0,32,0.9565485715866089
205,0.0695158839225769,1363,0.0013,280000,20760547728.0,-275946.07996069005,18.4,0.007597694173455238,-1.1920928955078125e-07,1.0,34,0.9462597370147705
212,0.07110030949115753,1364,0.0013,290000,20023458537.6,-288837.52885758,19.89,0.00814568717032671,-2.384185791015625e-07,1.0,35,0.9443058371543884
219,0.06635504961013794,1364,0.0013,300000,19734405862.4,-283895.62120268005,19.42,0.00806480459868908,-2.384185791015625e-07,1.0,36,0.9418314099311829
227,0.061460766941308975,1364,0.0013,310000,19411283558.4,-293253.73028226,20.3,0.007411330938339233,0.0,1.0,37,0.9417120218276978
