time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/iterations,train/delta_std,rollout/return_std,train/learning_rate,train/step_size
2009,4,683.0,-27102861.614970338,10000,,,,,
1995,10,676.8333333333334,-26887295.62773,20000,,,,,
2012,14,708.1,-28149295.5770471,30000,,,,,
2028,19,756.75,-30103430.251265913,40000,,,,,
2044,24,1000.0,-39955373.291763,50000,0,0.05,18920400.0,0.0018,1.1891925812135273e-11
2049,29,1000.0,-40042638.235873,60000,,,,,
2053,34,675.0,-26853608.074267555,70000,,,,,
2057,38,734.0909090909091,-29100929.104057368,80000,,,,,
2059,43,791.0714285714286,-31437278.474038642,90000,,,,,
2060,48,9.0,-178831.207971,100000,1,0.05,15816922.0,0.0018,1.4225270267287371e-11
2061,53,604.4,-24083294.5049604,110000,,,,,
2061,58,717.4285714285714,-28643365.437001575,120000,,,,,
2062,63,729.9090909090909,-29087370.42792264,130000,,,,,
2063,67,771.4615384615385,-30774734.30081393,140000,,,,,
2065,72,1000.0,-39737540.226494,150000,2,0.05,17760788.0,0.0018,1.2668356814959925e-11
2067,77,1000.0,-39854393.91989666,160000,,,,,
2069,82,1000.0,-39908227.2625335,170000,,,,,
2069,86,1000.0,-39894158.64534512,180000,,,,,
2069,91,788.0714285714286,-31414069.334861927,190000,,,,,
2070,96,,,200000,3,0.05,16003037.0,0.0018,1.4059831424106939e-11
2070,101,1000.0,-39879540.777419,210000,,,,,
2071,106,1000.0,-39897576.4369108,220000,,,,,
2071,111,889.8888888888889,-35501689.46655611,230000,,,,,
2070,115,909.9090909090909,-36293373.40475028,240000,,,,,
2070,120,929.2142857142857,-37087033.10333536,250000,,,,,
2070,125,1000.0,-39817389.732266,260000,4,0.05,13573518.0,0.0018,1.6576394770706493e-11
2070,130,802.6,-31909760.797219206,270000,,,,,
2071,135,671.3333333333334,-26682167.98190356,280000,,,,,
2071,140,697.3076923076923,-27739113.973932464,290000,,,,,
2070,144,7.0,-158327.202844,300000,5,0.05,18972850.0,0.0018,1.1859051067542037e-11
2070,149,751.75,-29886445.966451503,310000,,,,,
2070,154,716.7142857142857,-28522045.284029145,320000,,,,,
2071,159,801.7,-31968380.187946998,330000,,,,,
2071,164,834.75,-33312139.894993167,340000,,,,,
2071,168,1000.0,-39749604.528218,350000,6,0.05,17762416.0,0.0018,1.2667196284954496e-11
2071,173,762.5,-30219721.680384003,360000,,,,,
2071,178,864.2857142857143,-34359866.59617215,370000,,,,,
2072,183,805.7,-32050733.089227803,380000,,,,,
2072,188,850.5384615384615,-33878274.02417823,390000,,,,,
2072,192,870.4666666666667,-34684280.74257793,400000,,,,,
2072,197,1000.0,-39864143.0121185,410000,7,0.05,13393263.0,0.0018,1.6799490618057966e-11
2072,202,1000.0,-39835103.79119425,420000,,,,,
2073,207,876.375,-34740889.66987175,430000,,,,,
2072,212,901.1,-35756612.803077,440000,,,,,
2072,217,801.7333333333333,-31852663.045479666,450000,,,,,
2072,221,1000.0,-40061182.981784,460000,8,0.05,15965697.0,0.0018,1.4092713974955817e-11
2072,226,1000.0,-39944658.0286315,470000,,,,,
2073,231,863.1428571428571,-34350612.78912086,480000,,,,,
2072,236,804.9,-32015817.60312731,490000,,,,,
2072,241,790.0714285714286,-31426104.72200993,500000,,,,,
2072,246,,,510000,9,0.05,15877591.0,0.0018,1.4170915309252852e-11
2072,250,1000.0,-39874539.340293,520000,,,,,
2072,255,839.0,-33350874.2968135,530000,,,,,
2072,260,892.6666666666666,-35565787.59231711,540000,,,,,
2072,265,912.1818181818181,-36359017.27193946,550000,,,,,
2072,270,931.0,-37136034.26786,560000,,,,,
2072,275,,,570000,10,0.05,9781721.0,0.0018,2.3002086346757267e-11
2072,279,753.25,-30069758.827523254,580000,,,,,
2072,284,835.5,-33299738.074595165,590000,,,,,
2072,289,802.7,-32032135.815632097,600000,,,,,
2072,294,772.0,-30796429.425876234,610000,,,,,
2071,299,,,620000,11,0.05,16007553.0,0.0018,1.4055864978879118e-11
2071,304,1000.0,-39825080.03115,630000,,,,,
2071,309,1000.0,-39910933.721106604,640000,,,,,
2070,313,1000.0,-39951004.42672358,650000,,,,,
2070,318,772.3076923076923,-30783360.535831843,660000,,,,,
2070,323,340.6666666666667,-13502584.450788334,670000,12,0.05,18987416.0,0.0018,1.1849953310272276e-11
2070,328,506.875,-20138487.90241725,680000,,,,,
2070,333,605.5,-24082602.6772832,690000,,,,,
2071,337,606.4,-24091339.296910737,700000,,,,,
2071,342,1000.0,-39827050.0,710000,13,0.05,19818504.0,0.0018,1.1353026158067436e-11
2070,347,577.0,-22905580.089565717,720000,,,,,
2070,352,671.0,-26687802.445570886,730000,,,,,
2070,357,696.3076923076923,-27708571.41922069,740000,,,,,
2070,362,736.8,-29338140.159429863,750000,,,,,
2070,367,1000.0,-39891494.9019655,760000,14,0.05,17739418.0,0.0018,1.268361804473983e-11
2070,371,801.8,-32004153.7626986,770000,,,,,
2070,376,780.5555555555555,-31138277.681416888,780000,,,,,
2070,381,820.4545454545455,-32715839.92115927,790000,,,,,
2070,386,802.0666666666667,-31986103.565582205,800000,,,,,
2070,391,514.0,-20190565.554727,810000,15,0.05,16014758.0,0.0018,1.4049540177085706e-11
2070,396,672.5,-26704247.75623734,820000,,,,,
2070,400,672.3333333333334,-26687827.541871,830000,,,,,
2070,405,698.0769230769231,-27739496.30703261,840000,,,,,
2070,410,738.3333333333334,-29368961.6340252,850000,,,,,
2070,415,1000.0,-39924361.709685996,860000,16,0.05,17672274.0,0.0018,1.2731807795540728e-11
2070,420,1000.0,-39959464.8359755,870000,,,,,
2070,425,1000.0,-39993165.25847614,880000,,,,,
2070,429,1000.0,-40002184.81799801,890000,,,,,
2070,434,925.3076923076923,-36967978.96956977,900000,,,,,
2070,439,339.6666666666667,-13459340.162939668,910000,17,0.05,15964171.0,0.0018,1.4094060120373175e-11
2070,444,669.8333333333334,-26699221.415671498,920000,,,,,
2070,449,752.375,-29992432.54416588,930000,,,,,
2071,453,819.9090909090909,-32701810.655701276,940000,,,,,
2071,458,787.7857142857143,-31411177.172215503,950000,,,,,
2071,463,503.0,-19983853.6522175,960000,18,0.05,15994845.0,0.0018,1.4067032261255719e-11
2071,468,751.5,-29941149.851111747,970000,,,,,
2071,473,858.0,-34133645.677525714,980000,,,,,
2071,477,730.2727272727273,-29041124.907238364,990000,,,,,
2071,482,671.5333333333333,-26683869.332519267,1000000,,,,,
