time/fps,train/std,train/explained_variance,train/entropy_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_range,train/loss,train/learning_rate,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss
961,0.9976112246513367,1.1920928955078125e-07,-8.499162103235722,140,0.0013232043,2.44140625e-05,3141126667.8,-347728.21269855,104.61,0.2,1412960896.0,0.0003,124,120000,-0.0013252142374767573
967,0.9972365498542786,0.0,-8.498151474446058,150,0.0010314949,1.220703125e-05,3286636716.4,-370990.2735560501,101.87,0.2,1475691520.0,0.0003,134,130000,-0.0010693333459130371
940,0.9971659779548645,0.0,-8.495447980612516,170,0.0006708073,1.220703125e-05,3263879784.6,-345856.17671320005,98.73,0.2,1657406464.0,0.0003,148,140000,-0.0008866727530403296
947,0.9968175292015076,-2.384185791015625e-07,-8.495574450492859,180,0.0007329728,0.0,3375116474.2,-306830.9906878,85.55,0.2,1733877504.0,0.0003,158,150000,-0.0009151382906566141
953,0.9967839121818542,0.0,-8.494388306885957,190,0.00067060563,0.0,3118752182.4,-330362.6111404,102.4,0.2,1828396928.0,0.0003,167,160000,-0.0007491975372431626
959,0.9966486096382141,0.0,-8.49377736747265,200,0.0007816736,0.0,3066039906.0,-327508.28676688997,95.85,0.2,1631998848.0,0.0003,177,170000,-0.0008463234341434145
964,0.9963617324829102,5.960464477539063e-08,-8.492494892328978,210,0.0007866199,0.0,3301690716.8,-312867.24084622005,93.54,0.2,1613919488.0,0.0003,186,180000,-0.0010602277452562703
944,0.9959328174591064,-2.384185791015625e-07,-8.489639883488417,230,0.00050267216,0.0,2920695917.5,-309674.31587209,95.39,0.2,1428706560.0,0.0003,201,190000,-0.0005873598619473341
949,0.9958707690238953,0.0,-8.488824801146984,240,0.00034531325,0.0,2981833730.7,-280163.37386779,81.25,0.2,1109410048.0,0.0003,210,200000,-0.0005802751215014723
954,0.9959165453910828,0.0,-8.488843727111817,250,0.0009257636,2.44140625e-05,3142355234.8,-324292.98065430997,100.58,0.2,1661196800.0,0.0003,220,210000,-0.000969815442476829
958,0.9954274296760559,0.0,-8.48750352486968,260,0.002124351,0.0005615234375,2935524504.3,-325547.32646333,103.0,0.2,1525121664.0,0.0003,229,220000,-0.001793114339488966
942,0.9953281283378601,0.0,-8.484610478579999,280,0.0016729077,9.765625e-05,2808480402.0,-313890.3059134,99.91,0.2,1313214976.0,0.0003,243,230000,-0.0015682129238484776
946,0.9947572350502014,5.960464477539063e-08,-8.483753238618373,290,0.00067094836,0.0,2912337021.6,-295837.54544873,89.4,0.2,1490871680.0,0.0003,253,240000,-0.0007523631318690604
950,0.9941146373748779,0.0,-8.480044450610876,300,0.0003987202,0.0,3269706531.8,-308741.60949855,92.0,0.2,1336753408.0,0.0003,262,250000,-0.0006978318404435413
954,0.9939475059509277,0.0,-8.47751927152276,310,0.0008210319,0.0,2970514155.0,-322250.5894396,98.74,0.2,1694637952.0,0.0003,272,260000,-0.0008993185256258585
958,0.9935733675956726,-1.1920928955078125e-07,-8.475930774211884,320,0.0008409807,0.0,2953521302.8,-331984.93468402,108.6,0.2,1358315520.0,0.0003,281,270000,-0.0009485335991485045
944,0.9929133057594299,0.0,-8.47173193693161,340,0.0023422495,0.000634765625,2813128015.5,-289114.94093923003,92.34,0.2,1300096896.0,0.0003,296,280000,-0.002020091319536732
948,0.9927494525909424,0.0,-8.470248590409756,350,0.0005692035,0.0,2777690139.5,-301452.6604915,103.21,0.2,1320068352.0,0.0003,305,290000,-0.0007041715696686878
951,0.9928462505340576,0.0,-8.470044367015362,360,0.0011404738,0.0,2705338198.2,-307028.61924009,95.97,0.2,1416287872.0,0.0003,315,300000,-0.001013819727268128
