time/fps,train/n_updates,train/ent_coef,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/episodes,time/total_timesteps,train/critic_loss
124,147474,6.193238735198975,0.0064,3.0,4727,145713.09375,-0.1727316528558731,-118465.28778109999,90112,590000,562.54345703125
124,149974,4.834874153137207,0.0064,3.0,4813,145246.46875,0.04051360487937927,-118381.29032136999,93179,600000,368.0179748535156
124,152474,10.875935554504395,0.0064,3.06,4899,165513.34375,0.5498809218406677,-119236.5224768,94842,610000,693.97607421875
124,154974,9.29223346710205,0.0064,3.02,4985,177994.796875,-0.8851131200790405,-118844.41748973001,98084,620000,379.4118957519531
124,157474,10.01490592956543,0.0064,3.1,5071,219728.96875,0.39444369077682495,-119804.89525169999,99667,630000,779.7838134765625
124,159974,10.116799354553223,0.0064,3.0,5157,192493.0,0.05057451128959656,-118578.66462196002,102752,640000,498.4982604980469
123,162474,8.172456741333008,0.0064,3.0,5243,187096.734375,-0.36695390939712524,-118448.95510314003,106083,650000,300.1953125
123,164974,7.797710418701172,0.0064,3.0,5328,166453.296875,1.1442846059799194,-118432.47449498998,109414,660000,445.68023681640625
123,167474,6.220459461212158,0.0064,3.0,5415,189106.46875,-0.02970963716506958,-118379.55801123001,112736,670000,673.2603759765625
123,169974,6.240148544311523,0.0064,3.0,5501,147330.046875,-0.5044549703598022,-118206.79608739998,116069,680000,299.02838134765625
123,172474,5.412405490875244,0.0064,3.0,5588,142517.90625,0.938169002532959,-118193.26516669002,119402,690000,172.44076538085938
123,174974,7.393274784088135,0.0064,3.0,5674,112533.3515625,1.9456065893173218,-118323.53796280001,122403,700000,207.9051971435547
123,177474,4.740790367126465,0.0064,3.0,5760,109633.84375,0.9784038066864014,-118213.68278835001,125736,710000,212.7869873046875
123,179974,4.7114057540893555,0.0064,3.0,5846,138435.09375,0.27136144042015076,-118234.06210992999,128275,720000,268.9910583496094
123,182474,6.2890825271606445,0.0064,33.08,5932,195171.34375,-0.21105563640594482,-1315021.5251673697,129829,730000,1715.2296142578125
122,184974,7.303120136260986,0.0064,3.0,6019,204051.96875,0.9440372586250305,-118210.57545793001,132281,740000,375.5177307128906
122,187474,8.413254737854004,0.0064,3.0,6105,163033.796875,-1.737815260887146,-118189.76095624,135614,750000,220.8613739013672
122,189974,8.11766529083252,0.0064,3.0,6191,218891.75,-0.973620593547821,-118204.53623645,138613,760000,722.8803100585938
122,192474,6.5325846672058105,0.0064,3.0,6277,202111.9375,0.014620214700698853,-118172.44958449001,141944,770000,350.25347900390625
122,194974,6.544912338256836,0.0064,13.0,6364,205488.828125,-0.34532928466796875,-517456.71191649005,144469,780000,538.7001342773438
