time/time_elapsed,train/critic_loss,train/actor_loss,rollout/ep_len_mean,time/fps,train/ent_coef_loss,train/n_updates,train/ent_coef,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/learning_rate
3057,1869.6817626953125,-40889.421875,23.01,140,-0.7311301231384277,107474,84.25286865234375,133030.61291633,430000,5142,0.0064
3136,2007.3704833984375,-43880.171875,22.06,140,-1.8413442373275757,109974,84.67507934570312,131551.23607521,440000,5520,0.0064
3214,1534.997802734375,-46371.109375,21.42,140,-2.3612895011901855,112474,75.47122192382812,133261.31925861,450000,5958,0.0064
3291,1398.78564453125,-46842.50390625,24.31,139,-0.9163058400154114,114974,77.2555923461914,127567.70703971999,460000,6347,0.0064
3369,1339.761474609375,-46698.86328125,21.29,139,3.5533971786499023,117474,80.94927215576172,133467.82103139,470000,6791,0.0064
3448,1455.88330078125,-50370.15625,32.2,139,0.3389992415904999,119974,86.02586364746094,122144.11207967,480000,7158,0.0064
3526,1415.6239013671875,-50305.05078125,27.46,138,-1.550307273864746,122474,85.84552764892578,131003.94841866998,490000,7495,0.0064
3604,1672.6798095703125,-56367.04296875,21.07,138,-0.8466415405273438,124974,86.75785064697266,132969.45131571,500000,7969,0.0064
3682,1361.3402099609375,-58735.56640625,20.55,138,-3.6421327590942383,127474,83.5225830078125,133080.63179649002,510000,8432,0.0064
3761,1482.0548095703125,-53881.49609375,20.4,138,-0.06318998336791992,129974,82.31791687011719,133083.82622376998,520000,8809,0.0064
3841,1326.4130859375,-56612.828125,20.26,137,-1.3349158763885498,132474,83.72554016113281,133592.82293408999,530000,9267,0.0064
3920,1316.85009765625,-54685.80078125,20.4,137,-2.0718066692352295,134974,79.2774658203125,133283.82527712002,540000,9683,0.0064
3998,1505.24853515625,-53055.42578125,22.44,137,-1.3847324848175049,137474,94.50701904296875,132736.50002981,550000,10029,0.0064
4077,1469.6453857421875,-56430.94921875,20.49,137,-2.2495193481445312,139974,82.6084976196289,133485.55529013,560000,10451,0.0064
4155,1121.6165771484375,-53192.1953125,20.75,137,-0.514677107334137,142474,87.10298156738281,133578.66235067,570000,10936,0.0064
4234,1210.2791748046875,-56346.4609375,19.62,136,-2.982966423034668,144974,78.99674987792969,133500.31469715,580000,11416,0.0064
4313,1163.7464599609375,-57527.16796875,20.55,136,-1.6279783248901367,147474,83.90643310546875,131364.39597674,590000,11909,0.0064
4391,1274.71533203125,-57521.46875,19.61,136,2.624159097671509,149974,79.4144287109375,133603.21829426,600000,12314,0.0064
4470,1081.6212158203125,-57570.0625,20.01,136,0.9490402936935425,152474,75.55029296875,132987.90964788,610000,12820,0.0064
4550,873.3203125,-62065.75390625,19.31,136,-0.8566902279853821,154974,78.63775634765625,133510.92379560997,620000,13336,0.0064
4629,812.22314453125,-60491.80078125,19.74,136,-0.7201119661331177,157474,77.14479064941406,133296.11581721,630000,13840,0.0064
4708,755.0843505859375,-60910.1484375,30.12,135,-1.2196714878082275,159974,73.3073959350586,117512.98440854,640000,14290,0.0064
4787,871.6083984375,-61790.91796875,19.35,135,-1.4820663928985596,162474,80.98845672607422,133204.89936858,650000,14800,0.0064
4867,694.7764282226562,-64664.8515625,21.07,135,1.541530966758728,164974,75.87377166748047,132663.29959009998,660000,15295,0.0064
4946,702.127685546875,-62149.5546875,19.79,135,2.0956177711486816,167474,73.24481964111328,133091.40136662,670000,15801,0.0064
5025,757.721923828125,-66065.0,19.19,135,1.7295618057250977,169974,66.52418518066406,133404.45818811998,680000,16312,0.0064
5104,710.6207885742188,-65802.0,19.32,135,1.112810730934143,172474,71.18269348144531,133504.52119641003,690000,16829,0.0064
5183,792.6563110351562,-64044.3984375,19.56,135,-0.43194884061813354,174974,65.74940490722656,133394.37630218,700000,17336,0.0064
5262,674.925048828125,-65958.2109375,19.15,134,2.0645813941955566,177474,65.65473175048828,133507.86782987,710000,17847,0.0064
5341,622.9740600585938,-67011.2578125,19.12,134,-0.657487154006958,179974,60.68396759033203,133293.13558799,720000,18352,0.0064
5421,544.7770385742188,-66106.984375,19.23,134,-0.1418067067861557,182474,56.68266677856445,133503.16823363001,730000,18849,0.0064
5500,757.7025756835938,-66725.0625,19.21,134,1.6774803400039673,184974,60.222774505615234,133298.57821926998,740000,19342,0.0064
5580,1087.706787109375,-65822.1328125,19.27,134,-1.4920519590377808,187474,57.92155838012695,133398.39951511,750000,19808,0.0064
5661,889.8291625976562,-62961.7578125,29.74,134,0.6307896375656128,189974,67.3667221069336,127031.83490893,760000,20243,0.0064
5741,795.8939208984375,-64018.609375,19.13,134,2.1865687370300293,192474,65.91600036621094,133504.29667603,770000,20722,0.0064
5821,940.9122924804688,-61992.9453125,19.17,133,1.0845272541046143,194974,65.05989074707031,133299.34168374,780000,21155,0.0064
5901,1060.955810546875,-59253.99609375,29.4,133,-2.6300406455993652,197474,64.7981185913086,127429.40243323999,790000,21565,0.0064
5981,1152.045654296875,-58342.296875,29.29,133,-0.1319800615310669,199974,69.67988586425781,123368.87743750002,800000,21978,0.0064
6061,981.169677734375,-55741.25,19.81,133,-2.097194194793701,202474,66.86708068847656,133090.29946856003,810000,22430,0.0064
6142,1127.5633544921875,-56452.7890625,19.42,133,-4.825559616088867,204974,63.5881233215332,133396.63817785998,820000,22865,0.0064
6221,989.9405517578125,-58274.671875,19.93,133,-0.9406383633613586,207474,66.24947357177734,133486.07851682,830000,23352,0.0064
6302,993.0033569335938,-58220.74609375,19.44,133,2.742210865020752,209974,68.28248596191406,133398.37297849,840000,23858,0.0064
6383,1089.2880859375,-62060.9296875,20.09,133,-3.6219377517700195,212474,64.76704406738281,133378.92353111002,850000,24362,0.0064
6462,879.9234008789062,-65319.3046875,19.61,133,-2.1763038635253906,214974,67.45193481445312,131388.29219478002,860000,24863,0.0064
6542,802.4180297851562,-65412.828125,19.73,132,1.2698235511779785,217474,64.76648712158203,133392.79045192,870000,25373,0.0064
6621,720.2567138671875,-64186.40234375,20.08,132,0.9024847745895386,219974,55.8773193359375,133083.8498732,880000,25828,0.0064
6701,1049.1932373046875,-63561.328125,19.21,132,0.19705790281295776,222474,59.67974090576172,133503.34401986,890000,26306,0.0064
6780,891.9134521484375,-61624.90234375,29.0,132,-2.0950419902801514,224974,59.338035583496094,130226.70761162002,900000,26711,0.0064
6860,908.2520751953125,-58969.3515625,29.73,132,-3.3337535858154297,227474,55.22780227661133,130025.33070563,910000,27028,0.0064
6940,822.4241333007812,-55396.82421875,19.47,132,2.604161024093628,229974,57.682098388671875,133095.07037603998,920000,27367,0.0064
7020,1103.8182373046875,-55625.3359375,28.58,132,0.8570753335952759,232474,59.93509292602539,129679.2253121,930000,27802,0.0064
7100,840.1396484375,-53268.796875,18.93,132,-0.036276429891586304,234974,58.9593391418457,133005.98460228002,940000,28320,0.0064
7178,963.7070922851562,-56512.63671875,19.57,132,-0.6980801820755005,237474,56.06646728515625,132883.02110163,950000,28832,0.0064
7256,810.7804565429688,-57568.7421875,19.59,132,1.0276659727096558,239974,55.40077590942383,131458.05465077003,960000,29335,0.0064
7334,914.3350219726562,-57196.06640625,25.52,132,-0.7385139465332031,242474,62.32653045654297,125813.77416802998,970000,29789,0.0064
7414,977.285888671875,-59262.62890625,19.27,132,2.9421072006225586,244974,67.26676940917969,133191.69004768,980000,30062,0.0064
7493,852.2018432617188,-56828.92578125,29.69,132,0.6414725184440613,247474,57.172306060791016,130357.39227692,990000,30463,0.0064
7570,1135.876220703125,-55103.1953125,20.07,132,1.022438406944275,249974,60.5672607421875,133281.27893238,1000000,30892,0.0064
