time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,time/episodes,time/time_elapsed,train/critic_loss,time/fps,train/ent_coef_loss,train/actor_loss,train/n_updates,train/learning_rate,eval/mean_ep_length,eval/mean_reward
312,-1795.4323455,27.75,0.9919861555099487,4,1,4352.0498046875,289,-0.09954243898391724,0.021029308438301086,26,0.001,,
808,-2420.04838975,37.875,0.9712502956390381,8,2,3398.8876953125,330,-0.3279751241207123,-41.718013763427734,88,0.001,,
1512,-2907.82376375,51.833333333333336,0.9523786902427673,12,4,6856.8818359375,336,0.0003233144525438547,-121.6746826171875,176,0.001,,
2120,-4157.8006860000005,72.9375,0.953080415725708,16,6,7280.44970703125,345,0.16791459918022156,-139.21441650390625,252,0.001,,
2544,-6685.259546666666,101.61904761904762,0.9615927934646606,20,7,6188.525390625,350,0.2587990164756775,-157.701171875,305,0.001,,
2952,-6408.093492583333,97.33333333333333,0.9734985828399658,24,8,10003.0185546875,350,0.20109400153160095,-106.36509704589844,356,0.001,,
3432,-6052.920048107141,92.28571428571429,0.992535412311554,28,9,2774.000732421875,352,0.033478204160928726,-50.925445556640625,416,0.001,,
3616,-6133.030602218751,97.5625,0.9985648989677429,32,10,3373.07275390625,352,0.0069127073511481285,46.19744110107422,439,0.001,,
4136,-6141.37207413889,99.66666666666667,1.0089248418807983,36,11,7579.85009765625,352,-0.010422026738524437,64.94819641113281,504,0.001,,
4352,-5936.967952450001,96.6,1.0111896991729736,40,12,3318.37646484375,352,-0.011023888364434242,39.38492202758789,531,0.001,,
5216,-5797.746086477273,96.6590909090909,1.0250465869903564,44,14,3726.368896484375,353,-0.05850563943386078,135.96884155273438,639,0.001,,
5760,-5756.961838812501,100.625,1.0346072912216187,48,16,4653.04345703125,352,-0.04975803196430206,103.94927978515625,707,0.001,,
6176,-5594.801511346155,99.5576923076923,1.0380604267120361,52,17,5278.716796875,351,-0.0034804982133209705,82.77869415283203,759,0.001,,
6536,-5618.510046142857,102.01785714285714,1.0383858680725098,56,18,1736.521240234375,350,0.051746465265750885,90.00990295410156,804,0.001,,
7112,-5614.111062233334,105.5,1.0334534645080566,60,20,2558.4326171875,351,0.05965480953454971,144.82281494140625,876,0.001,,
7568,-5474.153664656251,106.15625,1.0287282466888428,64,21,4312.7197265625,351,0.009237260557711124,136.1290283203125,933,0.001,,
