time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/policy_loss,time/time_elapsed,train/value_loss,train/explained_variance,train/n_updates,train/std,train/entropy_loss,train/learning_rate
10000,-389742.6831113378,115.35135135135135,2637,-56269.6875,3,59018376.0,-3.0994415283203125e-06,124,1.0009087324142456,-12.77901554107666,0.0001
20000,-411800.5665584,136.95,2646,-197721.15625,7,627808384.0,1.5497207641601562e-06,249,1.001299500465393,-12.781866073608398,0.0001
30000,-354648.22441283,110.86,2648,-161307.71875,11,312928736.0,-5.602836608886719e-06,374,1.0010619163513184,-12.77973747253418,0.0001
40000,-339366.27781135996,111.8,2649,-227610.75,15,1113097344.0,-4.76837158203125e-07,499,1.0010968446731567,-12.780065536499023,0.0001
50000,-325203.52294335,111.65,2635,-66337.4140625,18,71325256.0,-7.152557373046875e-07,624,1.0010364055633545,-12.77921199798584,0.0001
60000,-319236.56343564996,104.18,2637,-153292.046875,22,196374128.0,1.1920928955078125e-07,749,1.0009416341781616,-12.778935432434082,0.0001
70000,-331784.76063411,113.97,2638,-184127.828125,26,596167360.0,-1.1920928955078125e-07,874,1.000831127166748,-12.778162956237793,0.0001
80000,-344049.86579385,122.11,2638,-86189.75,30,88781424.0,-1.6689300537109375e-06,999,1.000521183013916,-12.77567195892334,0.0001
90000,-299922.06098156003,109.64,2634,-141211.59375,34,224175232.0,2.980232238769531e-07,1124,1.0006531476974487,-12.77611255645752,0.0001
100000,-287876.94726849,102.26,2633,-152079.46875,37,237453536.0,0.0,1249,1.0001673698425293,-12.771984100341797,0.0001
110000,-286651.15567769,106.54,2632,-198577.40625,41,677525120.0,2.384185791015625e-07,1374,1.0003623962402344,-12.773553848266602,0.0001
120000,-289054.88296138996,114.06,2632,-291459.375,45,1028997952.0,1.1920928955078125e-07,1499,1.0001614093780518,-12.77208423614502,0.0001
130000,-233936.86823109005,87.05,2631,-248521.125,49,816918592.0,0.0,1624,0.9998450875282288,-12.76938533782959,0.0001
140000,-258703.54049302998,97.63,2631,-309638.6875,53,1692858496.0,5.960464477539063e-08,1749,0.9995720386505127,-12.766114234924316,0.0001
150000,-239033.92386973999,96.8,2630,-78234.1796875,57,92073712.0,0.0,1874,0.9995673298835754,-12.766383171081543,0.0001
160000,-215305.22260828,86.74,2629,-239739.296875,60,762615936.0,1.7881393432617188e-07,1999,0.9998513460159302,-12.769129753112793,0.0001
170000,-248525.19992696997,97.96,2628,-251597.34375,64,1182698240.0,0.0,2124,0.9999099373817444,-12.769203186035156,0.0001
180000,-235111.58410868997,99.88,2628,-100626.453125,68,109805296.0,0.0,2249,0.9995740056037903,-12.76661491394043,0.0001
190000,-244567.84513364002,108.22,2627,-206089.59375,72,748059904.0,0.0,2374,0.9990109205245972,-12.761066436767578,0.0001
200000,-203144.87375392002,87.91,2626,-87611.796875,76,94090984.0,-1.1920928955078125e-07,2499,0.9990593791007996,-12.761402130126953,0.0001
210000,-208856.56730355002,88.59,2623,-95660.9609375,80,192442384.0,0.0,2624,0.9983952045440674,-12.756219863891602,0.0001
220000,-200209.65800583,83.94,2623,-279811.40625,83,1249495296.0,0.0,2749,0.9985064268112183,-12.75663948059082,0.0001
230000,-206693.20393791996,90.24,2622,-117007.734375,87,170719280.0,-1.1920928955078125e-07,2874,0.9983539581298828,-12.755146026611328,0.0001
