time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/policy_loss,time/time_elapsed,train/value_loss,train/explained_variance,train/n_updates,train/std,train/entropy_loss,train/learning_rate
240000,-211698.16807540998,106.83,2615,-198077.0625,91,763239680.0,0.0,2999,0.9985932111740112,-12.757667541503906,0.0001
250000,-206412.86854491997,96.38,2605,-291181.78125,95,1354108544.0,0.0,3124,0.9980344772338867,-12.752440452575684,0.0001
260000,-191594.71178631,95.7,2582,-106146.0390625,100,97839792.0,0.0,3249,0.9980493187904358,-12.753016471862793,0.0001
270000,-197500.76925910002,97.4,2570,32925.3046875,105,457328224.0,0.0,3374,0.9976322650909424,-12.748358726501465,0.0001
280000,-196025.46852956002,91.82,2561,-80820.734375,109,118999784.0,1.1920928955078125e-07,3499,0.9973486661911011,-12.74592399597168,0.0001
290000,-177921.9224652,84.94,2556,-89297.859375,113,97432688.0,0.0,3624,0.9970567226409912,-12.744026184082031,0.0001
300000,-175953.22853602,79.91,2544,-154916.984375,117,804134592.0,0.0,3749,0.9970905780792236,-12.743755340576172,0.0001
310000,-177622.87603411998,82.48,2523,-100367.296875,122,390358304.0,1.1920928955078125e-07,3874,0.9965528845787048,-12.738832473754883,0.0001
320000,-168205.72170845003,75.96,2519,-93769.9765625,127,141765696.0,-1.1920928955078125e-07,3999,0.9962584376335144,-12.736152648925781,0.0001
330000,-180499.43130396,88.14,2512,-85521.6640625,131,154157408.0,-1.1920928955078125e-07,4124,0.9957348704338074,-12.731433868408203,0.0001
340000,-165771.22035616,78.19,2504,-79355.328125,135,143887728.0,0.0,4249,0.9953036904335022,-12.727906227111816,0.0001
350000,-178436.02357330997,89.77,2497,-252998.828125,140,1124969856.0,0.0,4374,0.9949071407318115,-12.724053382873535,0.0001
360000,-175448.90784739997,94.44,2481,-79196.1015625,145,125988288.0,0.0,4499,0.9942507147789001,-12.717939376831055,0.0001
370000,-181358.59589924998,87.91,2473,-66695.359375,149,61371864.0,1.1920928955078125e-07,4624,0.9942629933357239,-12.717681884765625,0.0001
380000,-175832.78712495,94.2,2464,-82368.8984375,154,316830016.0,0.0,4749,0.9938883185386658,-12.714788436889648,0.0001
390000,-157574.6477309,74.83,2452,-225850.796875,159,1018194240.0,1.1920928955078125e-07,4874,0.9938201904296875,-12.713647842407227,0.0001
400000,-183589.09806304998,100.54,2450,-44798.48046875,163,35063816.0,-1.1920928955078125e-07,4999,0.993485689163208,-12.710667610168457,0.0001
410000,-186991.48390956002,98.67,2441,-38787.0703125,167,29656858.0,0.0,5124,0.9933353066444397,-12.709863662719727,0.0001
420000,-178122.31161268,92.62,2439,-176996.578125,172,598998720.0,0.0,5249,0.9935675859451294,-12.711877822875977,0.0001
430000,-196789.06348548998,114.28,2435,-20806.111328125,176,18369152.0,0.0,5374,0.9931004047393799,-12.70793342590332,0.0001
440000,-179215.41732538998,102.83,2426,-132248.1875,181,740920128.0,0.0,5499,0.9930675029754639,-12.707026481628418,0.0001
450000,-158231.7677849,84.38,2418,-21466.80078125,186,13896682.0,0.0,5624,0.9932121634483337,-12.708269119262695,0.0001
460000,-159344.66217812,92.9,2418,-198823.234375,190,643808768.0,0.0,5749,0.993078887462616,-12.70728874206543,0.0001
470000,-166658.57033383002,90.32,2413,-70515.609375,194,321201216.0,0.0,5874,0.9924131035804749,-12.70102596282959,0.0001
480000,-157863.41530318002,85.03,2406,-200181.4375,199,926260864.0,0.0,5999,0.9921229481697083,-12.698634147644043,0.0001
490000,-173676.03332118,95.81,2407,-76209.046875,203,71474560.0,0.0,6124,0.9922654032707214,-12.70023250579834,0.0001
500000,-158641.94637389,82.77,2407,-39312.33203125,207,38250136.0,0.0,6249,0.9917593002319336,-12.695379257202148,0.0001
510000,-157004.022715,90.14,2407,-54672.23828125,211,50761848.0,0.0,6374,0.991637647151947,-12.694029808044434,0.0001
520000,-145312.00093058997,80.06,2404,-277017.8125,216,1309216512.0,5.960464477539063e-08,6499,0.9919096827507019,-12.696202278137207,0.0001
530000,-160439.03588783997,85.74,2402,-102064.578125,220,176517440.0,1.1920928955078125e-07,6624,0.991614043712616,-12.69361686706543,0.0001
540000,-159503.08732254,88.24,2404,-239888.375,224,1032324480.0,0.0,6749,0.9921282529830933,-12.698259353637695,0.0001
550000,-155338.85281239,82.28,2405,-13264.8544921875,228,9263270.0,-1.1920928955078125e-07,6874,0.9917542934417725,-12.69466495513916,0.0001
560000,-155321.02153044,91.99,2406,-44455.52734375,232,28494912.0,1.1920928955078125e-07,6999,0.9914942979812622,-12.692566871643066,0.0001
570000,-138287.44494209002,78.13,2402,-221393.0,237,706194560.0,0.0,7124,0.991878092288971,-12.696751594543457,0.0001
580000,-142611.11391030002,77.9,2400,-40235.3046875,241,23081890.0,0.0,7249,0.9913638234138489,-12.691620826721191,0.0001
590000,-151185.5063142,83.72,2395,-142183.546875,246,472082112.0,1.1920928955078125e-07,7374,0.9913864135742188,-12.691981315612793,0.0001
600000,-154119.47829081,88.72,2392,-176422.859375,250,585111040.0,0.0,7499,0.9910456538200378,-12.688824653625488,0.0001
610000,-148665.39874985002,88.27,2391,-146632.078125,255,646912896.0,0.0,7624,0.9904403686523438,-12.682920455932617,0.0001
620000,-147085.28402147,84.47,2392,-144434.140625,259,796346240.0,0.0,7749,0.990489661693573,-12.684453964233398,0.0001
630000,-146910.15078082,89.42,2395,-43836.57421875,263,29654310.0,0.0,7874,0.9901463985443115,-12.68052864074707,0.0001
640000,-130647.46708321,67.29,2397,-279382.6875,266,1418977664.0,0.0,7999,0.9898839592933655,-12.678118705749512,0.0001
650000,-137722.98971343003,82.24,2400,-50987.95703125,270,241767680.0,0.0,8124,0.9899466633796692,-12.678004264831543,0.0001
660000,-134816.56080454,77.53,2400,-14478.513671875,274,9803737.0,0.0,8249,0.9899181723594666,-12.67875862121582,0.0001
670000,-141022.2417219,84.9,2401,-110515.7734375,278,501771936.0,0.0,8374,0.9905060529708862,-12.683642387390137,0.0001
680000,-141497.50258257,79.2,2403,-213991.125,282,1206251776.0,-1.1920928955078125e-07,8499,0.9897677302360535,-12.676933288574219,0.0001
690000,-126474.86224837003,70.66,2404,-240985.59375,286,1128517888.0,0.0,8624,0.9900545477867126,-12.67952823638916,0.0001
700000,-128757.83659389001,71.45,2405,-11281.9599609375,291,15548358.0,1.1920928955078125e-07,8749,0.9906398057937622,-12.684918403625488,0.0001
710000,-134671.062564,83.66,2405,-172618.0,295,785700736.0,0.0,8874,0.9906100034713745,-12.68463134765625,0.0001
720000,-125152.81511595,70.36,2403,-63213.6796875,299,360958144.0,-1.1920928955078125e-07,8999,0.9906699061393738,-12.684466361999512,0.0001
730000,-135397.02078553,85.06,2404,-10046.546875,303,125605872.0,-2.384185791015625e-07,9124,0.989841878414154,-12.677521705627441,0.0001
740000,-142107.39795619997,90.69,2400,-111166.765625,308,511550912.0,0.0,9249,0.9892855882644653,-12.672356605529785,0.0001
750000,-135681.15068519002,78.25,2400,-237959.46875,312,1249108992.0,5.960464477539063e-08,9374,0.9894282221794128,-12.673437118530273,0.0001
760000,-135055.03312860001,87.7,2399,-171605.921875,316,590482240.0,5.960464477539063e-08,9499,0.9892887473106384,-12.672406196594238,0.0001
770000,-133212.75806124,83.57,2397,-139324.34375,321,568555776.0,0.0,9624,0.9887601137161255,-12.667510986328125,0.0001
780000,-127559.29565342002,76.89,2395,-17308.96484375,325,20132976.0,0.0,9749,0.9886375069618225,-12.666472434997559,0.0001
790000,-139907.33418001002,95.1,2396,-171856.1875,329,1128110464.0,0.0,9874,0.9886937737464905,-12.66685676574707,0.0001
800000,-138250.70952630998,88.12,2396,-39712.40625,333,28741392.0,0.0,9999,0.9883632659912109,-12.663887023925781,0.0001
810000,-136136.81110748998,86.95,2394,-63963.33203125,338,56151188.0,1.1920928955078125e-07,10124,0.9884217381477356,-12.664512634277344,0.0001
820000,-137604.17450505,83.15,2392,-202063.609375,342,1021732224.0,-1.1920928955078125e-07,10249,0.9888964891433716,-12.668457984924316,0.0001
830000,-128867.91888555,72.12,2388,-131338.8125,347,536579904.0,0.0,10374,0.9895000457763672,-12.67446231842041,0.0001
840000,-129304.55587748998,74.76,2387,-147723.21875,351,581859840.0,0.0,10499,0.989639401435852,-12.675488471984863,0.0001
850000,-138933.47355033,80.15,2385,-137623.71875,356,518515360.0,0.0,10624,0.9899423122406006,-12.678498268127441,0.0001
