train/learning_rate,train/ent_coef_loss,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,time/fps,time/episodes,train/critic_loss,train/actor_loss
0.0055,-82.31224822998047,107.32222222222222,54,50.1982307434082,10000,-3500373.8316698116,2474,184,90,61647560.0,103871.90625
0.0055,-18.31687355041504,18.29,111,96.999755859375,20000,-269836.03384488,4974,180,496,50441744.0,91282.859375
0.0055,7.947371006011963,9.76,164,107.91197967529297,30000,-176182.93668008,7474,181,1312,42833924.0,105285.25
0.0055,14.594219207763672,8.8,220,73.28988647460938,40000,-162655.47436906,9974,181,2378,103226016.0,166855.453125
0.0055,13.050992965698242,7.61,282,30.239044189453125,50000,-154432.56104134998,12474,177,3474,19524448.0,120399.5390625
0.0055,-0.8178613185882568,7.25,342,18.766204833984375,60000,-151294.12833777,14974,175,4681,16568535.0,108298.578125
0.0055,-4.447259902954102,10.84,404,18.710765838623047,70000,-217569.91912933,17474,172,5781,20224548.0,111772.625
0.0055,-0.06605243682861328,14.86,463,43.35539245605469,80000,-236756.85091952997,19974,172,6496,45917564.0,127528.546875
0.0055,-1.2578134536743164,8.27,522,20.948644638061523,90000,-155677.43647934002,22474,172,7654,15199510.0,101665.40625
0.0055,18.992931365966797,24.39,576,97.78150939941406,100000,-292067.13857252,24974,173,8073,32707922.0,92081.3515625
0.0055,1.440007209777832,19.69,628,71.23359680175781,110000,-71842.57614647999,27474,174,8520,57679748.0,57074.390625
0.0055,2.4629323482513428,27.76,692,68.33055877685547,120000,-167167.83621299,29974,173,9031,37181808.0,35927.00390625
0.0055,2.8786847591400146,17.31,752,56.73750305175781,130000,-41272.106271599994,32474,172,9467,31052012.0,25795.162109375
0.0055,2.344179153442383,16.32,815,37.689918518066406,140000,-33519.44772179,34974,171,10070,15353452.0,6361.13232421875
0.0055,6.407558441162109,20.28,877,46.63232421875,150000,-75319.30710476,37474,170,10615,13936040.0,8234.0
0.0055,2.3602330684661865,17.1,938,40.8150520324707,160000,-41543.3811485,39974,170,11217,19450230.0,-8598.2890625
0.0055,2.8459153175354004,16.12,999,36.62812805175781,170000,-29211.137503550002,42474,170,11723,25936844.0,-4122.38427734375
0.0055,-0.932113766670227,21.6,1062,40.612667083740234,180000,-87144.0,44974,169,12283,46227440.0,4647.61669921875
0.0055,-16.3057804107666,17.5,1125,41.75127410888672,190000,-122236.66832781,47474,168,12862,109343296.0,10682.3798828125
0.0055,4.986392021179199,16.84,1188,51.23124694824219,200000,-36512.02580149,49974,168,13417,16627545.0,-1443.671142578125
0.0055,-0.22310185432434082,16.01,1252,42.191871643066406,210000,-28098.5,52474,167,14031,23790724.0,-8355.3212890625
0.0055,13.45335865020752,23.06,1313,89.40442657470703,220000,-118989.27242199,54974,167,14365,33839756.0,22206.90625
0.0055,3.4243149757385254,15.31,1372,46.60969161987305,230000,-23208.52871812,57474,167,14941,24883732.0,2684.989990234375
0.0055,2.3942501544952393,14.33,1433,56.69533920288086,240000,-12976.45062596,59974,167,15621,24870836.0,5979.78173828125
0.0055,-6.253782749176025,14.35,1493,48.7935905456543,250000,-11277.40019785,62474,167,16302,9784932.0,-11077.486328125
0.0055,2.3120975494384766,14.85,1553,53.09354782104492,260000,-16348.88281645,64974,167,16868,45767824.0,-16988.03125
0.0055,-1.0553877353668213,14.06,1612,49.815677642822266,270000,-8346.21254504,67474,167,17556,10403748.0,-12645.4658203125
0.0055,8.110676765441895,15.13,1669,71.75809478759766,280000,-28625.89717098,69974,167,18232,24482140.0,-17458.4765625
0.0055,25.27381706237793,25.18,1727,286.2359619140625,290000,-220230.84243168,72474,167,18826,183396288.0,-28280.50390625
0.0055,10.04136848449707,14.39,1788,90.14814758300781,300000,-11689.7,74974,167,19439,17354272.0,-14915.119140625
0.0055,3.5567128658294678,14.22,1849,77.97249603271484,310000,-9962.2,77474,167,20156,31416010.0,-5978.427734375
0.0055,6.060893535614014,13.93,1909,59.86105728149414,320000,-7024.8481768,79974,167,20843,29556830.0,-12849.302734375
0.0055,15.555976867675781,14.9,1966,95.1377182006836,330000,-18763.79243578,82474,167,21453,34805308.0,-8494.7265625
0.0055,-93.60787963867188,14.17,2025,74.16844940185547,340000,-15390.48564162,84974,167,22125,58745148.0,-6167.89697265625
0.0055,-3.870408058166504,13.96,2086,75.66667175292969,350000,-7327.760843550001,87474,167,22553,57833844.0,3272.358642578125
0.0055,3.876525402069092,14.13,2149,86.99244689941406,360000,-9053.37216827,89974,167,23155,38234152.0,20685.52734375
0.0055,6.32147216796875,13.33,2206,74.04815673828125,370000,-946.5,92474,167,23822,24974528.0,3107.557861328125
0.0055,0.3691474199295044,13.56,2263,73.2492904663086,380000,-3272.88554366,94974,167,24520,19162754.0,-2714.29052734375
0.0055,3.728801727294922,13.67,2325,75.93968200683594,390000,-8341.13856262,97474,167,25232,15747961.0,-15976.890625
0.0055,29.01837921142578,33.42,2384,1037.268798828125,400000,-480975.15110386,99974,167,25789,404670912.0,71873.3984375
0.0055,20.738187789916992,14.54,2448,279.6502380371094,410000,-13203.95468933,102474,167,26371,37763032.0,12503.69921875
0.0055,2.1329314708709717,13.54,2514,73.34498596191406,420000,-3071.20285809,104974,167,27095,48520768.0,-5872.47412109375
0.0055,22.23421859741211,14.18,2580,140.3077392578125,430000,-9553.5895382,107474,166,27657,21918992.0,15816.2158203125
0.0055,-90.88723754882812,17.63,2641,174.1356964111328,440000,-81064.45199041,109974,166,28245,149040640.0,20934.73046875
0.0055,-17.182723999023438,22.7,2703,134.37081909179688,450000,-205243.45721018995,112474,166,28834,36538720.0,19043.970703125
0.0055,1.6886463165283203,13.71,2772,45.77989959716797,460000,-4792.3,114974,165,29532,16937792.0,1032.45068359375
0.0055,25.366458892822266,41.18,2837,224.3153839111328,470000,-618227.73700803,117474,165,30068,66929980.0,27033.6484375
0.0055,2.045661687850952,13.3,2903,55.09883499145508,480000,-642.1918338199999,119974,165,30790,10972876.0,-13132.27734375
0.0055,-17.154556274414062,13.82,2966,70.15560913085938,490000,-5906.7508505999995,122474,165,31317,29989610.0,-1854.8125
0.0055,-2.5417120456695557,13.24,3027,49.698246002197266,500000,-31.2,124974,165,32066,13025193.0,9207.2568359375
0.0055,14.100507736206055,18.01,3086,59.520957946777344,510000,-65145.58556901001,127474,165,32719,14569621.0,7124.60888671875
0.0055,12.451301574707031,14.83,3146,182.9547882080078,520000,-17853.47563344,129974,165,33231,45430504.0,8446.1181640625
0.0055,3.215885877609253,13.5,3210,79.97883605957031,530000,-2666.04320297,132474,165,33856,51823996.0,6690.3623046875
0.0055,-2.7491776943206787,13.14,3269,65.12252044677734,540000,980.9,134974,165,34609,10245660.0,-5415.2509765625
0.0055,-63.17924499511719,18.76,3328,395.9226379394531,550000,-120242.32452831003,137474,165,35290,337366464.0,9894.97265625
0.0055,8.612133026123047,16.12,3388,102.19464111328125,560000,-75793.16968642,139974,165,35861,35794420.0,783.8084106445312
0.0055,3.366182327270508,15.19,3448,125.87675476074219,570000,-101702.62825438,142474,165,36536,28019026.0,6315.9013671875
0.0055,1.5952881574630737,13.59,3512,70.3243408203125,580000,-5682.45232219,144974,165,37292,64183996.0,-6835.60595703125
0.0055,17.66353988647461,33.08,3576,121.7225112915039,590000,-315753.31007401,147474,164,37770,47963680.0,20885.482421875
0.0055,1.4467697143554688,13.23,3635,58.56942367553711,600000,70.1,149974,165,38468,20303116.0,-9819.03515625
0.0055,-2.1532464027404785,12.91,3700,54.66718292236328,610000,-561.4766791799999,152474,164,39183,55445272.0,-10356.494140625
0.0055,-28.58162498474121,13.17,3764,60.059974670410156,620000,-1272.9595163600002,154974,164,39938,39812400.0,-9230.0244140625
