train/learning_rate,time/total_timesteps,rollout/ep_len_mean,train/loss,train/value_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/std,time/time_elapsed,train/approx_kl,time/fps,train/explained_variance,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean
0.0003,10000,29.7,3704641792.0,7586287000.4,10,0.2,-0.002946440439154685,0.9999285936355591,6,0.0019488239,1428,-7.152557373046875e-07,-12.770166826993227,0.00029296875,-224372.69087062997
0.0003,20000,26.08,3660985856.0,7397225598.8,20,0.2,-0.0015772781415762439,0.9998226165771484,13,0.0010520351,1429,1.1920928955078125e-07,-12.769417837262154,0.0,-187229.94364272003
0.0003,30000,28.58,3331297024.0,6904296169.2,30,0.2,-0.0012250606936504483,0.999588668346405,20,0.0008052263,1428,0.0,-12.767830869555473,0.0,-199747.38693173
0.0003,40000,26.42,3451122688.0,6928561412.8,40,0.2,-0.0008891745328583056,0.9994795322418213,28,0.0005789937,1421,0.0,-12.766256585717201,0.0,-190693.59183267
0.0003,50000,21.07,3369654528.0,6899116608.0,60,0.2,-0.0007317051396967145,0.999451220035553,38,0.00042857789,1298,5.960464477539063e-08,-12.766000992059707,0.0,-171454.48501473
0.0003,60000,23.65,3201103872.0,6939850007.6,70,0.2,-0.0007192535011199652,0.9991387128829956,45,0.00031191052,1317,-1.1920928955078125e-07,-12.76408722177148,0.0,-178440.50798611995
0.0003,70000,23.58,3186991104.0,7229426446.0,80,0.2,-0.0006393281237251358,0.9991372227668762,52,0.00033136582,1335,5.960464477539063e-08,-12.762703910470009,0.0,-174935.33316417
0.0003,80000,27.4,3095735808.0,6911247343.2,90,0.2,-0.0005612027214738191,0.9992572069168091,59,0.00027887718,1347,5.960464477539063e-08,-12.763174969702959,0.0,-186901.73684877998
0.0003,90000,25.31,3854516736.0,7307265219.6,100,0.2,-0.0010183453410718356,0.9992525577545166,66,0.0004998967,1357,0.0,-12.763694575428962,0.0,-182506.41249566
0.0003,100000,29.06,3778279168.0,6974817935.2,120,0.2,-0.0006709610570396762,0.9989984035491943,76,0.0003665114,1304,0.0,-12.761924764513969,0.0,-195699.57186517995
0.0003,110000,22.27,3676516864.0,6970561501.2,130,0.2,-0.0004679196141296416,0.9989672899246216,83,0.00022734595,1316,-1.1920928955078125e-07,-12.761263946443796,0.0,-162593.40229535
0.0003,120000,22.28,3488000512.0,7100002354.0,140,0.2,-0.0006600123481803166,0.9989239573478699,90,0.00026064442,1325,-1.1920928955078125e-07,-12.760883308947086,0.0,-167983.65812578
0.0003,130000,24.58,3510707200.0,7038767810.4,150,0.2,-0.0005549318824705551,0.9990208745002747,97,0.0002019718,1333,5.960464477539063e-08,-12.761098672449588,0.0,-177679.98640477995
0.0003,140000,27.93,3163146752.0,6673491226.8,170,0.2,-0.0008489484456731588,0.9988772869110107,108,0.0005083479,1293,0.0,-12.760881761461496,0.0,-190169.95674753998
0.0003,150000,22.62,3776782080.0,6816240334.8,180,0.2,-0.0005193875957047566,0.99868243932724,115,0.00026261463,1300,0.0,-12.759444247186185,0.0,-168844.61195441
0.0003,160000,22.77,3283268864.0,6747378859.2,190,0.2,-0.000799582888794248,0.9985606670379639,122,0.00041892604,1306,0.0,-12.758008555322885,0.0,-165825.50332517
0.0003,170000,23.3,3885402368.0,7075445526.8,200,0.2,-0.000918189490766963,0.9983046650886536,129,0.00053093286,1312,5.960464477539063e-08,-12.756258618086576,0.0,-162711.62684652998
0.0003,180000,26.2,3360913920.0,6455236026.4,210,0.2,-0.0010147191571377335,0.9980180263519287,136,0.000672339,1317,-1.1920928955078125e-07,-12.753762936592102,0.0,-175280.91285815
0.0003,190000,26.46,3339081472.0,7032155869.2,230,0.2,-0.0009581496905866516,0.9980857372283936,147,0.00050669006,1290,-1.1920928955078125e-07,-12.75293347015977,0.0,-181803.67227168998
0.0003,200000,27.3,3215018240.0,6735779188.8,240,0.2,-0.0011334840397921654,0.997918963432312,154,0.0006634881,1296,0.0,-12.752327797561884,0.0,-176961.12798690997
0.0003,210000,22.58,3154700288.0,6586469171.2,250,0.2,-0.0006819138203354669,0.9978379011154175,161,0.00035783942,1301,0.0,-12.75122449249029,0.0,-165709.78423172
0.0003,220000,22.43,3591179264.0,6805950259.2,260,0.2,-0.00044345695332594917,0.9973824620246887,168,0.00014924663,1306,1.1920928955078125e-07,-12.748797789216042,0.0,-166666.14606735
0.0003,230000,25.25,3046205184.0,6499925720.0,280,0.2,-0.0011213990906071558,0.9970305562019348,178,0.00069518224,1285,0.0,-12.743392375856638,0.0,-177306.04672103998
0.0003,240000,26.97,3007369728.0,6563788432.8,290,0.2,-0.0006504610204501659,0.9972856044769287,186,0.0003427643,1289,0.0,-12.744735475629568,0.0,-181730.56970721003
0.0003,250000,23.73,2975654656.0,6420054657.2,300,0.2,-0.0005025641143220127,0.9972479939460754,193,0.00016482177,1294,0.0,-12.74571626856923,0.0,-174018.90084940995
0.0003,260000,26.36,3669272064.0,6589517718.8,310,0.2,-0.0010507923750992631,0.9970065355300903,200,0.0007028433,1298,0.0,-12.744448538124562,0.0,-165336.59698168
0.0003,270000,29.95,2904847872.0,6391369940.0,320,0.2,-0.0009661557918661856,0.9964444637298584,208,0.00059233385,1295,0.0,-12.740769310295581,0.0,-190041.39287475002
0.0003,280000,24.91,3314493952.0,6653929926.8,340,0.2,-0.0009002570072880189,0.9960644245147705,218,0.00048977614,1279,0.0,-12.735832372307778,0.0,-175066.25960667
0.0003,290000,24.4,3331076608.0,6583582230.0,350,0.2,-0.0008709031384569243,0.9959701895713806,225,0.0004996129,1284,0.0,-12.734328724443913,0.0,-176038.29881568
0.0003,300000,24.71,3503898112.0,6522343020.0,360,0.2,-0.0009676812001998769,0.9959878921508789,232,0.000575052,1288,0.0,-12.734072342514992,0.0,-177564.92764765996
0.0003,310000,25.04,3520583680.0,6653798844.4,370,0.2,-0.0007735693623544648,0.9960110783576965,239,0.00033877246,1292,0.0,-12.734219444543124,0.0,-172588.00352022
0.0003,320000,22.27,3379603712.0,6598547426.8,390,0.2,-0.0007693661807934404,0.9954688549041748,250,0.0003891499,1278,-1.1920928955078125e-07,-12.730275256931781,0.0,-169006.30926053
0.0003,330000,31.11,2894532608.0,6344079414.0,400,0.2,-0.0011992740746791242,0.9952598214149475,257,0.0007473436,1282,5.960464477539063e-08,-12.728422352671624,0.0,-200403.09792109995
0.0003,340000,23.99,3535198720.0,6443714570.4,410,0.2,-0.0007659628903638804,0.9950814843177795,264,0.00050756894,1286,0.0,-12.726724752783776,0.0,-172424.12304287002
0.0003,350000,24.61,3144452096.0,6449627071.2,420,0.2,-0.0009892098853015341,0.9948139190673828,271,0.00050742493,1290,0.0,-12.724677123874425,0.0,-171151.26117485
0.0003,360000,20.78,3055732736.0,6369492212.4,430,0.2,-0.0005984956724205404,0.9943147301673889,278,0.00023464409,1294,0.0,-12.721217267215252,0.0,-149463.83152563
0.0003,370000,22.31,3193179392.0,6106329778.8,450,0.2,-0.0008719743304027361,0.994221568107605,288,0.0005651001,1282,0.0,-12.718592173606158,0.0,-160407.95221195
0.0003,380000,26.27,3662654720.0,6561148991.6,460,0.2,-0.0005447706736958935,0.994135320186615,295,0.000282833,1285,0.0,-12.71767741367221,0.0,-171387.29342202
0.0003,390000,22.15,2910550016.0,6116853683.6,470,0.2,-0.0008847445540595799,0.9942184090614319,302,0.0005612988,1289,5.960464477539063e-08,-12.71764483228326,0.0,-159295.21468728
0.0003,400000,22.61,3174657792.0,6521539144.4,480,0.2,-0.0005586969333307934,0.9941079020500183,309,0.00027336393,1292,0.0,-12.717538803070784,0.0,-166094.74472170998
0.0003,410000,20.92,3337352448.0,6404195716.4,500,0.2,-0.000828179137170082,0.9937964677810669,319,0.00039617936,1281,-1.1920928955078125e-07,-12.715358463674784,0.0,-154372.28027332
0.0003,420000,22.12,2905867776.0,6112532583.6,510,0.2,-0.0008341178236150881,0.9936853051185608,326,0.000425078,1284,0.0,-12.713597228378058,0.0,-157798.17886602
0.0003,430000,21.0,3198451200.0,6371956573.6,520,0.2,-0.0011460181493930578,0.9932479858398438,333,0.0007404239,1288,0.0,-12.711203116178513,0.0,-145616.71631671
0.0003,440000,20.67,2880082432.0,6283363036.4,530,0.2,-0.0006715494312629744,0.9932515621185303,340,0.00039815673,1290,5.960464477539063e-08,-12.709202288836241,0.0,-149950.91447738002
0.0003,450000,26.7,2913234688.0,6128899520.0,540,0.2,-0.0009961298086636817,0.9930327534675598,347,0.0006020549,1293,0.0,-12.708187730610371,0.0,-171557.45155717994
0.0003,460000,22.83,3381630464.0,6164060405.6,560,0.2,-0.0006762156504919403,0.9923267364501953,358,0.00036674947,1284,0.0,-12.702598650753497,0.0,-153269.11033258997
0.0003,470000,23.24,2961279488.0,6251768677.2,570,0.2,-0.0007998872280950309,0.9923059940338135,365,0.0004739014,1287,0.0,-12.700662676990031,0.0,-160106.63195310003
0.0003,480000,17.9,3351362304.0,6304169743.2,580,0.2,-0.0007957293360959739,0.992095410823822,372,0.00043961016,1289,0.0,-12.699626446515321,0.0,-145166.94104971
