time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/ent_coef,train/actor_loss,time/time_elapsed,time/fps,time/episodes,rollout/ep_rew_mean
10000,38.08,2474,-2.789095401763916,6750.0615234375,0.0064,50.71852493286133,40393.19921875,68,145,254,-119054.06549154001
20000,56.31,4974,-0.6252065896987915,4136.126953125,0.0064,38.16444778442383,28010.009765625,137,145,371,-96602.98247351003
30000,168.32,7474,2.1361498832702637,2420.649169921875,0.0064,17.562606811523438,14584.0078125,206,145,407,-94478.25334149999
