rollout/ep_rew_mean,time/fps,train/learning_rate,train/policy_loss,train/std,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/value_loss,time/time_elapsed,train/entropy_loss,train/explained_variance
-232899.61117250004,1902,0.0001,-315774.90625,0.9999349117279053,40.04,10000,124,1123372416.0,5,-12.769770622253418,-4.76837158203125e-07
-261778.95188057,1897,0.0001,-261708.875,1.0003445148468018,43.29,20000,249,889906304.0,10,-12.773711204528809,8.940696716308594e-07
-248046.98251094998,1896,0.0001,-333127.46875,1.0007203817367554,42.37,30000,374,1437253888.0,15,-12.776924133300781,-1.1920928955078125e-07
-250978.52903193,1895,0.0001,-306648.40625,1.000437617301941,43.37,40000,499,1038657344.0,21,-12.774412155151367,-7.152557373046875e-07
-265448.57542556,1894,0.0001,-439265.25,1.000275731086731,46.19,50000,624,2363865600.0,26,-12.772040367126465,0.0
-221846.76169182002,1892,0.0001,-465310.59375,0.9995124340057373,36.13,60000,749,2357363456.0,31,-12.765892028808594,5.960464477539063e-08
-243831.06368359,1889,0.0001,-358771.0625,0.9990195035934448,42.89,70000,874,1404388736.0,37,-12.761608123779297,-2.384185791015625e-07
-254064.98039865002,1887,0.0001,-385889.9375,0.9985402226448059,45.31,80000,999,1566889216.0,42,-12.757673263549805,0.0
-232320.58456129004,1884,0.0001,-384050.125,0.998320460319519,41.51,90000,1124,1677790080.0,47,-12.754997253417969,0.0
-242989.82183901,1883,0.0001,-347402.03125,0.9977238178253174,40.74,100000,1249,1272043136.0,53,-12.749883651733398,-1.1920928955078125e-07
-241362.37334605004,1881,0.0001,-256483.453125,0.997639536857605,45.75,110000,1374,790241600.0,58,-12.749290466308594,-1.1920928955078125e-07
-192192.61266964,1879,0.0001,-349750.1875,0.9979859590530396,33.9,120000,1499,1175509504.0,63,-12.752269744873047,0.0
-214875.1306655,1877,0.0001,-625887.375,0.9982293248176575,39.07,130000,1624,3233454848.0,69,-12.754420280456543,0.0
-212361.33410659002,1875,0.0001,-241628.5,0.9981979727745056,39.54,140000,1749,830786688.0,74,-12.75372314453125,1.1920928955078125e-07
-231571.55952419003,1873,0.0001,-377452.28125,0.997704803943634,44.37,150000,1874,1552925952.0,80,-12.749597549438477,-2.384185791015625e-07
-213825.21335436002,1872,0.0001,-348471.84375,0.9975599646568298,41.26,160000,1999,1596092160.0,85,-12.748377799987793,0.0
-223328.62898046002,1871,0.0001,-364933.59375,0.9968090057373047,42.76,170000,2124,1202651520.0,90,-12.74171257019043,-1.1920928955078125e-07
-219096.81087754,1869,0.0001,-325121.65625,0.9965497255325317,41.37,180000,2249,1182102400.0,96,-12.73875904083252,0.0
-200730.95249869,1867,0.0001,-220996.671875,0.9957775473594666,39.55,190000,2374,736472640.0,101,-12.732440948486328,0.0
-206470.75883816005,1866,0.0001,-368454.09375,0.9958184361457825,42.32,200000,2499,1513067648.0,107,-12.732213973999023,-1.1920928955078125e-07
-179700.36367085,1860,0.0001,-381930.65625,0.9954030513763428,33.74,210000,2624,1705348864.0,112,-12.728821754455566,5.960464477539063e-08
-197820.31077026002,1852,0.0001,-449201.4375,0.9957049489021301,38.96,220000,2749,2159704320.0,118,-12.731426239013672,0.0
-190664.62719965997,1837,0.0001,-324791.84375,0.9949511289596558,37.76,230000,2874,1220958336.0,125,-12.724181175231934,0.0
-199145.40721545,1826,0.0001,-235993.703125,0.9948315024375916,42.0,240000,2999,482104768.0,131,-12.723870277404785,0.0
-189268.42686391997,1815,0.0001,-380213.0625,0.9940346479415894,39.3,250000,3124,1784365824.0,137,-12.716160774230957,-1.1920928955078125e-07
-173817.00847945997,1813,0.0001,-523166.3125,0.9940697550773621,36.26,260000,3249,2777784576.0,143,-12.716882705688477,1.1920928955078125e-07
-185249.18983217,1803,0.0001,-317329.09375,0.9936367869377136,40.7,270000,3374,1248287360.0,149,-12.712297439575195,0.0
-192395.17626922,1799,0.0001,-290000.09375,0.9934147596359253,43.87,280000,3499,1016586624.0,155,-12.710376739501953,1.1920928955078125e-07
-178905.32432201,1799,0.0001,-364632.5,0.9929974675178528,39.55,290000,3624,2066582912.0,161,-12.706816673278809,0.0
-167852.30458066,1798,0.0001,-172885.015625,0.9927208423614502,38.14,300000,3749,1200426624.0,166,-12.704832077026367,0.0
-179154.68202281,1796,0.0001,-223056.78125,0.9927098751068115,39.77,310000,3874,740802880.0,172,-12.704192161560059,1.1920928955078125e-07
-174934.54749255,1792,0.0001,-369300.4375,0.9921573996543884,40.16,320000,3999,1748340480.0,178,-12.699122428894043,0.0
-161536.34508736,1786,0.0001,-88228.140625,0.9919354915618896,35.36,330000,4124,947727360.0,184,-12.696784019470215,0.0
-178275.73312985004,1782,0.0001,-261235.875,0.9914809465408325,42.05,340000,4249,961867648.0,190,-12.69284725189209,0.0
