time/episodes,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,train/ent_coef,train/ent_coef_loss,train/critic_loss,rollout/ep_len_mean,train/actor_loss,train/learning_rate,time/total_timesteps,time/fps
9649,27343.264002800002,67474,463,46.39218521118164,0.4774177074432373,120037432.0,27.57,30277.65625,0.001,270000,582
10001,8044.890322739998,69974,480,47.55738067626953,-3.1367573738098145,270357120.0,28.16,26815.53515625,0.001,280000,582
10392,90382.42891774997,72474,498,53.360740661621094,-0.435274213552475,85832320.0,26.38,21117.40234375,0.001,290000,582
10799,101801.49134600002,74974,515,56.922264099121094,-0.6984493732452393,181843760.0,22.05,17627.939453125,0.001,300000,582
11199,86622.89300949,77474,532,64.53404998779297,1.2787940502166748,221475184.0,25.94,2839.98291015625,0.001,310000,582
11654,118591.06101711,79974,549,70.635986328125,1.0085949897766113,98864232.0,20.98,6157.474609375,0.001,320000,582
12127,118427.01970728001,82474,566,73.00325012207031,0.1497463583946228,160186704.0,19.32,-779.792724609375,0.001,330000,582
12619,118474.99750438001,84974,584,77.94970703125,-0.27203646302223206,93125920.0,21.15,-16720.310546875,0.001,340000,581
13114,131402.10467758,87474,601,82.20906066894531,-0.14402344822883606,98100600.0,19.28,-15526.4326171875,0.001,350000,582
13607,127837.99668803,89974,618,77.56111145019531,-0.17809978127479553,77807872.0,20.54,-13917.3671875,0.001,360000,581
14105,130548.40446566998,92474,635,78.08203125,-2.4479079246520996,163357856.0,19.01,-24904.2109375,0.001,370000,581
14604,128779.60299061998,94974,653,83.5212631225586,2.1117684841156006,252134656.0,19.36,-17842.3359375,0.001,380000,581
15102,126665.20357042,97474,670,80.5364990234375,2.935209274291992,91411144.0,19.68,-25533.96875,0.001,390000,581
15639,130003.06234483,99974,687,83.20072937011719,-0.5957008600234985,130750160.0,18.93,-30658.37890625,0.001,400000,581
16165,124439.03368225001,102474,706,79.76730346679688,0.7013779282569885,85184056.0,18.92,-33975.04296875,0.001,410000,580
16660,132250.14303486,104974,725,75.85506439208984,-0.08309265971183777,52011792.0,19.86,-41018.34765625,0.001,420000,579
17125,21811.51785569,107474,743,78.0048828125,2.0974059104919434,53513504.0,29.06,-48551.703125,0.001,430000,578
17672,132658.89228749,109974,762,79.38895416259766,-0.5773582458496094,58835948.0,18.6,-49081.90234375,0.001,440000,576
18213,128194.12144820999,112474,781,75.05044555664062,-0.4875866770744324,94606072.0,20.76,-45142.16015625,0.001,450000,575
18720,132962.16733938002,114974,800,80.03067779541016,2.646378517150879,90710064.0,18.12,-51252.75,0.001,460000,574
19153,132170.75085481998,117474,819,76.41709899902344,0.8335714936256409,107681920.0,17.97,-53446.05859375,0.001,470000,573
19591,133027.24824475,119974,837,78.18128204345703,-0.21632489562034607,266134752.0,17.02,-55884.35546875,0.001,480000,572
20120,130116.49603631001,122474,856,73.20260620117188,-1.2311584949493408,124697648.0,18.46,-58514.9765625,0.001,490000,571
20651,125781.39627409,124974,875,72.50345611572266,-0.4124973714351654,58774080.0,18.9,-59307.90625,0.001,500000,571
21156,131131.8,127474,894,76.12157440185547,2.5144143104553223,128830648.0,19.78,-61880.078125,0.001,510000,570
21625,124092.74962070999,129974,913,78.46131134033203,1.6273889541625977,210956832.0,17.91,-58258.46875,0.001,520000,569
22205,133176.13707263998,132474,931,76.94402313232422,-0.1295175552368164,88204072.0,16.26,-60753.0546875,0.001,530000,568
22777,130331.03094682,134974,950,79.20140838623047,-2.869710922241211,86765760.0,16.97,-60554.24609375,0.001,540000,568
23351,133151.32909994002,137474,969,82.76949310302734,-0.8293974995613098,44450012.0,16.52,-63051.8046875,0.001,550000,567
23933,132910.57819363,139974,988,79.92378234863281,-3.3959221839904785,42241164.0,17.48,-65580.46875,0.001,560000,566
24509,133160.85938272,142474,1007,80.32170104980469,1.3358488082885742,127020336.0,16.45,-59677.125,0.001,570000,565
25092,130800.95219145999,144974,1025,79.43185424804688,-0.2788626253604889,57625964.0,17.15,-65466.5234375,0.001,580000,565
25689,133119.42895543,147474,1044,75.51212310791016,1.0704987049102783,72026056.0,17.14,-68395.125,0.001,590000,564
26279,133129.7378485,149974,1063,78.06088256835938,-2.921450614929199,74744168.0,17.06,-65273.81640625,0.001,600000,564
26862,133162.54416721,152474,1082,74.73262023925781,0.6098555326461792,65868368.0,16.42,-66491.65625,0.001,610000,563
27457,130957.85761609,154974,1101,75.48677062988281,0.5209832191467285,34313656.0,16.37,-73347.140625,0.001,620000,563
28063,133155.72477708,157474,1119,77.287353515625,0.5995484590530396,48338600.0,16.47,-65334.33203125,0.001,630000,562
28531,123881.13351686999,159974,1138,73.25621032714844,0.5590384602546692,69872304.0,18.68,-68134.3203125,0.001,640000,562
29056,131077.44456087,162474,1157,71.12871551513672,2.399862766265869,73272984.0,17.45,-70182.0234375,0.001,650000,561
29543,133070.60931176,164974,1176,73.14925384521484,-0.9642335176467896,38373004.0,16.17,-67639.8359375,0.001,660000,561
30092,120607.86805483,167474,1195,76.6373519897461,-1.1403605937957764,39931440.0,17.03,-75550.8125,0.001,670000,560
30657,127488.23409735001,169974,1213,73.11264038085938,1.3186123371124268,77515584.0,17.09,-67301.8984375,0.001,680000,560
31250,123436.6982468,172474,1232,74.56159210205078,0.577707827091217,48103928.0,17.32,-66803.015625,0.001,690000,559
31854,133135.41642342,174974,1251,75.65805053710938,1.4085638523101807,88346032.0,17.02,-72972.640625,0.001,700000,559
32436,132186.52087143,177474,1270,80.44764709472656,1.5155876874923706,81991744.0,17.51,-75427.859375,0.001,710000,558
33033,124324.50889364,179974,1289,73.56358337402344,-0.3655490279197693,72821416.0,17.85,-75379.546875,0.001,720000,558
33612,126526.91985612002,182474,1308,72.97151184082031,0.5689420700073242,57500672.0,16.98,-76727.1640625,0.001,730000,558
34202,130926.39033617,184974,1326,72.20742797851562,0.8507344126701355,53305120.0,17.06,-71710.828125,0.001,740000,557
34821,133168.3,187474,1345,72.03190612792969,-1.049635410308838,93467104.0,16.4,-77627.640625,0.001,750000,557
35427,133156.4,189974,1364,70.93307495117188,-0.03318864107131958,79669088.0,16.53,-78797.40625,0.001,760000,556
36030,133094.81999568,192474,1383,71.57653045654297,-1.2451114654541016,54228176.0,17.49,-76629.40625,0.001,770000,556
36617,133191.1849426,194974,1402,74.28878784179688,2.7714972496032715,64137728.0,15.81,-72297.9375,0.001,780000,556
37197,129606.56721833,197474,1421,74.81155395507812,-2.3137552738189697,36554672.0,17.36,-76932.1328125,0.001,790000,555
37753,76091.33724851,199974,1440,77.74954986572266,1.9943273067474365,58363008.0,23.84,-72070.71875,0.001,800000,555
38358,133193.5,202474,1458,76.03719329833984,-0.9668400287628174,67612512.0,15.77,-74061.8984375,0.001,810000,555
38888,133166.38086754,204974,1477,73.29264831542969,0.34586191177368164,78716688.0,16.2,-74780.890625,0.001,820000,554
39506,133181.74954475,207474,1496,72.04004669189453,0.4141414761543274,40788736.0,15.93,-77773.734375,0.001,830000,554
40098,133188.0,209974,1515,71.6397705078125,2.708977222442627,178195456.0,15.97,-75613.59375,0.001,840000,554
40714,133204.82584628,212474,1534,70.40701293945312,-0.3151777386665344,231647392.0,15.72,-69498.5859375,0.001,850000,554
41343,131225.62552537,214974,1553,71.28728485107422,-1.2132889032363892,51446888.0,16.71,-75745.4140625,0.001,860000,553
41950,132759.63065367,217474,1571,69.34320068359375,0.6743307113647461,81570592.0,16.32,-78262.1953125,0.001,870000,553
42434,121798.74136348,219974,1590,65.1046371459961,-3.8580057621002197,39349360.0,37.23,-76280.8671875,0.001,880000,553
42939,108411.49650494,222474,1609,68.50411987304688,1.489508032798767,95805008.0,28.23,-81578.765625,0.001,890000,552
43531,133196.1,224974,1628,70.25084686279297,0.7123867273330688,65574504.0,15.79,-78182.171875,0.001,900000,552
44154,133165.3,227474,1647,63.53550338745117,1.2428617477416992,138643280.0,16.28,-77382.34375,0.001,910000,552
44777,133181.90348131,229974,1666,66.27481842041016,-0.17726922035217285,20599230.0,15.73,-83777.578125,0.001,920000,552
45419,133214.41027157998,232474,1684,66.68097686767578,-0.12373232841491699,26447660.0,15.24,-80304.1875,0.001,930000,551
46056,133197.69165917,234974,1703,63.38454055786133,2.4562995433807373,73421408.0,15.74,-83621.625,0.001,940000,551
46687,132803.9,237474,1722,69.74949645996094,-0.4205775856971741,60094960.0,15.76,-84203.671875,0.001,950000,551
47217,42778.97281442,239974,1741,76.90242767333984,1.1597166061401367,51654180.0,20.81,-81961.765625,0.001,960000,551
47648,132482.52686069,242474,1760,70.38627624511719,-0.900778591632843,75058256.0,15.96,-80745.890625,0.001,970000,551
48280,133106.2,244974,1779,69.06419372558594,0.1585935354232788,66938712.0,15.48,-84466.3203125,0.001,980000,550
48910,132865.55592234002,247474,1797,62.04751968383789,0.9027494192123413,50874052.0,16.36,-80162.5,0.001,990000,550
49509,128133.80195874,249974,1816,72.78820037841797,-1.89475417137146,22696076.0,18.06,-82932.0,0.001,1000000,550
