time/episodes,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,train/ent_coef,train/ent_coef_loss,train/critic_loss,rollout/ep_len_mean,train/actor_loss,train/learning_rate,time/total_timesteps,time/fps
304,-852926.2708890099,2474,16,2.3086183071136475,-32.976890563964844,193674576.0,34.02,3058.364501953125,0.001,10000,598
748,-139748.96512389,4974,33,5.552835464477539,-56.688663482666016,80661920.0,22.81,9077.912109375,0.001,20000,593
1192,-109921.34824357998,7474,50,10.903098106384277,-57.86445617675781,109482136.0,18.38,12012.2490234375,0.001,30000,589
1706,-98723.85019184001,9974,68,18.911157608032227,-45.84870147705078,108020128.0,7.37,17166.06640625,0.001,40000,587
2248,-129088.19121841001,12474,85,30.672853469848633,-33.73057174682617,95400120.0,22.82,21277.798828125,0.001,50000,586
2725,-93835.00758358,14974,102,45.67058181762695,-22.157018661499023,82413728.0,18.55,20074.80859375,0.001,60000,585
3160,-143644.12467033998,17474,119,62.43000793457031,-11.018560409545898,70614072.0,25.59,23290.40234375,0.001,70000,585
3580,-113599.21360499998,19974,136,74.23343658447266,0.1441844403743744,74371104.0,29.14,28311.66796875,0.001,80000,584
3929,-114777.32429275001,22474,153,76.70842742919922,2.524794101715088,78829232.0,34.69,31588.892578125,0.001,90000,584
4301,-101489.62559552003,24974,171,74.24430847167969,-1.5537528991699219,91485048.0,22.16,33994.859375,0.001,100000,583
4662,-96572.80799297997,27474,188,67.34996032714844,-0.08716994524002075,93781288.0,21.93,36543.85546875,0.001,110000,583
4988,-102294.85338188999,29974,205,55.55950927734375,0.5538418292999268,67121872.0,31.02,41015.921875,0.001,120000,583
5304,-104837.62467439,32474,222,50.81148910522461,0.9747285842895508,54885944.0,33.01,41839.640625,0.001,130000,583
5686,-93075.99576959001,34974,240,47.97980499267578,1.4085904359817505,96305360.0,21.78,44667.28125,0.001,140000,583
5952,-103783.53322040002,37474,257,44.68778610229492,-2.4721648693084717,86212192.0,26.31,45591.1015625,0.001,150000,583
6230,-97657.39289577998,39974,274,43.49591827392578,-0.17601120471954346,95215824.0,35.38,44868.2265625,0.001,160000,583
6550,-96578.50736621002,42474,291,38.71883010864258,1.0106701850891113,50590372.0,25.25,44497.6484375,0.001,170000,582
6803,-89808.29849473,44974,308,39.373077392578125,-0.702885627746582,36168284.0,24.94,46749.30078125,0.001,180000,582
7112,-109271.71442815001,47474,326,37.725608825683594,1.2520062923431396,47321356.0,36.75,49518.3203125,0.001,190000,582
7411,-108156.16302341997,49974,343,37.76130676269531,-0.4641692042350769,95898544.0,30.41,45815.3359375,0.001,200000,582
7741,-94723.07643352999,52474,360,37.30575180053711,0.8691457509994507,61695324.0,32.92,45863.63671875,0.001,210000,582
8011,-115754.1860853,54974,377,36.62342071533203,-2.6445157527923584,79423968.0,41.26,43319.0390625,0.001,220000,582
8285,-65871.82209353,57474,395,37.850154876708984,0.10267418622970581,99865120.0,37.41,42593.87890625,0.001,230000,582
8583,-39116.82169599,59974,412,37.241886138916016,0.011964604258537292,48492740.0,36.38,40217.5234375,0.001,240000,582
8923,-48776.40314029001,62474,429,38.22465515136719,0.1596607267856598,116962928.0,29.79,39795.65625,0.001,250000,582
9276,-47260.22869113,64974,446,41.15704345703125,0.18862904608249664,50721816.0,26.64,33928.84375,0.001,260000,582
