train/actor_loss,time/total_timesteps,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/ent_coef_loss,time/episodes,rollout/ep_rew_mean,train/critic_loss,time/time_elapsed,train/ent_coef
29459.080078125,10000,47.96,190,0.0055,2474,-129.87847900390625,174,-285589.77616421,18407876.0,52,67.23306274414062
11038.693359375,20000,118.67,190,0.0055,4974,16.756973266601562,194,-250959.96992034,13896176.0,104,82.98442840576172
4459.833984375,30000,224.16,190,0.0055,7474,11.122940063476562,223,-124533.66069295998,9565981.0,157,50.675445556640625
-9007.66015625,40000,287.31,190,0.0055,9974,11.912436485290527,279,7094.165951329998,39089180.0,209,28.81358528137207
-27850.76171875,50000,41.57,190,0.0055,12474,-0.7702394723892212,591,118243.68341933,15188264.0,262,25.606470108032227
-55837.41796875,60000,12.96,190,0.0055,14974,-0.42277461290359497,1254,133093.64772448997,16881100.0,315,36.10348129272461
-10280.123046875,70000,26.78,189,0.0055,17474,-8.768232345581055,1769,-45763.903578009995,161564352.0,368,376.7660827636719
-69697.3671875,80000,13.47,189,0.0055,19974,5.292203903198242,2312,119359.62345946001,11410422.0,421,66.75968933105469
-74103.28125,90000,12.16,189,0.0055,22474,3.832045555114746,3109,133625.29936976,9167252.0,474,54.814666748046875
-75267.90625,100000,12.06,189,0.0055,24974,2.8473939895629883,3888,133635.17362876,17377500.0,527,44.99944305419922
-84612.421875,110000,31.07,189,0.0055,27474,1.1225669384002686,4480,-33584.764431970005,13142008.0,580,53.547882080078125
-81301.0546875,120000,11.73,189,0.0055,29974,0.23565390706062317,5312,133646.04141431,3429665.0,634,53.431922912597656
-76196.6640625,130000,12.37,189,0.0055,32474,10.539772033691406,6119,133319.76538174003,9744143.0,687,81.36656188964844
-74482.25,140000,19.48,188,0.0055,34974,6.474565029144287,6843,108407.60992029001,5301904.5,740,75.58013153076172
-85879.1328125,150000,13.01,188,0.0055,37474,-1.0454728603363037,7644,133604.01123599,3906730.25,793,32.89796447753906
-85169.671875,160000,11.15,188,0.0055,39974,-0.6136124134063721,8485,133663.56495183,4921167.0,847,33.053855895996094
-87852.84375,170000,11.05,188,0.0055,42474,-4.239809989929199,9308,133667.54972405004,4555696.5,900,42.03817367553711
-28649.61328125,180000,26.09,188,0.0055,44974,25.303314208984375,9924,-112020.94324725,156785184.0,953,262.7232360839844
