rollout/ep_rew_mean,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,rollout/ep_len_mean,train/policy_loss,time/fps,time/time_elapsed,train/std,time/total_timesteps
-1560175.9953554503,0.0007,-1.1920928955078125e-07,27499,-25.58722496032715,4408523776.0,75.96,-1449251.375,1833,300,1.3415181636810303,550000
-2009597.9791209095,0.0007,0.0,27999,-25.674549102783203,5682698240.0,101.44,-1749275.25,1834,305,1.3500010967254639,560000
-1986103.5169134,0.0007,0.0,28499,-25.838603973388672,4740500480.0,92.26,-1617911.75,1835,310,1.365401029586792,570000
-1781599.1934581902,0.0007,0.0,28999,-25.93612289428711,6622475264.0,95.99,-1836119.0,1836,315,1.3739006519317627,580000
-1969195.3050952498,0.0007,0.0,29499,-25.943607330322266,3015311360.0,108.38,-1237924.5,1837,321,1.3735722303390503,590000
-1778509.3537195504,0.0007,-1.1920928955078125e-07,29999,-25.99203109741211,4744351744.0,106.27,-1561324.125,1837,326,1.3780653476715088,600000
-1446775.7821478301,0.0007,1.1920928955078125e-07,30499,-25.992603302001953,2843185664.0,76.04,-1226433.0,1837,331,1.3798354864120483,610000
-1333975.8317718902,0.0007,0.0,30999,-26.048412322998047,5184271360.0,79.31,-1542256.625,1837,337,1.3851313591003418,620000
-2317434.08080203,0.0007,0.0,31499,-26.14017105102539,4658112512.0,125.94,-1660011.25,1837,342,1.392537236213684,630000
-1923982.5829889597,0.0007,0.0,31999,-26.194705963134766,1765834496.0,109.45,-965217.375,1837,348,1.3974934816360474,640000
-1298076.51209586,0.0007,0.0,32499,-26.255733489990234,4917988864.0,76.23,-1587975.25,1836,353,1.4024240970611572,650000
-1883934.59464927,0.0007,0.0,32999,-26.34499740600586,4360090112.0,101.64,-1529918.625,1836,359,1.4105770587921143,660000
-2282398.28082356,0.0007,0.0,33499,-26.40548324584961,3189979136.0,125.71,-1270003.375,1837,364,1.4158873558044434,670000
-1067014.42120358,0.0007,-1.1920928955078125e-07,33999,-26.574832916259766,3912624640.0,51.14,-1565903.25,1838,369,1.4307396411895752,680000
-1146883.76107949,0.0007,0.0,34499,-26.604598999023438,3744150272.0,59.16,-1340275.875,1839,375,1.4349273443222046,690000
-1751010.48882341,0.0007,0.0,34999,-26.667465209960938,3371111936.0,105.68,-1344761.125,1840,380,1.4403152465820312,700000
-1554048.77497877,0.0007,0.0,35499,-26.723804473876953,2372448256.0,96.0,-1108920.875,1841,385,1.445413589477539,710000
-1550118.19744333,0.0007,2.980232238769531e-07,35999,-26.83001708984375,3668765440.0,99.33,-1509395.25,1843,390,1.4559992551803589,720000
-1869791.65190748,0.0007,0.0,36499,-26.936100006103516,3339471360.0,104.5,-1341278.75,1845,395,1.4668731689453125,730000
-1390496.65391254,0.0007,-2.384185791015625e-07,36999,-26.924053192138672,3980656640.0,83.36,-1454486.25,1845,400,1.4660285711288452,740000
-1680598.3629949505,0.0007,1.1920928955078125e-07,37499,-26.962352752685547,4619099136.0,97.79,-1726664.75,1846,406,1.4685994386672974,750000
-1224782.15643334,0.0007,0.0,37999,-27.048320770263672,2394874368.0,60.51,-1151434.375,1846,411,1.4772287607192993,760000
-2530065.7365858704,0.0007,0.0,38499,-27.159099578857422,3493823744.0,118.1,-1334337.25,1846,416,1.48859703540802,770000
-1288979.61625071,0.0007,-1.1920928955078125e-07,38999,-27.233844757080078,9196649472.0,70.36,-2184156.5,1846,422,1.496163010597229,780000
-1124317.86073997,0.0007,5.960464477539063e-08,39499,-27.405025482177734,4066352640.0,56.46,-1558141.75,1847,427,1.5125439167022705,790000
-1740028.2200658803,0.0007,0.0,39999,-27.380168914794922,5948337152.0,89.83,-1842493.75,1847,432,1.511247158050537,800000
-1273737.1421623598,0.0007,0.0,40499,-27.501571655273438,1986543232.0,68.41,-1074743.75,1848,438,1.5237454175949097,810000
-895847.7262329301,0.0007,0.0,40999,-27.609451293945312,2910418944.0,50.57,-1319852.5,1849,443,1.5342600345611572,820000
-1720282.1818458203,0.0007,-2.384185791015625e-07,41499,-27.756378173828125,2321810688.0,85.39,-1126423.0,1850,448,1.5506502389907837,830000
-1369907.07469789,0.0007,0.0,41999,-27.69321060180664,3509545728.0,78.12,-1401578.5,1850,453,1.5437053442001343,840000
-1600248.9670080203,0.0007,-1.1920928955078125e-07,42499,-27.810283660888672,4623964160.0,91.38,-1700151.0,1850,459,1.5554065704345703,850000
-2184955.72258628,0.0007,-2.384185791015625e-07,42999,-27.87430191040039,3722716416.0,112.99,-1391146.125,1847,465,1.5637773275375366,860000
-1733954.4979319,0.0007,0.0,43499,-27.977535247802734,6289845248.0,90.91,-1910193.375,1847,470,1.574741005897522,870000
-745320.24318657,0.0007,3.5762786865234375e-07,43999,-28.085865020751953,6365287424.0,35.17,-1930136.75,1847,476,1.5854130983352661,880000
-1369050.1910686,0.0007,0.0,44499,-28.122669219970703,4113185280.0,69.95,-1574995.375,1846,481,1.5885926485061646,890000
-1120579.92944795,0.0007,0.0,44999,-28.301570892333984,2474154752.0,61.83,-1169018.375,1846,487,1.6095925569534302,900000
-1318065.94326462,0.0007,0.0,45499,-28.397274017333984,5641577472.0,69.89,-1711615.625,1845,492,1.6179711818695068,910000
-1183594.207377,0.0007,0.0,45999,-28.454814910888672,3000028416.0,67.03,-1321577.0,1845,498,1.6262900829315186,920000
-1544990.1049321496,0.0007,1.1920928955078125e-07,46499,-28.484119415283203,8086328320.0,88.22,-2206517.0,1845,503,1.628873348236084,930000
-1821733.05251895,0.0007,-1.1920928955078125e-07,46999,-28.584125518798828,3592008448.0,100.3,-1457271.125,1845,509,1.6407411098480225,940000
-1112846.77717931,0.0007,-1.1920928955078125e-07,47499,-28.695770263671875,4967394304.0,61.13,-1673992.25,1845,514,1.654028296470642,950000
-1453436.1866618798,0.0007,0.0,47999,-28.832706451416016,3594721792.0,81.63,-1532803.625,1844,520,1.6688485145568848,960000
-1883241.442477,0.0007,-1.1920928955078125e-07,48499,-28.96584701538086,6243084288.0,112.09,-1898488.375,1843,526,1.683945894241333,970000
-1596860.95476074,0.0007,2.384185791015625e-07,48999,-29.033315658569336,5492292096.0,92.8,-1839340.625,1842,531,1.6934435367584229,980000
-1722603.60097483,0.0007,-1.1920928955078125e-07,49499,-29.177326202392578,4322934784.0,98.2,-1761004.75,1842,537,1.7083359956741333,990000
-1583973.39200532,0.0007,1.1920928955078125e-07,49999,-29.210491180419922,2339695104.0,95.68,-1259510.375,1841,543,1.7108705043792725,1000000
