train/ent_coef,rollout/ep_len_mean,train/n_updates,train/actor_loss,time/fps,train/ent_coef_loss,time/time_elapsed,train/critic_loss,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/learning_rate
60.65196990966797,168.17241379310346,2474,76715.421875,194,-133.47622680664062,51,61158040.0,10000,-5518708.7561706565,58,0.0055
127.6275634765625,6.12,4974,85277.0,188,-12.416054725646973,105,55818900.0,20000,-168726.82374741,1411,0.0055
129.84112548828125,4.0,7474,89959.375,186,5.037835121154785,160,27962664.0,30000,-127613.19310348,3521,0.0055
90.38491821289062,6.04,9974,110956.15625,185,21.067691802978516,215,23189352.0,40000,-154430.41731002997,5427,0.0055
33.67716979980469,4.65,12474,102806.8828125,184,9.56596565246582,270,17065520.0,50000,-132682.45451013002,7634,0.0055
18.316688537597656,4.92,14974,115826.4375,184,-6.282299995422363,325,5668832.0,60000,-135070.53919488002,9954,0.0055
15.30245590209961,4.01,17474,104405.640625,183,3.9432144165039062,380,2192255.0,70000,-125464.18147591999,12332,0.0055
11.87602424621582,4.0,19974,104211.3203125,183,2.8757805824279785,435,491168.5,80000,-124551.61317877,14746,0.0055
29.805740356445312,4.1,22474,117796.328125,183,2.2526960372924805,490,7482477.5,90000,-125836.41553920002,16511,0.0055
21.587785720825195,4.0,24974,107849.03125,183,5.569037437438965,545,2800039.5,100000,-124780.75359537,18995,0.0055
18.47612953186035,4.03,27474,106580.265625,183,2.451568603515625,600,5872888.0,110000,-125028.83625614,21401,0.0055
16.72002410888672,5.23,29974,107116.421875,183,-0.43576690554618835,655,2304333.75,120000,-143881.50509518,23746,0.0055
28.716501235961914,4.24,32474,113532.328125,182,6.128869533538818,710,7409236.0,130000,-127054.34376387001,25467,0.0055
24.994291305541992,6.26,34974,115388.8125,182,-11.507885932922363,765,17201444.0,140000,-150723.89998723,27722,0.0055
25.459716796875,4.0,37474,109311.0,182,-0.9366921186447144,820,2916594.5,150000,-124790.03145516998,29955,0.0055
65.25584411621094,8.63,39974,126881.46875,182,-11.699333190917969,875,51830296.0,160000,-190716.29190462,32193,0.0055
