time/time_elapsed,train/learning_rate,time/fps,train/ent_coef,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/ent_coef_loss,time/total_timesteps,train/critic_loss,rollout/ep_len_mean,time/episodes
5238,0.0055,169,88.64208984375,133757.58399092,-88289.671875,222474,9.236659049987793,890000,18724970.0,7.18,111842
5304,0.0055,169,306.1751708984375,133749.37255908,-85560.3125,224974,18.756317138671875,900000,15008881.0,7.68,113203
5372,0.0055,169,53430.24609375,-423356.79755639,1430789.75,227474,18.151554107666016,910000,192856506368.0,24.58,113686
5441,0.0055,169,29486.671875,-85655.79349994,966698.4375,229974,24.698570251464844,920000,54972125184.0,7.07,114671
5510,0.0055,168,13871.8212890625,-89001.10122467,720795.9375,232474,25.43164825439453,930000,27306643456.0,4.7,116834
5579,0.0055,168,6925.21337890625,-91859.08279414999,561212.875,234974,2.5588808059692383,940000,9700189184.0,3.09,119623
5646,0.0055,168,3120.030517578125,-92208.10968805003,212762.359375,237474,11.379730224609375,950000,2281504512.0,3.21,122795
5710,0.0055,168,339.2783203125,-92054.59663895998,131783.25,239974,6.677083492279053,960000,276649600.0,3.15,125573
5773,0.0055,168,110.55135345458984,-81617.88693864,94771.703125,242474,-7.081002235412598,970000,40250128.0,4.27,128333
5831,0.0055,168,1109.418212890625,-102065.30559260999,178525.3125,244974,37.11854553222656,980000,1566274304.0,4.42,129658
5893,0.0055,167,339.2681579589844,-145154.32216078998,170088.09375,247474,7.874579906463623,990000,405605760.0,5.7,131703
5962,0.0055,167,45.98869705200195,-87439.55903259,187029.25,249974,6.9788818359375,1000000,538789568.0,3.05,134507
