time/time_elapsed,train/learning_rate,time/fps,train/ent_coef,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/ent_coef_loss,time/total_timesteps,train/critic_loss,rollout/ep_len_mean,time/episodes
52,0.0055,190,80.35690307617188,66452.07517173,31595.513671875,2474,-135.85986328125,10000,134203232.0,10.7,955
107,0.0055,185,168.5386962890625,133125.5,-43496.1953125,4974,-18.651596069335938,20000,81929904.0,8.13,1952
168,0.0055,178,174.08189392089844,133340.27713803,-65763.765625,7474,10.407182693481445,30000,67201640.0,7.84,3190
227,0.0055,176,108.6507339477539,133756.1,-80103.328125,9974,15.202174186706543,40000,64023384.0,7.35,4504
288,0.0055,173,54.10719680786133,133780.1,-96782.1640625,12474,9.233993530273438,50000,2759934.5,7.0,5906
348,0.0055,171,41.452735900878906,133675.3,-96933.734375,14974,6.766202926635742,60000,1521735.5,7.04,7319
409,0.0055,170,36.481449127197266,133766.6,-95984.34375,17474,-1.107324242591858,70000,2599929.5,7.0,8717
463,0.0055,172,28.386518478393555,133770.8,-94479.875,19974,1.3412177562713623,80000,1022424.6875,7.01,10142
515,0.0055,174,358.77764892578125,-209903.10757228997,-45223.0625,22474,-72.03724670410156,90000,150611936.0,15.35,11444
568,0.0055,175,56.392581939697266,133763.73244407,-91549.515625,24974,5.695193290710449,100000,15874745.0,7.09,12657
622,0.0055,176,44.69690704345703,133777.4,-94669.796875,27474,-1.7279318571090698,110000,7321765.0,7.0,14081
674,0.0055,177,40.82019805908203,133733.80800395002,-94674.421875,29974,4.78863525390625,120000,25635992.0,7.64,15498
726,0.0055,178,30.937164306640625,128586.8,-96590.0390625,32474,-3.035857915878296,130000,1491565.875,7.62,16904
779,0.0055,179,89.59007263183594,133669.6,-89667.421875,34974,6.798208236694336,140000,14111543.0,7.02,17999
837,0.0055,179,60.82331085205078,132644.01628784,-95218.09375,37474,4.047797203063965,150000,25722432.0,7.29,19400
896,0.0055,178,97.18489837646484,128250.96833698999,-83581.8984375,39974,-21.670928955078125,160000,39461248.0,8.92,20660
956,0.0055,177,212.2544403076172,-15727.90314078,-89825.421875,42474,-82.11138153076172,170000,223087360.0,10.71,21949
1016,0.0055,177,46.86024475097656,133765.7,-97043.6875,44974,1.8358039855957031,180000,30222980.0,7.0,23279
1068,0.0055,177,71.8955078125,-12051.289644429999,-91334.8125,47474,5.09307336807251,190000,77390864.0,11.17,24644
1120,0.0055,178,69.84281921386719,79216.14927903,-88721.578125,49974,-2.7238612174987793,200000,28846306.0,8.86,26007
1172,0.0055,179,116.38017272949219,111400.91108497,-83551.03125,52474,-15.078788757324219,210000,30131040.0,8.06,27347
1224,0.0055,179,102.27381134033203,99985.02901366001,-92362.15625,54974,1.289999008178711,220000,215969632.0,7.4,28753
1276,0.0055,180,162.14932250976562,61198.05145509,-83303.78125,57474,15.559446334838867,230000,29023020.0,13.15,30059
1330,0.0055,180,56.50105285644531,124994.63337945,-103240.15625,59974,-11.520094871520996,240000,19270016.0,7.22,31438
1383,0.0055,180,184.7578582763672,131357.18020841,-91475.640625,62474,14.444204330444336,250000,36305072.0,6.98,32736
1435,0.0055,181,276.33636474609375,29456.79334746,-65394.28125,64974,14.712149620056152,260000,104917264.0,13.67,33930
1487,0.0055,181,244.2233428955078,123414.19890450999,-82023.296875,67474,-6.772012710571289,270000,76592048.0,8.43,35306
1539,0.0055,181,173.88975524902344,133671.63038361,-84699.421875,69974,20.22439956665039,280000,23377268.0,7.07,36478
1591,0.0055,182,196.88436889648438,49678.297953580004,-76052.4453125,72474,17.756526947021484,290000,21255386.0,27.2,37427
1643,0.0055,182,196.5588836669922,115154.44346935001,-90873.328125,74974,-20.094581604003906,300000,35816744.0,8.96,38672
1697,0.0055,182,98.8129653930664,128318.91499630001,-84572.265625,77474,9.589223861694336,310000,140383840.0,7.33,40075
1756,0.0055,182,62.14073181152344,133737.8,-91018.375,79974,-5.168985366821289,320000,6770454.0,7.0,41477
1811,0.0055,182,469.98553466796875,104675.24032858,-50387.65234375,82474,8.214630126953125,330000,117560016.0,7.81,42567
1866,0.0055,182,100.13475036621094,133059.98795258,-86354.78125,84974,-2.6827123165130615,340000,68731880.0,7.36,43894
1919,0.0055,182,90.24681091308594,133671.4,-82228.234375,87474,4.77726936340332,350000,30445000.0,7.02,45263
1971,0.0055,182,75.5542221069336,133777.7,-90773.75,89974,2.086888313293457,360000,38822312.0,7.02,46656
2023,0.0055,182,255.20851135253906,98056.38112893,-53822.1796875,92474,-22.167146682739258,370000,78254576.0,7.32,47735
2080,0.0055,182,152.45867919921875,129314.12592741,-79221.9453125,94974,-10.6339693069458,380000,29770710.0,9.59,48904
2137,0.0055,182,111.45359802246094,117567.57545329,-77792.8203125,97474,-5.169112682342529,390000,118110120.0,6.92,50312
2191,0.0055,182,257.6160583496094,118734.85971457,-70001.171875,99974,19.8867130279541,400000,51484192.0,8.15,51626
2254,0.0055,181,51.98307418823242,133762.1,-92287.75,102474,3.551762580871582,410000,10322845.0,7.0,53040
2319,0.0055,181,43.39539337158203,133760.3,-95832.015625,104974,-1.1531654596328735,420000,14254054.0,7.03,54465
2382,0.0055,180,38.52344512939453,133775.3,-92177.328125,107474,5.299208641052246,430000,6806493.5,7.01,55871
2445,0.0055,179,1797.3284912109375,-315972.97224793,-46229.015625,109974,-339.498291015625,440000,1334588160.0,21.73,56970
2505,0.0055,179,828.9418334960938,82162.59141799,-36392.7890625,112474,51.182579040527344,450000,244482464.0,8.92,57882
2569,0.0055,179,270.0478210449219,130948.3,-52645.3984375,114974,6.049869060516357,460000,99160048.0,7.22,59188
2635,0.0055,178,119.23882293701172,133779.2,-72598.625,117474,11.773757934570312,470000,42721380.0,7.0,60490
2703,0.0055,177,737.682373046875,-89345.21083981002,2893.63720703125,119974,7.53431510925293,480000,916292544.0,16.08,61642
2767,0.0055,177,121.56022644042969,133774.1,-89737.1875,122474,16.594552993774414,490000,8978394.0,7.02,62873
2833,0.0055,176,68.16043090820312,133762.1,-90759.0390625,124974,5.286212921142578,500000,16658718.0,7.03,64268
2899,0.0055,175,47.776039123535156,133761.2,-91011.7265625,127474,-0.5071766376495361,510000,23849374.0,7.0,65686
2962,0.0055,175,622.81787109375,130647.11684526,-74322.96875,129974,34.6595344543457,520000,59927888.0,7.1,66835
3025,0.0055,175,56.26234436035156,133781.9,-94112.8203125,132474,1.2107594013214111,530000,18364508.0,7.0,68247
3083,0.0055,175,355.2647399902344,-501213.13566856994,-57785.5625,134974,18.793502807617188,540000,65138276.0,33.24,69298
3142,0.0055,175,105.78195190429688,133264.8,-61803.77734375,137474,11.278146743774414,550000,98647088.0,7.03,70687
3200,0.0055,174,6228.45263671875,-41247.4538215,145934.0625,139974,58.230682373046875,560000,5203781632.0,8.31,71699
3258,0.0055,174,572.1640625,129429.22940918,13918.912109375,142474,37.96083450317383,570000,227242400.0,7.07,72734
3318,0.0055,174,175.63809204101562,133762.1,-36071.703125,144974,7.341555595397949,580000,192043104.0,7.0,74130
3379,0.0055,174,155.0765838623047,133753.1,-21336.6328125,147474,3.877580165863037,590000,495166080.0,7.0,75545
3440,0.0055,174,435.353759765625,121796.29124452,-54109.1875,149974,31.930208206176758,600000,132245416.0,9.1,76633
3501,0.0055,174,104.67225646972656,127383.8,-78301.671875,152474,-33.72755432128906,610000,101081664.0,7.42,77972
3565,0.0055,173,77.92793273925781,133727.9,-90241.15625,154974,4.500269412994385,620000,11440243.0,7.0,79353
3627,0.0055,173,136.74391174316406,124537.87968678001,-85941.90625,157474,10.910675048828125,630000,28161026.0,8.24,80601
3691,0.0055,173,55.757442474365234,132645.6,-92162.09375,159974,5.908083438873291,640000,6440725.0,7.01,81964
3754,0.0055,173,68.59306335449219,133756.90179338,-94720.09375,162474,11.411604881286621,650000,10757384.0,7.02,83332
3818,0.0055,172,248.02659606933594,125769.4,-81119.6875,164974,-7.342224597930908,660000,10408055.0,7.75,84591
3879,0.0055,172,733.99951171875,122057.02283029999,111853.046875,167474,-3.6679718494415283,670000,1478159232.0,7.41,85610
3943,0.0055,172,192.14645385742188,133759.4,-23752.82421875,169974,13.313130378723145,680000,261205136.0,7.0,87003
4002,0.0055,172,140.99148559570312,133754.9,-45092.546875,172474,3.928542375564575,690000,170907648.0,7.03,88424
4064,0.0055,172,452.9945068359375,126454.87016853,-61237.453125,174974,-10.195558547973633,700000,47206040.0,8.41,89809
4132,0.0055,171,1626.4912109375,-180299.65867428004,-30996.54296875,177474,27.923187255859375,710000,422781248.0,17.79,90744
4191,0.0055,171,150.3036651611328,133662.1,-84983.4765625,179974,18.796966552734375,720000,88860512.0,7.0,91959
4249,0.0055,171,79.1476821899414,133737.49049961,-89903.421875,182474,3.19558048248291,730000,28335340.0,7.16,93351
4308,0.0055,171,1841.0128173828125,34413.9907799,27173.7890625,184974,43.75093078613281,740000,516436544.0,13.89,94270
4372,0.0055,171,315.180419921875,132138.22504349,-75569.1796875,187474,33.64097595214844,750000,31857800.0,7.19,95557
4430,0.0055,171,150.55780029296875,133547.1,-73463.421875,189974,9.293673515319824,760000,21684372.0,7.08,96918
4491,0.0055,171,192.9398956298828,119031.40054602001,-72323.421875,192474,-13.283586502075195,770000,121540096.0,7.7,98251
4549,0.0055,171,365.5600891113281,132104.96716464,-79796.234375,194974,41.42079544067383,780000,30625904.0,7.94,99191
4616,0.0055,171,162.6109619140625,133741.98164122002,-75331.1484375,197474,7.345118045806885,790000,31626078.0,7.24,100212
4685,0.0055,170,113.90664672851562,133726.24136751,-85474.21875,199974,13.103347778320312,800000,14367630.0,7.41,101479
4746,0.0055,170,114.11100769042969,133757.51994731,-86670.3125,202474,14.098245620727539,810000,14695978.0,7.03,102690
4804,0.0055,170,77.32340240478516,133364.5,-92353.359375,204974,5.251527309417725,820000,6394328.5,7.01,103945
4864,0.0055,170,617.3526000976562,126287.55973315999,-68379.0546875,207474,41.281036376953125,830000,58592640.0,7.65,105095
4930,0.0055,170,59.31153106689453,133768.1,-93972.359375,209974,8.045684814453125,840000,7062305.5,7.01,106426
4988,0.0055,170,605.2618408203125,101718.43261991002,-68657.375,212474,45.85778045654297,850000,120066848.0,8.01,107484
5048,0.0055,170,1817.5509033203125,97166.62662933,-9694.9033203125,214974,44.48023986816406,860000,428025952.0,9.58,108481
5110,0.0055,170,339.12420654296875,130831.81321269,-54756.2109375,217474,27.08060646057129,870000,83789048.0,7.7,109499
5171,0.0055,170,130.9690399169922,133728.5,-65219.9375,219974,11.608183860778809,880000,129394312.0,7.67,110586
