time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/iterations,train/step_size,train/delta_std,rollout/return_std
5,10000,671.3333333333334,-26796291.606218,1852,,,,,
10,20000,802.8,-32082730.312252603,1898,,,,,
15,30000,876.75,-35052957.590762,1929,,,,,
20,40000,752.9166666666666,-30071674.81096008,1931,,,,,
25,50000,11.0,-219778.201936,1928,0.02,0,1.4029077899380127e-10,0.05,17820130.0
31,60000,670.3333333333334,-26816170.127107996,1930,,,,,
36,70000,835.1666666666666,-33451755.594310164,1934,,,,,
41,80000,876.375,-35118125.96269012,1934,,,,,
46,90000,835.9166666666666,-33418967.58539766,1931,,,,,
51,100000,859.3571428571429,-34375354.94082885,1932,,,,,
56,110000,1000.0,-39881699.808952,1933,0.02,1,1.5606692327363447e-10,0.05,16018769.0
62,120000,1000.0,-39982316.127053,1935,,,,,
67,130000,876.25,-35034196.708013505,1935,,,,,
72,140000,901.0,-36007188.046881504,1937,,,,,
77,150000,858.3571428571429,-34296485.86680686,1939,,,,,
82,160000,,,1940,0.02,2,1.8371310028797438e-10,0.05,13608175.0
87,170000,1000.0,-40083361.22308367,1941,,,,,
92,180000,1000.0,-40088794.096801996,1942,,,,,
97,190000,1000.0,-39929635.40431338,1943,,,,,
102,200000,835.5833333333334,-33328688.761222586,1943,,,,,
108,210000,,,1944,0.02,3,1.560391121868676e-10,0.05,16021625.0
113,220000,669.0,-26691405.85941733,1944,,,,,
118,230000,718.0,-28625940.925378285,1944,,,,,
123,240000,780.6666666666666,-31150585.67994678,1945,,,,,
128,250000,9.5,-145828.57477950002,1945,0.02,4,1.2542708538454406e-10,0.05,19931900.0
133,260000,504.75,-20126333.38653975,1946,,,,,
138,270000,459.90909090909093,-18314942.44206409,1947,,,,,
143,280000,543.0,-21666072.786917076,1947,,,,,
148,290000,510.5,-20198337.5102055,1947,0.02,5,1.223333240263358e-10,0.05,20435968.0
154,300000,385.0,-15167430.829839626,1947,,,,,
159,310000,507.5833333333333,-20127648.1007325,1947,,,,,
164,320000,577.9285714285714,-22955294.31763893,1948,,,,,
169,330000,1000.0,-40175858.391774,1948,0.02,6,1.2604539634253342e-10,0.05,19834122.0
174,340000,1000.0,-40096485.88837334,1948,,,,,
179,350000,858.2857142857143,-34385803.807687856,1948,,,,,
184,360000,801.4,-32084323.310449094,1949,,,,,
189,370000,,,1949,0.02,7,1.3073567228794047e-10,0.05,19122554.0
194,380000,1000.0,-40052397.410519004,1949,,,,,
200,390000,716.7142857142857,-28690125.375535283,1949,,,,,
205,400000,779.6666666666666,-31230557.595731113,1950,,,,,
210,410000,834.75,-33465445.96876483,1950,,,,,
215,420000,858.3571428571429,-34374958.435742,1949,,,,,
220,430000,1000.0,-40142736.272212,1950,0.02,8,1.554693734862056e-10,0.05,16080337.0
225,440000,801.0,-32110241.796211798,1951,,,,,
230,450000,779.1111111111111,-31249120.425030887,1950,,,,,
235,460000,819.2727272727273,-32848978.639528815,1950,,,,,
240,470000,858.0,-34389142.60733821,1950,,,,,
246,480000,,,1950,0.02,9,1.8318854766441461e-10,0.05,13647141.0
251,490000,603.0,-24114987.2011224,1951,,,,,
256,500000,627.625,-25107797.45292975,1950,,,,,
261,510000,669.1666666666666,-26799880.756893665,1950,,,,,
266,520000,716.4285714285714,-28701130.661195282,1951,,,,,
271,530000,503.5,-20143476.88409275,1951,0.02,10,1.307783326076617e-10,0.05,19116316.0
276,540000,504.625,-20149360.819515496,1950,,,,,
281,550000,587.0,-23477506.44774583,1951,,,,,
286,560000,603.3333333333334,-24144220.752989795,1951,,,,,
292,570000,504.0,-20120601.8947685,1950,0.02,11,1.2508784286158203e-10,0.05,19985954.0
297,580000,504.125,-20109202.334191125,1951,,,,,
302,590000,603.3,-24114370.260577198,1951,,,,,
307,600000,694.8461538461538,-27824943.687984228,1951,,,,,
312,610000,10.5,-203832.229151,1952,0.02,12,1.3074202831475645e-10,0.05,19121624.0
317,620000,380.75,-15137984.8907445,1953,,,,,
322,630000,504.6,-20054186.024812598,1953,,,,,
327,640000,618.9230769230769,-24681731.983115997,1953,,,,,
332,650000,9.0,-124861.716271,1954,0.02,13,1.2548562189351742e-10,0.05,19922600.0
337,660000,606.4,-24137118.685589798,1954,,,,,
342,670000,629.625,-25125441.695321877,1954,,,,,
347,680000,619.2307692307693,-24739486.86803539,1956,,,,,
352,690000,4.0,-98834.011017,1955,0.02,14,1.2533717119733723e-10,0.05,19946196.0
357,700000,432.14285714285717,-17239908.02118886,1955,,,,,
362,710000,558.3333333333334,-22326402.74793022,1957,,,,,
367,720000,6.0,-129084.33736,1957,0.02,15,1.2164423635052657e-10,0.05,20551734.0
373,730000,337.3333333333333,-13393727.582609335,1956,,,,,
377,740000,504.3,-20116871.5431556,1958,,,,,
382,750000,471.2,-18784110.810467467,1959,,,,,
387,760000,255.75,-10135314.874241374,1958,0.02,16,1.2126931403511065e-10,0.05,20615272.0
392,770000,338.5,-13464145.934599249,1959,,,,,
397,780000,,,1961,0.02,17,1.2222796386129886e-10,0.05,20453584.0
402,790000,1000.0,-39910310.859901994,1960,,,,,
407,800000,717.1428571428571,-28641280.752189424,1961,,,,,
412,810000,703.2,-28104131.8079467,1962,,,,,
418,820000,771.6923076923077,-30868962.969476458,1961,,,,,
423,830000,,,1961,0.02,18,1.4008363913298183e-10,0.05,17846480.0
427,840000,751.5,-30132937.373792745,1963,,,,,
433,850000,715.7142857142857,-28674118.92888414,1962,,,,,
438,860000,668.25,-26739903.331004422,1962,,,,,
442,870000,715.6428571428571,-28636451.07375729,1964,,,,,
447,880000,503.0,-20135550.00752,1965,0.02,19,1.4004587767235677e-10,0.05,17851292.0
453,890000,255.16666666666666,-10150606.785897585,1964,,,,,
457,900000,337.8,-13474677.469116734,1965,,,,,
462,910000,503.25,-20152155.02395025,1965,0.02,20,1.250584635847929e-10,0.05,19990650.0
468,920000,573.8571428571429,-22973273.269700427,1965,,,,,
473,930000,542.8461538461538,-21686636.05816146,1965,,,,,
477,940000,,,1967,0.02,21,1.224541301692028e-10,0.05,20415808.0
482,950000,602.4,-24085256.9656666,1966,,,,,
488,960000,558.6666666666666,-22322845.664317776,1967,,,,,
492,970000,617.9230769230769,-24724750.49813731,1968,,,,,
497,980000,668.8666666666667,-26782143.042348333,1968,,,,,
503,990000,207.0,-8176873.661909699,1967,0.02,22,1.3063936044055424e-10,0.05,19136652.0
507,1000000,339.1666666666667,-13489670.230353167,1968,,,,,
