time/total_timesteps,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/n_updates,train/ent_coef,train/actor_loss,time/fps,time/time_elapsed,train/ent_coef_loss
10000,-2413290.4947694996,20,361.0,0.0064,1693.3447265625,2474,38.65330505371094,20244.642578125,160,62,-1.1628360748291016
20000,-1598414.3743156127,31,587.741935483871,0.0064,765.2576293945312,4974,10.86401081085205,8195.3466796875,159,125,-0.1298694908618927
30000,-1246915.90496945,40,680.5,0.0064,684.4827270507812,7474,6.490259647369385,5847.77880859375,158,188,-1.517725944519043
40000,-987663.6218780784,51,747.5882352941177,0.0064,308.7430725097656,9974,3.9179232120513916,3699.631103515625,158,252,0.7637359499931335
50000,-845182.29753635,60,785.45,0.0064,334.55810546875,12474,2.727346897125244,2987.71533203125,158,315,-0.4214833378791809
60000,-729328.6586626761,71,818.6901408450705,0.0064,453.5948791503906,14974,1.7848155498504639,2089.71875,158,379,-0.9255743026733398
70000,-650381.2670579625,80,839.0875,0.0064,237.83114624023438,17474,1.6724507808685303,1493.88134765625,157,443,-0.2926640212535858
80000,-568953.1669633369,92,851.9239130434783,0.0064,136.2728271484375,19974,1.2463163137435913,493.1155090332031,157,508,0.18298159539699554
90000,-82172.25577316,166,350.79,0.0064,222.11874389648438,22474,1.374269962310791,338.03485107421875,157,572,-0.09892109781503677
100000,-84214.95042719001,175,350.79,0.0064,119.67041015625,24974,0.8833923935890198,304.87371826171875,157,636,-0.03379777818918228
110000,-90285.82073889999,192,299.11,0.0064,169.1374969482422,27474,0.5433533191680908,358.09027099609375,156,701,0.5443805456161499
120000,-84954.55174535,218,357.44,0.0064,281.5537414550781,29974,0.6148743629455566,224.60826110839844,156,766,-0.242839515209198
130000,-78363.61025694999,227,445.12,0.0064,266.80712890625,32474,0.4009909927845001,336.4792175292969,156,829,-1.1224534511566162
140000,-73299.09922866,238,549.11,0.0064,430.79803466796875,34974,0.4400968849658966,184.74832153320312,156,893,-0.23683467507362366
150000,-87898.99167786,251,652.62,0.0064,92.63212585449219,37474,0.5750958919525146,475.02349853515625,156,958,-1.2004719972610474
