train/learning_rate,train/clip_range,train/std,time/time_elapsed,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/explained_variance,time/total_timesteps,train/approx_kl,train/policy_gradient_loss,time/fps,train/clip_fraction,train/value_loss
0.0003,0.2,0.9998419880867004,7,10,-12.769766920804978,-280926.80242257,56.42,2467075328.0,0.0,10000,0.0007529364,-0.0015780810730575468,1426,0.0,5520231287.6
0.0003,0.2,0.999737024307251,13,20,-12.76855743676424,-295026.53441805,66.02,2733494528.0,0.0,20000,0.00045239297,-0.0010957713477182552,1429,0.0,5028006763.4
0.0003,0.2,0.9995715022087097,21,30,-12.76734712868929,-272177.75045197,57.36,2343354880.0,1.1920928955078125e-07,30000,0.0006679563,-0.0013680529386874696,1426,0.0,5092998390.0
0.0003,0.2,0.9993892312049866,28,40,-12.765747099369765,-229381.43984518002,44.97,2465591808.0,-2.384185791015625e-07,40000,0.00046183783,-0.0010780062313642702,1427,0.0,4852386144.0
0.0003,0.2,0.9991528987884521,38,60,-12.76370349302888,-273678.16712757,59.48,2245441024.0,0.0,50000,0.00016882444,-0.0008013471308913722,1299,0.0,5000577241.2
0.0003,0.2,0.9990189671516418,45,70,-12.762197422981263,-224389.09032753002,47.84,2341614592.0,0.0,60000,0.00047477332,-0.0010154997245990672,1319,0.0,4843024087.4
0.0003,0.2,0.9988657832145691,52,80,-12.76089564114809,-263663.55962964,58.07,2529983488.0,0.0,70000,0.00023268335,-0.0008358652413335222,1336,0.0,4806248117.8
0.0003,0.2,0.9987393617630005,59,90,-12.759669415652752,-253202.44473332004,55.76,2679684864.0,-1.1920928955078125e-07,80000,8.084382e-05,-0.0004777497098984895,1349,0.0,4845927942.6
0.0003,0.2,0.9983351230621338,66,100,-12.757259272783994,-216126.12640612997,45.31,2665427456.0,-2.384185791015625e-07,90000,0.00040045806,-0.00103422024531028,1358,0.0,4986890498.6
0.0003,0.2,0.9979112148284912,76,120,-12.751521613448858,-243875.65385675,54.47,2327002112.0,5.960464477539063e-08,100000,0.0003142914,-0.0008316033770825015,1304,0.0,4430575882.4
0.0003,0.2,0.9976446628570557,83,130,-12.750427163392306,-256275.92116427,55.86,2597216000.0,0.0,110000,0.00038483518,-0.000993617210406228,1315,0.0,4974583944.4
0.0003,0.2,0.997477114200592,90,140,-12.748448608070612,-208154.48912108998,46.0,2328867072.0,0.0,120000,0.00023890834,-0.0007797136837325525,1325,0.0,4799866600.2
0.0003,0.2,0.9974868297576904,97,150,-12.747745014727116,-238329.35335322,55.85,2111021824.0,0.0,130000,0.0006737129,-0.0011877259139509988,1332,0.0,4528761535.2
0.0003,0.2,0.9970158338546753,108,170,-12.744553011655807,-220845.17676285,48.25,2039409536.0,0.0,140000,0.00032957277,-0.0007891947127063759,1292,0.0,4480605712.4
0.0003,0.2,0.9968392848968506,115,180,-12.742662847042084,-224533.34863968997,52.52,2418424576.0,0.0,150000,0.00062207045,-0.000993194693182886,1299,0.0,4249952868.0
0.0003,0.2,0.996612548828125,122,190,-12.740886075794696,-210057.72976939997,44.48,2235042304.0,1.1920928955078125e-07,160000,0.00046867377,-0.0008949968009801523,1306,0.0,4236303191.2
0.0003,0.2,0.9965681433677673,129,200,-12.739686784148216,-230355.45444823,51.24,2488615680.0,0.0,170000,0.000504563,-0.001036838388608885,1311,0.0,4604751155.4
0.0003,0.2,0.9962613582611084,136,210,-12.73810080140829,-232675.13082053003,55.78,2482944768.0,0.0,180000,0.0004816628,-0.0011530729583682842,1317,0.0,4534900598.2
0.0003,0.2,0.9958895444869995,147,230,-12.73434653878212,-220348.61871892997,46.3,2544802816.0,1.1920928955078125e-07,190000,0.0008274113,-0.0014177898496200215,1290,0.0,4569000652.8
0.0003,0.2,0.9957155585289001,154,240,-12.73260547220707,-209272.17036573004,46.91,1961449088.0,0.0,200000,0.0002592781,-0.000789093164348742,1296,0.0,4574108135.2
0.0003,0.2,0.995525598526001,161,250,-12.730883630365133,-226052.47055965997,50.31,2165732096.0,0.0,210000,0.00088878744,-0.0014760647291041096,1301,0.0,4400647869.0
0.0003,0.2,0.9952442646026611,168,260,-12.728777877241374,-215252.72483411003,50.83,2126363520.0,0.0,220000,0.0004285281,-0.0009775479528116194,1306,0.0,4402994514.2
0.0003,0.2,0.9954685568809509,179,280,-12.729113107919693,-193018.32679816996,41.71,2171875840.0,1.7881393432617188e-07,230000,0.0005592088,-0.0010814675987603551,1284,0.0,4282622866.0
0.0003,0.2,0.9954100847244263,186,290,-12.729228038340807,-217661.28067295,51.68,2195806208.0,0.0,240000,0.0005492635,-0.0010391728399554267,1289,0.0,4327358562.8
0.0003,0.2,0.9949832558631897,193,300,-12.727022502571344,-204411.74860381003,47.07,2159293952.0,0.0,250000,0.0004391847,-0.0010186935078309034,1293,0.0,4185761003.4
0.0003,0.2,0.9947865009307861,200,310,-12.724144817888737,-196547.60680170998,43.33,2172854528.0,-1.1920928955078125e-07,260000,0.00049595465,-0.0009076495933186379,1298,0.0,4075070747.8
0.0003,0.2,0.9944623112678528,207,320,-12.721809305995702,-227807.83141359006,50.12,2066898304.0,1.7881393432617188e-07,270000,0.0007111199,-0.0011783988840761595,1303,0.0,4032245638.6
0.0003,0.2,0.9935910105705261,217,340,-12.714630652964114,-208711.21634376,44.48,2272368896.0,0.0,280000,0.00057466765,-0.0011534414734342135,1287,0.0,4426466610.6
0.0003,0.2,0.9934380054473877,224,350,-12.71180193424225,-192336.62838901003,46.05,1899956608.0,-1.1920928955078125e-07,290000,0.00034610147,-0.0007827700866982923,1291,0.0,4259138203.2
0.0003,0.2,0.9933136701583862,231,360,-12.710509146004915,-223412.78432997002,53.67,1950438656.0,-1.1920928955078125e-07,300000,0.00054226734,-0.001032874103384529,1295,0.0,3843766163.8
0.0003,0.2,0.9933453798294067,238,370,-12.71006694585085,-213150.09007702998,50.21,1836993152.0,0.0,310000,0.0007159718,-0.0012923467482323758,1299,0.0,4019135432.6
0.0003,0.2,0.9929941892623901,248,390,-12.707628009468317,-211019.59337411006,51.25,1994747264.0,0.0,320000,0.0005717225,-0.0010225285972410348,1285,0.0,4070512246.8
0.0003,0.2,0.99296635389328,255,400,-12.706909834593535,-185739.72973211997,40.92,1887180416.0,-1.1920928955078125e-07,330000,0.00059817475,-0.0009072669534361921,1289,0.0,3779561376.2
0.0003,0.2,0.9933217167854309,262,410,-12.70836175531149,-189178.58467503998,40.81,2362260992.0,0.0,340000,0.0009038487,-0.0014358135467773536,1293,1.220703125e-05,4182004997.0
0.0003,0.2,0.9930655360221863,269,420,-12.708782944083215,-185744.48528028998,43.33,1903097216.0,1.1920928955078125e-07,350000,0.00042984402,-0.0008657229936943622,1297,0.0,4105160795.2
