train/learning_rate,train/clip_range,train/std,time/time_elapsed,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/explained_variance,time/total_timesteps,train/approx_kl,train/policy_gradient_loss,time/fps,train/clip_fraction,train/value_loss
0.0003,0.2,0.9928135275840759,276,430,-12.70641694292426,-195502.89169256005,46.35,1928160512.0,0.0,360000,0.0002617992,-0.000722684846186894,1300,0.0,3925812403.6
0.0003,0.2,0.9923324584960938,287,450,-12.703258385509253,-202902.66726948,50.46,2155256576.0,0.0,370000,0.00050677016,-0.0008730779621146211,1288,0.0,3850377881.0
0.0003,0.2,0.9921101331710815,294,460,-12.699845807999372,-213368.74819015994,49.58,2035984896.0,1.1920928955078125e-07,380000,0.00067771575,-0.0010893593338551,1291,0.0,3948998500.4
0.0003,0.2,0.9918741583824158,301,470,-12.697784271091223,-181565.50207567003,43.0,1983734784.0,0.0,390000,0.0009062552,-0.0014721567600645357,1295,0.0,3809675399.4
0.0003,0.2,0.9916050434112549,308,480,-12.69548111781478,-182509.04130319,45.29,1690539520.0,0.0,400000,0.0008378362,-0.0012040191684718593,1298,0.0,3917223124.6
0.0003,0.2,0.991647481918335,318,500,-12.694089870154858,-185179.11199744995,45.6,1939287168.0,0.0,410000,0.0004408455,-0.000747176584081899,1286,0.0,3734208879.6
0.0003,0.2,0.9916422963142395,325,510,-12.694575143605471,-202901.97844171,50.54,1791848832.0,0.0,420000,0.0006939571,-0.0011013291903509525,1289,0.0,3771924820.4
0.0003,0.2,0.9912412166595459,332,520,-12.6927395619452,-185198.41327882,44.17,1745879040.0,0.0,430000,0.00033164473,-0.0007604364712278766,1292,0.0,3831265877.2
0.0003,0.2,0.9911267161369324,339,530,-12.690427467226982,-176447.18178564002,41.56,1990023808.0,0.0,440000,0.0004300268,-0.0008233274604208419,1295,0.0,3726687364.4
0.0003,0.2,0.9909172058105469,346,540,-12.688917422294617,-181290.46137376997,41.71,1611098368.0,0.0,450000,0.00051292725,-0.0007966442241013283,1298,0.0,3741893817.6
0.0003,0.2,0.9908173084259033,357,560,-12.686843411624432,-195816.61420203003,52.07,1826595072.0,0.0,460000,0.00037775043,-0.0007202843982668128,1288,0.0,3638593396.0
0.0003,0.2,0.9904556274414062,364,570,-12.685354050993919,-190793.36631028005,46.66,1686310400.0,0.0,470000,0.0005521172,-0.0010405667824670672,1291,0.0,3735413995.0
0.0003,0.2,0.9904195070266724,371,580,-12.683535297214984,-176140.30008718002,40.36,1919924992.0,-1.1920928955078125e-07,480000,0.0005635761,-0.0008576796722991276,1293,0.0,3616595296.4
0.0003,0.2,0.9901139140129089,378,590,-12.681925991922617,-184944.44782918997,48.28,1900966144.0,-1.1920928955078125e-07,490000,0.00040788093,-0.0009092455673453514,1295,0.0,3798096992.4
0.0003,0.2,0.9897620677947998,388,610,-12.678923924267291,-185076.22385033,46.06,1910274560.0,1.7881393432617188e-07,500000,0.0007808282,-0.0013684243940588203,1286,0.0,3875045810.4
0.0003,0.2,0.9899248480796814,395,620,-12.678088914602995,-182347.14271851003,44.68,1668372352.0,0.0,510000,0.0004416009,-0.0009021248955832561,1289,0.0,3408877215.2
0.0003,0.2,0.9901136755943298,402,630,-12.679627537727356,-186565.77481969004,48.68,1625890944.0,0.0,520000,0.00079161464,-0.0012552288737424533,1291,1.220703125e-05,3547923177.0
0.0003,0.2,0.9894900918006897,409,640,-12.677615778148175,-173819.85990955,39.51,1814051968.0,1.1920928955078125e-07,530000,0.0012532901,-0.0016169447281299653,1294,0.0,3464798745.4
0.0003,0.2,0.9891142249107361,416,650,-12.67313082292676,-179817.47177380003,43.78,2080407040.0,0.0,540000,0.0010703891,-0.0015618010227626655,1296,0.0,3877005970.8
0.0003,0.2,0.988908052444458,426,670,-12.669373232126237,-180632.44993355003,45.15,1837524480.0,0.0,550000,0.0005573396,-0.0009741731639223872,1288,0.0,3523511320.8
0.0003,0.2,0.9891557693481445,433,680,-12.670483925193547,-176032.55814303,48.86,1375543552.0,0.0,560000,0.00045085172,-0.0007152856296670507,1291,0.0,3364971564.8
0.0003,0.2,0.9886239171028137,440,690,-12.669111701846123,-180636.74690084998,49.47,1382484736.0,0.0,570000,0.0004170271,-0.0008417126753556658,1293,0.0,3464762275.8
0.0003,0.2,0.9884655475616455,447,700,-12.66599736586213,-156939.37835202,39.98,2070864384.0,0.0,580000,0.00091657427,-0.0015316824892579461,1295,0.0,3405313786.8
0.0003,0.2,0.9881302714347839,457,720,-12.66255167350173,-177341.77177181005,47.03,2004922240.0,-1.1920928955078125e-07,590000,0.00036600014,-0.0006737969195455662,1288,0.0,3528386024.8
0.0003,0.2,0.9879063367843628,464,730,-12.661151608079672,-173044.52578189998,41.76,1746451840.0,-1.1920928955078125e-07,600000,0.0005893562,-0.0009293457627791213,1290,0.0,3700114512.2
0.0003,0.2,0.9876422882080078,471,740,-12.658927703648805,-169216.03762348,44.99,1629173120.0,-2.384185791015625e-07,610000,0.00022486823,-0.0005932292465331557,1292,0.0,3461931746.6
0.0003,0.2,0.9873365759849548,478,750,-12.656342997401953,-170621.46595152002,41.83,1852563712.0,-1.1920928955078125e-07,620000,0.0005535,-0.000829483809411613,1294,0.0,3310879557.6
0.0003,0.2,0.9873199462890625,485,760,-12.654892771691085,-172745.51851046,45.34,1774636800.0,0.0,630000,0.00069724256,-0.0010047626143204979,1296,0.0,3528652479.0
0.0003,0.2,0.9865487217903137,496,780,-12.650259054452182,-174481.49944650996,40.76,1656989312.0,1.1920928955078125e-07,640000,0.00042486546,-0.000866419865997159,1290,0.0,3525656356.8
0.0003,0.2,0.9863074421882629,502,790,-12.646647870540619,-151672.45641660003,39.46,1471291136.0,0.0,650000,0.0016547053,-0.0019440674981524354,1292,0.00020751953125,3540827507.0
0.0003,0.2,0.9864635467529297,509,800,-12.646276427060366,-164180.31612345998,42.48,1917189376.0,5.960464477539063e-08,660000,0.0009322725,-0.0011788277095547528,1294,1.220703125e-05,3318133940.8
0.0003,0.2,0.986231803894043,516,810,-12.64598847553134,-163017.82446914003,39.53,1565773824.0,5.960464477539063e-08,670000,0.0010329336,-0.0014075341698116973,1296,0.0,3472102111.6
0.0003,0.2,0.9858362674713135,526,830,-12.643120417743921,-162448.65994368,40.67,1960732160.0,0.0,680000,0.00021415553,-0.000562800960506138,1290,0.0,3659126047.8
0.0003,0.2,0.9855358600616455,533,840,-12.639784432947636,-171681.65312084,44.47,1543754496.0,0.0,690000,0.0005802454,-0.0009607904867152683,1292,0.0,3479647927.6
0.0003,0.2,0.985266387462616,540,850,-12.637129636108876,-168243.13675334,42.96,1555283712.0,0.0,700000,0.0006685278,-0.001049961989338044,1294,0.0,3441510832.6
0.0003,0.2,0.9846925735473633,547,860,-12.633253599703313,-161557.60336432,39.1,1522662400.0,0.0,710000,0.00048466376,-0.0008996122754979296,1295,0.0,3357875321.4
0.0003,0.2,0.9846785068511963,554,870,-12.630437556654215,-156229.29861807002,42.54,1743662592.0,0.0,720000,0.0005205183,-0.0009030011973663931,1297,0.0,3376509032.8
0.0003,0.2,0.9840214848518372,565,890,-12.625371399521828,-160348.20011914,41.39,1460617984.0,1.7881393432617188e-07,730000,0.000711192,-0.0010339914883843448,1291,0.0,3383597465.8
0.0003,0.2,0.9838011264801025,572,900,-12.623363617807627,-175809.61753730994,45.17,1977172992.0,0.0,740000,0.0005513068,-0.0009017007214424666,1293,0.0,3593385969.8
0.0003,0.2,0.9836771488189697,579,910,-12.62182537689805,-158713.26068995,38.49,1828491392.0,1.7881393432617188e-07,750000,0.001161692,-0.001665604845402413,1295,1.220703125e-05,3406293745.8
0.0003,0.2,0.9838964939117432,585,920,-12.622213277965784,-149325.75799078998,38.6,1751120384.0,0.0,760000,0.00049611705,-0.0009824699682212668,1297,0.0,3458352583.4
0.0003,0.2,0.9838227033615112,592,930,-12.622796374559403,-164781.48212418,45.4,1578627712.0,-1.1920928955078125e-07,770000,0.0010146848,-0.0013740619462623727,1298,0.0,3387757478.4
0.0003,0.2,0.983133852481842,603,950,-12.615818011760712,-173550.68893473,44.83,1597043328.0,0.0,780000,0.00083321775,-0.0010397514608484926,1293,0.0,3345929430.4
0.0003,0.2,0.9829790592193604,610,960,-12.615387199819088,-163354.36392677,42.14,1452692992.0,0.0,790000,0.0006725802,-0.0012352486004601816,1294,0.0,3391923274.8
0.0003,0.2,0.9828665256500244,616,970,-12.614082302898169,-160932.10865067,40.16,1541299584.0,0.0,800000,0.0011963214,-0.0015402966608235146,1296,2.44140625e-05,3298206218.2
0.0003,0.2,0.9826294779777527,623,980,-12.6125772126019,-162585.45146299,40.24,1420738176.0,-1.1920928955078125e-07,810000,0.0006510123,-0.0009288130251661642,1298,0.0,3482774628.2
0.0003,0.2,0.9821467995643616,634,1000,-12.607160250097513,-155714.79102188,38.04,1781370752.0,0.0,820000,0.0015674147,-0.0018078930621413746,1292,0.000146484375,3407659855.0
0.0003,0.2,0.9817675352096558,641,1010,-12.605214267969131,-154374.26273130998,37.72,1945574912.0,-1.1920928955078125e-07,830000,0.00080394244,-0.0012611972339982458,1294,0.0,3381448024.2
0.0003,0.2,0.9818797707557678,648,1020,-12.603910186886788,-169927.05478916,46.36,1567667968.0,1.1920928955078125e-07,840000,0.0011152184,-0.0014484575269307243,1295,0.0,3289675302.6
0.0003,0.2,0.9818470478057861,655,1030,-12.604370266199112,-161536.77585105,47.47,1851716992.0,0.0,850000,0.0002269025,-0.0006818058202043176,1297,0.0,3222447450.8
0.0003,0.2,0.9817307591438293,662,1040,-12.603582479059696,-153827.57718989,41.18,1471104896.0,-1.1920928955078125e-07,860000,0.00055438245,-0.000859185301396792,1298,1.220703125e-05,3021718013.5
0.0003,0.2,0.9808228611946106,672,1060,-12.597980824112891,-153668.50211402,40.21,1675941760.0,0.0,870000,0.0002294346,-0.0007492933025787351,1293,0.0,3321851916.0
0.0003,0.2,0.9807155132293701,679,1070,-12.594095093011855,-155243.10444486,44.43,1566638464.0,1.7881393432617188e-07,880000,0.00057402765,-0.0008867846041539451,1295,0.0,3086916031.0
0.0003,0.2,0.980736494064331,686,1080,-12.593765293806792,-159229.49408789,43.43,1815015808.0,0.0,890000,0.000923004,-0.0012812997856599395,1296,1.220703125e-05,3202893306.2
0.0003,0.2,0.980040431022644,693,1090,-12.590730831772088,-145133.92986147,39.02,1693832448.0,0.0,900000,0.00079470396,-0.001169649130497419,1297,0.0,3148330096.6
0.0003,0.2,0.9798455834388733,703,1110,-12.587829008698463,-154545.42534257,43.78,1545798656.0,0.0,910000,0.0016569779,-0.0015940806702928966,1292,0.00028076171875,3127841013.8
0.0003,0.2,0.9801085591316223,710,1120,-12.586716164648532,-161925.26965332002,42.19,1630968064.0,-1.1920928955078125e-07,920000,0.0008271372,-0.0010034858534709202,1294,0.0,3138715021.0
0.0003,0.2,0.9796414971351624,717,1130,-12.585763534903526,-159483.43154858,43.9,1674978560.0,1.1920928955078125e-07,930000,0.000663695,-0.001136018776196579,1295,0.0,3326024134.6
0.0003,0.2,0.9795375466346741,724,1140,-12.583150623738765,-137875.91280971,31.67,1317276160.0,0.0,940000,0.00060254557,-0.0010098153752551298,1296,0.0,3110376452.2
0.0003,0.2,0.9794226884841919,731,1150,-12.582090798765421,-156977.51863218998,41.63,1730646272.0,1.7881393432617188e-07,950000,0.0008798499,-0.0011664572035442688,1298,0.0,3221152504.2
0.0003,0.2,0.9795682430267334,742,1170,-12.58072744384408,-152067.04037033004,42.57,1331517184.0,0.0,960000,0.0009499267,-0.0012500732142143533,1293,0.0,3303529883.8
0.0003,0.2,0.979166567325592,749,1180,-12.581103395670652,-151261.86915516996,42.34,1307711616.0,0.0,970000,0.001207262,-0.0014894759216986131,1294,7.32421875e-05,3202240823.8
0.0003,0.2,0.9791219234466553,756,1190,-12.578992785513401,-156110.83013374003,44.71,1605786112.0,0.0,980000,0.00087584334,-0.0011063827985708485,1296,0.0,2997591937.1
0.0003,0.2,0.9792823791503906,763,1200,-12.579531985521317,-158114.81527769,43.93,1567772416.0,-1.1920928955078125e-07,990000,0.001314115,-0.0013443406802252865,1297,7.32421875e-05,3069332897.0
0.0003,0.2,0.9791860580444336,773,1220,-12.578284623473882,-169587.61631462004,53.82,1537206144.0,0.0,1000000,0.0006717214,-0.0011225631345951116,1293,1.220703125e-05,2937772260.7
